-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1984 through 12/31/2022 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                  MERRA-2 Surface Pressure (kPa) 
T2M                 MERRA-2 Temperature at 2 Meters (C) 
QV2M                MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) 
WD2M                MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M                MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP             MERRA-2 Surface Soil Wetness (1) 
GWETPROF            MERRA-2 Profile Soil Moisture (1) 
GWETROOT            MERRA-2 Root Zone Soil Wetness (1) 
T2M_RANGE           MERRA-2 Temperature at 2 Meters Range (C) 
PRECTOTCORR         MERRA-2 Precipitation Corrected (mm/day) 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1984,27.25,76.25,97.01,96.93,96.62,96.18,95.72,95.29,95.52,95.6,96.17,96.65,97.11,96.98,96.31
PS,1984,27.25,76.75,98.25,98.15,97.79,97.33,96.83,96.4,96.66,96.75,97.34,97.83,98.32,98.19,97.48
PS,1984,27.25,77.25,99.0,98.89,98.5,98.03,97.5,97.08,97.36,97.45,98.06,98.55,99.06,98.93,98.2
PS,1984,27.25,77.75,99.4,99.29,98.87,98.39,97.86,97.44,97.72,97.82,98.44,98.92,99.45,99.32,98.57
PS,1984,27.25,78.25,99.57,99.45,99.03,98.55,98.0,97.6,97.89,97.99,98.6,99.08,99.62,99.48,98.74
PS,1984,27.25,78.75,99.64,99.52,99.09,98.61,98.06,97.68,97.96,98.06,98.68,99.14,99.69,99.54,98.8
PS,1984,27.25,79.25,99.74,99.62,99.17,98.69,98.15,97.78,98.06,98.16,98.77,99.23,99.78,99.63,98.9
PS,1984,27.75,76.25,97.26,97.17,96.85,96.4,95.91,95.49,95.72,95.81,96.38,96.88,97.35,97.22,96.53
PS,1984,27.75,76.75,98.33,98.23,97.86,97.4,96.87,96.45,96.71,96.81,97.4,97.89,98.39,98.27,97.55
PS,1984,27.75,77.25,99.04,98.93,98.53,98.06,97.52,97.1,97.37,97.48,98.08,98.58,99.1,98.97,98.23
