"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"NAMSAI","2.843846949327818%","39.943123061013445%","57.213029989658736%","48.292824074074076%","37.96296296296296%","13.744212962962964%","26.977314530962598%","20.876762722256284%","52.14592274678112%","16.296487603305785%","14.514462809917354%","69.18904958677686%","3.643252696006995%","96.356747303993%","33.03202479338843%","66.73553719008264%","0.23243801652892562%"
"KURUNG KUMEY","0.0315357931251971%","99.08546199936929%","0.8830022075055187%","0.18909549322407815%","98.80239520958084%","1.0085092971950835%","0.06303183107469272%","99.08603844941696%","0.8509297195083517%","0.31565656565656564%","95.42297979797979%","4.261363636363637%","0%","100%","12.084783296425181%","87.91521670357481%","0%"
"KRA DAADI","0.16142050040355124%","99.47538337368846%","0.36319612590799033%","0.12106537530266344%","99.79822437449556%","0.08071025020177562%","0.12106537530266344%","97.25585149313963%","2.6230831315577077%","1.5372168284789645%","94.13430420711974%","4.328478964401294%","0%","100%","13.654781199351701%","86.3452188006483%","0%"
"PAPUM PARE","0.02453385672227674%","99.60745829244357%","0.3680078508341511%","0.2206423142927188%","99.68129443491051%","0.09806325079676391%","0.024521824423737126%","99.23982344286415%","0.7356547327121138%","3.487229862475442%","94.69548133595285%","1.8172888015717092%","0.04917629702483403%","99.95082370297517%","15.390297956168432%","84.60970204383158%","0%"
"PAKKE KESSANG","35.36148890479599%","43.09234073013601%","21.546170365068004%","0.14316392269148176%","77.66642806012885%","22.19040801717967%","58.44062947067239%","39.69957081545064%","1.859799713876967%","62.29390681003584%","18.63799283154122%","19.06810035842294%","13.280689160086146%","86.71931083991386%","65.89427950760319%","34.10572049239681%","0%"
"EAST SIANG","84.17582417582418%","14.7985347985348%","1.0256410256410255%","29.148311306901615%","63.87665198237885%","6.97503671071953%","8.002936857562409%","76.72540381791484%","15.27165932452276%","90.16152716593245%","5.066079295154185%","4.772393538913363%","0.22123893805309736%","99.77876106194691%","87.21804511278195%","12.781954887218046%","0%"
"SIANG","80.62098501070663%","18.41541755888651%","0.9635974304068522%","46.680942184154176%","49.143468950749465%","4.17558886509636%","12.526766595289079%","75.05353319057816%","12.419700214132762%","88.82921589688507%","5.800214822771213%","5.370569280343717%","0%","100%","91.75704989154013%","8.242950108459869%","0%"
"EAST KAMENG","42.64705882352941%","41.107536764705884%","16.245404411764707%","1.2405237767057202%","87.25017229496899%","11.509303928325293%","59.41662838768948%","38.99862195682132%","1.5847496554892053%","66.94271911663216%","17.98941798941799%","15.067862893949851%","19.000460617227084%","80.99953938277291%","56.41203703703704%","43.58796296296296%","0%"
"LOWER SIANG","79.65616045845272%","19.197707736389685%","1.146131805157593%","40.78319006685769%","54.72779369627507%","4.48901623686724%","9.082217973231357%","74.18738049713193%","16.730401529636712%","87.29703915950334%","5.348615090735435%","7.354345749761222%","0%","100%","84.55598455598455%","15.250965250965251%","0.19305019305019305%"
"LOWER DIBANG VALLEY","0.9282970550576184%","85.17925736235595%","13.892445582586427%","45.710928319623974%","5.9537798668233455%","48.335291813552686%","2.3997370151216306%","23.898750821827743%","73.70151216305062%","32.458386683738794%","52.49679897567221%","15.044814340588989%","8.098591549295774%","91.90140845070422%","43.918053777208705%","56.081946222791295%","0%"
