"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"DHUBRI","15.933055419323198%","83.87690044139283%","0.19004413928396272%","44.64000981233902%","41.59818471728198%","13.761805470379002%","5.749246756441001%","56.14585254873025%","38.10490069482875%","34.99264345267288%","35.072339382050025%","29.935017165277095%","0.07356547327121138%","99.92643452672878%","21.015203531142717%","78.98479646885728%","0%"
"NAGAON","26.52240366824873%","72.20859142466415%","1.269004907087121%","55.62303917625292%","30.5526506314858%","13.824310192261283%","5.610972568578553%","60.131928243906366%","34.25709918751508%","30.960904191135064%","12.718204488778055%","56.32089132008688%","0.0020111012790604136%","99.99798889872093%","15.66446786260156%","84.33553213739845%","0%"
"SONITPUR","62.60450880859958%","35.88757838160645%","1.5079128097939682%","72.78665273215886%","19.289340101522843%","7.924007166318304%","11.245894296805016%","66.4004180352344%","22.353687667960585%","67.4231113765303%","11.395192594804419%","21.18169602866527%","0%","100%","81.03165123917587%","18.968348760824128%","0%"
"UDALGURI","20.09579341940858%","79.48771345272803%","0.41649312786339027%","91.84089962515618%","7.717617659308622%","0.4414827155351937%","6.938775510204081%","61.182840483132026%","31.87838400666389%","39.233652644731364%","33.57351103706789%","27.19283631820075%","0.5289683035528343%","99.47103169644717%","29.858392336526446%","70.14160766347355%","0%"
"MARIGAON","73.46870727885032%","20.67953719449168%","5.851755526657997%","80.33410023006903%","10.5765062852189%","9.08939348471208%","13.610749891634157%","36.46427261511787%","49.92497749324797%","80.29742256010137%","10.13970857924044%","9.562868860658197%","0.11670556852284095%","99.88329443147715%","27.221499783268314%","72.77850021673169%","0%"
"KARBI ANGLONG","23.89710782353725%","75.21658003465281%","0.8863121418099427%","39.97734239637478%","35.45248567239771%","24.57017193122751%","5.977608956417433%","65.84033053445289%","28.18206050912968%","40.823670531787286%","31.59402905504465%","27.582300413168067%","0.03998400639744103%","99.96001599360255%","24.14367586298814%","75.85632413701187%","0%"
"BONGAIGAON","46.35707285854283%","51.35497290054199%","2.2879542409151816%","48.26103477930442%","33.65932681346373%","18.079638407231855%","5.739885202295954%","50.272994540109195%","43.987120257594846%","51.062978740425194%","12.5477490450191%","36.38927221455571%","0.055998880022399555%","99.9440011199776%","18.73762524749505%","81.25837483250335%","0.003999920001599968%"
"Biswanath","50.616772530608486%","47.85050170302863%","1.5327257663628833%","51.51891742612538%","27.345116450336004%","21.135966123538616%","6.5497560526558045%","50.76406149314186%","42.68618245420234%","59.76249654791494%","20.85519653870938%","19.38230691337568%","0.17030286292920924%","99.8296971370708%","76.99990794439842%","23.000092055601584%","0%"
"HAILAKANDI","49.398400215097126%","50.49405122000403%","0.10754856489883713%","82.09316394434362%","12.347919607447738%","5.558916448208644%","9.847415473549775%","81.20588828392822%","8.946696242522014%","66.13564562747865%","27.666868320225852%","6.197486052295489%","0.24198427102238354%","99.75801572897761%","51.19311689184647%","48.80688310815353%","0%"
"BARPETA","56.964285714285715%","43.035714285714285%","0%","79.8015873015873%","14.880952380952381%","5.317460317460317%","4.0476190476190474%","68.23412698412699%","27.71825396825397%","66.76587301587301%","16.706349206349206%","16.52777777777778%","0.01984126984126984%","99.98015873015873%","51.80555555555556%","48.17460317460318%","0.01984126984126984%"
"DIMA HASAO","59.46969696969697%","40.48821548821549%","0.04208754208754209%","64.73063973063974%","35.22727272727273%","0.04208754208754209%","11.27946127946128%","85.26936026936026%","3.451178451178451%","75.04208754208754%","24.116161616161616%","0.8417508417508418%","0%","100%","52.56734006734007%","47.39057239057239%","0.04208754208754209%"
