"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"PASHCHIM CHAMPARAN","0.02981736861721953%","2.9370108087961238%","97.03317182258665%","67.67729439809297%","32.20351609058403%","0.11918951132300358%","0.9015049918045%","96.15556548949486%","2.9429295187006406%","26.609827238052503%","33.84189664198639%","39.54827611996111%","0.20159784962293736%","99.79840215037706%","0.007454342154304882%","99.10547894148341%","0.8870667163622811%"
"GAYA","2.4088541666666665%","93.41796875%","4.173177083333333%","94.37573232651998%","5.2532222366879315%","0.37104543679208435%","39.85158182528317%","59.041791433407106%","1.1066267413097253%","8.687158114092211%","80.28783537379526%","11.02500651211253%","0.1887775029293061%","99.81122249707069%","0.39057414399166773%","99.26441869548236%","0.3450071605259732%"
"SAMASTIPUR","0.061036087586785685%","0.7095445181963836%","99.22941939421683%","79.62157625696193%","20.17242694743267%","0.20599679560540168%","6.157954979015643%","93.24685234643266%","0.5951926745516978%","19.249256122682535%","61.49385824368658%","19.256885633630883%","0.14496070801861602%","99.85503929198138%","0.038144644491913335%","99.6948428440647%","0.26701251144339333%"
"SHEIKHPURA","0.08931761343336907%","0.1250446588067167%","99.78563772775992%","99.19614147909968%","0.7145409074669525%","0.08931761343336907%","36.41236376630338%","63.48043594782919%","0.10720028586742898%","15.094676670239371%","83.52983208288674%","1.3754912468738836%","0.285816362986781%","99.71418363701322%","0.14301036825169824%","99.83911333571685%","0.01787629603146228%"
"MADHEPURA","1.4380768405237174%","88.30221077484438%","10.259712384631895%","99.89268083279674%","0.08585533376261001%","0.021463833440652502%","18.95256492809616%","62.97488731487444%","18.072547757029405%","74.86585104099592%","20.66967160334836%","4.4644773556557205%","9.122129212277313%","90.87787078772269%","3.4778875053671103%","96.43623872906826%","0.08587376556462001%"
"MUZAFFARPUR","0.007295010213014298%","0.26991537788152903%","99.72278961190545%","96.92969661610269%","2.9900816802800465%","0.08022170361726955%","13.287631271878647%","83.73687281213536%","2.9754959159859977%","19.42823803967328%","66.85385064177363%","13.717911318553092%","0.5469661610268378%","99.45303383897316%","0.021877050973528767%","88.93750455771895%","11.040618391307518%"
"NALANDA","9.573132454488388%","73.8104205900816%","16.616446955430007%","61.38104205900816%","36.88010043942247%","1.738857501569366%","36.07257203842049%","57.624458534747944%","6.302969426831565%","22.473320778405522%","46.98053986189579%","30.54613935969868%","2.674031761973511%","97.32596823802649%","0.13807820247285507%","99.76777756856838%","0.09414422895876483%"
"SARAN","0%","0.08257638315441784%","99.91742361684558%","96.12923203963666%","3.7469033856317093%","0.12386457473162675%","5.677126341866226%","94.30222956234518%","0.02064409578860446%","11.983897605284888%","85.37365813377374%","2.642444260941371%","0.41288191577208916%","99.58711808422791%","0%","99.76259289843105%","0.23740710156895128%"
"GOPALGANJ","0.046963055729492796%","0.34439574201628054%","99.60864120225423%","87.6908547143082%","12.1359987407524%","0.1731465449393987%","2.1722021092397292%","97.32409885093656%","0.5036990398237053%","19.586660403945515%","70.78440582433068%","9.628933771723814%","0.23485204321277595%","99.76514795678722%","0.15654351909830932%","99.32686286787727%","0.5165936130244208%"
"ROHTAS","0.14285714285714285%","98.88095238095238%","0.9761904761904762%","98.86891296582927%","0.6191213239671389%","0.5119657102035957%","18.492498213860443%","80.69778518694928%","0.8097165991902834%","7.4210839785586655%","88.17153067301966%","4.40738534842168%","0.011904761904761904%","99.98809523809524%","0.35714285714285715%","99.5952380952381%","0.047619047619047616%"
"VAISHALI","0%","0.4626439610197854%","99.53735603898022%","70.49616066154755%","28.755660563102975%","0.7481787753494783%","1.8308888670144698%","97.65724972930407%","0.5118614036814647%","3.287725169800177%","68.52052367358992%","28.191751156609904%","12.747317649374938%","87.25268235062507%","0.0492174426616793%","87.59720444925682%","12.353578108081503%"
"BANKA","0.01943823500826125%","9.62192632908932%","90.35863543590241%","90.40723102342308%","8.805520458742347%","0.7872485178345806%","12.71384136858476%","86.48911353032659%","0.797045101088647%","0.8650014578676256%","24.42414228788026%","74.7108562542521%","0.05831470502478375%","99.94168529497522%","1.4288491446345257%","98.52255054432348%","0.04860031104199067%"
"PURBI CHAMPARAN","0.06895494943303708%","5.194606190622127%","94.73643885994484%","26.553282770244387%","67.01907607446564%","6.4276411552899715%","9.575609008732956%","83.24651447832082%","7.177876512946224%","9.934890846418996%","37.564151666028344%","52.50095748755266%","1.2024201577697786%","98.79757984223022%","0.0995634525541855%","99.37964310331623%","0.5207934441295856%"
"SITAMARHI","0.03532944709415298%","19.236883942766294%","80.72778661013955%","93.18141671082847%","6.694930224341989%","0.12365306482953542%","7.669199505212935%","90.66089415091005%","1.66990634387701%","1.943291228690045%","44.890027382740044%","53.16668138856991%","0.8213371014748742%","99.17866289852513%","0.44607714510627133%","99.0378728242806%","0.5160500306131374%"
"SHEOHAR","0%","41.732283464566926%","58.267716535433074%","57.64119601328904%","38.2890365448505%","4.069767441860465%","2.7385892116182573%","79.50207468879668%","17.759336099585063%","8.20555325321177%","56.4857024450891%","35.30874430169913%","0.040783034257748776%","99.95921696574226%","0%","99.91873222267371%","0.08126777732629012%"
"ARARIA","0%","34.46621351459416%","65.53378648540584%","58.21671331467413%","41.68332666933227%","0.09996001599360256%","39.556266240255844%","60.0439736158305%","0.39976014391365183%","6.8159104537277635%","53.288027183689785%","39.89606236258245%","0.13991605036977814%","99.86008394963022%","9.57425544673196%","90.40575654607235%","0.01998800719568259%"
"PURNIA","0.08316008316008316%","35.53014553014553%","64.38669438669439%","73.64542246211334%","20.375752543076604%","5.978824994810048%","24.72493253062072%","67.55241851774964%","7.722648951629645%","9.643932315997093%","50.27509602408388%","40.08097165991903%","0.9860909279634628%","99.01390907203654%","23.20946647290845%","76.7697737180818%","0.02075980900975711%"
"MADHUBANI","0.006828269033799932%","28.87674974393991%","71.11642198702629%","7.089730467417263%","25.479358580689183%","67.43091095189355%","9.225520300238827%","32.03684749232344%","58.737632207437734%","12.576770847550158%","30.012283335608025%","57.41094581684182%","0.03411804844762879%","99.96588195155238%","0.7642964378326736%","98.81261089122424%","0.4230926709430872%"
"BEGUSARAI","0.018758206715438003%","2.7855936972425437%","97.19564809604202%","91.00543987994747%","8.872631776402176%","0.12192834365034702%","34.29938097917839%","65.4004877133746%","0.30013130744700806%","8.931419457735247%","77.84970447509147%","13.21887606717328%","0.1125597973923647%","99.88744020260764%","0.03751641343087601%","99.78428062277246%","0.17820296379666103%"
"LAKHISARAI","0%","55.64430244941427%","44.35569755058573%","82.74760383386581%","17.03940362087327%","0.21299254526091588%","43.556975505857295%","56.31877884274051%","0.12424565140220092%","12.016329428470003%","58.71494497692581%","29.268725594604188%","0.07099751508697195%","99.92900248491303%","0.1597444089456869%","98.1008164714235%","1.739439119630813%"
"BUXAR","0.049993750781152355%","6.824146981627297%","93.12585926759155%","98.5376827896513%","1.2373453318335208%","0.2249718785151856%","26.1625%","73.1625%","0.675%","0.225%","14.9875%","84.7875%","0.03749531308586427%","99.96250468691413%","0.08745627186406797%","99.81259370314842%","0.09995002498750624%"
"PATNA","1.1868300153139357%","88.01684532924962%","10.796324655436447%","92.76416539050535%","5.647013782542113%","1.5888208269525268%","15.190963913085096%","77.07475830381928%","7.734277783095625%","7.342523453953667%","67.30806050162742%","25.349416044418916%","1.3495405819295558%","98.65045941807044%","0.15313935681470137%","99.47358346094947%","0.3732771822358346%"
"KATIHAR","0.06122092006297009%","63.249956270771385%","36.68882280916564%","74.9256603113521%","25.021864614308203%","0.05247507433968865%","26.786182772190642%","72.89899431569742%","0.314822912111937%","23.59010229955408%","63.82792690390837%","12.581970796537554%","0.8568680598058932%","99.14313194019411%","32.281192620442425%","67.66634606977354%","0.05246130978403427%"
"BHOJPUR","6.758567872869998%","69.62473674133639%","23.616695385793605%","92.65817938164066%","7.064228965253183%","0.27759165310615486%","31.549214860206817%","62.830333205668325%","5.620451934124857%","18.516036381043563%","36.352321685016754%","45.13164193393968%","0.31591039632395174%","99.68408960367604%","0.13400976356848857%","99.66497559107877%","0.20101464535273283%"
"SUPAUL","0.06791171477079797%","50.101867572156195%","49.830220713073004%","87.59347382732835%","5.557443915703603%","6.849082256968049%","7.950289410963569%","81.76710929519918%","10.28260129383725%","24.931972789115648%","41.42857142857143%","33.63945578231292%","7.6583460689420955%","92.3416539310579%","0.3395585738539898%","98.79456706281833%","0.865874363327674%"
"ARWAL","0.9422110552763819%","64.69849246231156%","34.35929648241206%","80.70395977372722%","14.393463230672532%","4.902576995600252%","31.301068510370836%","62.822124450031424%","5.876807039597737%","17.61934673366834%","50.753768844221106%","31.626884422110553%","8.519333542911035%","91.48066645708897%","13.304843304843304%","86.46723646723646%","0.22792022792022792%"
"JAMUI","0.537478210342824%","48.85241138872748%","50.61011040092969%","22.984163882028184%","70.65233183204998%","6.363504285921836%","15.911072362685266%","64.92298750363267%","19.16594013368207%","30.76699593259733%","32.27774549680419%","36.95525857059849%","0.2905287623474724%","99.70947123765252%","1.206044754431851%","98.64864864864865%","0.14530659691950015%"
"MUNGER","0%","35.01977362607391%","64.98022637392609%","93.8667030121303%","5.833446912907183%","0.29985007496251875%","38.53073463268366%","61.27845168324929%","0.19081368406705737%","1.1039934578165462%","53.823088455772115%","45.07291808641134%","0.08177729317159602%","99.9182227068284%","0.17745017745017744%","99.82254982254982%","0%"
"JEHANABAD","3.3680555555555554%","91.35416666666667%","5.277777777777778%","75.6512678013199%","23.94928794720389%","0.399444251476207%","29.72222222222222%","67.39583333333333%","2.8819444444444446%","40.572916666666664%","49.13194444444444%","10.29513888888889%","0.0694082942911678%","99.93059170570884%","0.18968787722021038%","99.39644766339023%","0.4138644593895499%"
"SIWAN","0.03449465332873405%","0%","99.96550534667126%","56.865225390984364%","38.971941122355105%","4.162833486660533%","17.9097605893186%","81.39963167587477%","0.6906077348066298%","3.036576949620428%","41.706924315619965%","55.2564987347596%","0.2874885004599816%","99.71251149954001%","5.335173048177532%","93.1010693342532%","1.5637576175692767%"
"KHAGARIA","0.17035775127768313%","0.028392958546280524%","99.80124929017603%","93.21215563760295%","6.503834138028969%","0.28401022436807727%","4.035237283319125%","95.42483660130719%","0.5399261153736857%","0.2839295854628052%","99.68767745599091%","0.028392958546280524%","0.2271436683702442%","99.77285633162975%","0.11353959693443089%","99.80130570536474%","0.08515469770082316%"
"DARBHANGA","0.06871907641561298%","33.246289169873556%","66.68499175371083%","68.13745704467354%","31.326460481099655%","0.5360824742268041%","20.428924938135825%","77.02777014022546%","2.5433049216387134%","2.4192439862542954%","77.85567010309278%","19.725085910652922%","0.24742268041237114%","99.75257731958763%","0.08246289169873557%","99.89004947773502%","0.02748763056624519%"
"NAWADA","0.27713625866050806%","69.67667436489607%","30.04618937644342%","83.57967667436489%","14.34949961508853%","2.0708237105465743%","40.71593533487298%","57.36720554272517%","1.9168591224018476%","2.1186440677966103%","40.83204930662558%","57.04930662557781%","0.6082069443375163%","99.39179305566249%","0.03857429409041815%","99.59882734145965%","0.36259836444993054%"
"BHAGALPUR","0%","1.7104754541940472%","98.28952454580595%","99.45883262466177%","0.5121762659451101%","0.028991109393119444%","56.90954773869347%","42.71356783919598%","0.3768844221105528%","0.12562814070351758%","14.969076149980673%","84.90529570931581%","0.2029377657518361%","99.79706223424816%","0.028991109393119444%","99.93235407808272%","0.038654812524159254%"
"KAIMUR (BHABUA)","0.015477480266212661%","54.48073053706857%","45.50379198266522%","99.79876160990712%","0.1393188854489164%","0.06191950464396285%","30.512939717960638%","44.01053773438711%","25.476522547652255%","21.51036830702569%","25.13153822346023%","53.35809346951408%","0.015479876160990712%","99.984520123839%","0.43357076494270674%","99.45803654382162%","0.10839269123567669%"
"KISHANGANJ","0.10245901639344263%","44.21106557377049%","55.68647540983606%","87.0389344262295%","11.475409836065573%","1.485655737704918%","49.94877049180328%","38.47336065573771%","11.577868852459016%","24.12909836065574%","38.47336065573771%","37.39754098360656%","4.508196721311475%","95.49180327868852%","67.65761148129164%","32.29113275243465%","0.051255766273705795%"
"AURANGABAD","0.1455767077267637%","72.34042553191489%","27.513997760358343%","59.78053969320345%","35.662299854439595%","4.557160452356959%","29.918262232672713%","64.62882096069869%","5.452916806628597%","7.593235524694815%","43.554709373950054%","48.852055101355134%","0.6942111745605195%","99.30578882543948%","0.02239390885679095%","99.91042436457283%","0.06718172657037286%"
"SAHARSA","0.14149274849663954%","43.66819950477538%","56.19030774672798%","62.86068330677996%","33.91750752345548%","3.22180916976456%","2.7319496185914494%","93.77328366152209%","3.4947667198864645%","15.878079035973773%","46.8013468013468%","37.32057416267943%","0.05307855626326964%","99.94692144373673%","4.598514326140785%","93.68588609833746%","1.7155995755217546%"
