"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"RAIPUR","0.06675567423230974%","10.280373831775702%","89.65287049399198%","10.877544210877545%","57.17384050717384%","31.948615281948616%","15.124228781057194%","69.95164248791062%","14.924128731032182%","1.0521042084168337%","61.43954575818303%","37.508350033400134%","0.15030060120240482%","99.8496993987976%","0.7850342408551862%","98.9811257725071%","0.23383998663771505%"
"RAJNANDGAON","0%","1.6344229486324215%","98.36557705136758%","4.634878292764255%","34.01133711237079%","61.353784594864955%","5%","81%","14%","12.554257095158597%","32.721202003338895%","54.72454090150251%","0.06682258603407952%","99.93317741396592%","6.617647058823529%","90.94251336898395%","2.4398395721925135%"
"SURGUJA","0.12853470437017994%","0.057126535275635534%","99.81433876035419%","0.14281633818908884%","99.77149385889746%","0.0856898029134533%","13.624678663239074%","85.06141102542131%","1.3139103113396173%","0.7001000142877554%","61.551650235747964%","37.74824974996428%","0.057151021574510644%","99.94284897842549%","77.89849892780558%","21.972837741243744%","0.12866333095067906%"
"KANKER","0.022009464069549907%","68.79057994937823%","31.187410586552218%","8.55067679102014%","71.69582920655883%","19.753494002421043%","58.060966215472654%","41.9170243204578%","0.022009464069549907%","6.6417006278224475%","17.700187245291332%","75.65811212688622%","0.03301419610432486%","99.96698580389568%","33.432375921646305%","66.53460988224937%","0.03301419610432486%"
"DURG","1.3496625843539116%","89.60259935016246%","9.04773806548363%","13.621594601349663%","71.10722319420145%","15.271182204448888%","76.03099225193702%","23.294176455886028%","0.6748312921769558%","33.266683329167705%","44.38890277430642%","22.344413896525868%","0.07498125468632842%","99.92501874531366%","1.2503125781445361%","98.69967491872968%","0.05001250312578145%"
"BALODA BAZAR","0.1000667111407605%","3.068712474983322%","96.83122081387592%","16.95%","78.26666666666667%","4.783333333333333%","62.733333333333334%","36.13333333333333%","1.1333333333333333%","4.8214881548214885%","25.041708375041708%","70.1368034701368%","0.0834306691139663%","99.91656933088603%","8.082832331329325%","91.61656646626587%","0.30060120240480964%"
"BEMETARA","0%","6.487835308796008%","93.51216469120399%","4.254522769806613%","88.94572676232065%","6.799750467872738%","89.15782907049282%","10.804741110417966%","0.037429819089207735%","7.387994508923%","78.70959690502933%","13.902408586047672%","0.037434489643124534%","99.96256551035688%","0%","99.98752027954573%","0.012479720454261824%"
"DANTEWADA","0.2385923053981509%","4.100805249030719%","95.66060244557113%","6.7700566656725325%","80.48016701461378%","12.749776319713689%","41.94750969281241%","46.913212048911426%","11.139278258276171%","35.580077542499254%","27.781091559797197%","36.63883089770355%","3.1026252983293556%","96.89737470167064%","0.6263982102908278%","98.4041759880686%","0.9694258016405667%"
"KORBA","0.175065649618607%","1.563086157308991%","98.2618481930724%","0.3998500562289142%","99.42521554417094%","0.17493439960014995%","51.23078845432963%","48.244408346869925%","0.5248031988004498%","12.512512512512513%","19.28178178178178%","68.20570570570571%","0.2128725269221137%","99.78712747307789%","0.11290929619872037%","99.77418140760255%","0.11290929619872037%"
"DHAMTARI","0.8005718370264474%","54.98213009292352%","44.217298070050035%","36.02573266619014%","36.21157969978556%","27.762687634024303%","48.87046039462396%","48.91335430368888%","2.2161853016871604%","20.283221284508652%","44.11386067801459%","35.602918037476755%","0.25747389500786727%","99.74252610499214%","4.124301875984534%","95.68953171989116%","0.18616640412430188%"
"MOHLA MANPUR AMBAGARH CHOUKI","0.16672224074691563%","2.367455818606202%","97.46582194064688%","5.3%","43.3%","51.4%","62.5%","35.56666666666667%","1.9333333333333333%","66.25541847282427%","23.307769256418805%","10.436812270756919%","0.3669112741827885%","99.63308872581722%","2.8361695028361695%","97.13046379713046%","0.0333667000333667%"
"KOREA","0.12%","9.72%","90.16%","6.16%","85.8%","8.04%","28%","63.36%","8.64%","9.32%","27.24%","63.44%","0.08006405124099279%","99.919935948759%","23.28%","76.72%","0%"
"BASTAR","0.11767474699929395%","28.97152271122617%","70.91080254177453%","13.261943986820429%","69.11037891268533%","17.627677100494235%","23.0171805130619%","62.3676159096258%","14.61520357731231%","2.8245263034012003%","39.990584912322%","57.1848887842768%","0.7299270072992701%","99.27007299270073%","13.629943502824858%","86.29943502824858%","0.07062146892655367%"
"MAHASAMUND","0.04231908590774439%","7.885456340809705%","92.07222457328255%","0.7051191651389085%","92.4411225497109%","6.853758285150191%","43.296207528549274%","56.464119554490345%","0.23967291696038348%","2.8506915043748235%","41.61727349703641%","55.53203499858876%","0.1271725307333616%","99.87282746926664%","7.923033389926429%","91.96378041878891%","0.11318619128466327%"
"Bilaspur","1%","62.85%","36.15%","9.05%","74.25%","16.7%","91.05%","8.55%","0.4%","22.35%","23.4%","54.25%","0.05%","99.95%","0.15%","99.8%","0.05%"
"SURAJPUR","0%","0.0998003992015968%","99.9001996007984%","0.014255167498218105%","60.05702066999287%","39.92872416250891%","17.892785856857714%","81.45138294838894%","0.6558311947533504%","0.05703693141308998%","2.7520319406815914%","97.19093112790532%","0%","100%","25.360148338325487%","74.63985166167451%","0%"
"GARIYABAND","0.2313030069390902%","0.025700334104343355%","99.74299665895657%","0.28104241185487994%","98.41594276954523%","1.3030148185998978%","75.26555386949924%","24.10217501264542%","0.6322711178553364%","2.0968159461558376%","80.35205798602122%","17.551126067822935%","1.0166840458811262%","98.98331595411888%","0.2110261144816671%","99.366921656555%","0.4220522289633342%"
