"District","Copper - Sufficient","Copper - Deficient","Boron - Sufficient","Boron - Deficient","S - Sufficient","S - Deficient","Fe - Sufficient","Fe - Deficient","Zn - Sufficient","Zn - Deficient","Mn - Sufficient","Mn - Deficient"
"KOREA","97.23689557090614%","2.7631044290938642%","100%","0%","46.525802519301095%","53.474197480698905%","99.75619666802113%","0.24380333197887039%","88.74441284030881%","11.255587159691183%","100%","0%"
"SAKTI","95.65664353636598%","4.343356463634027%","29.882763781491644%","70.11723621850835%","0.2491280518186348%","99.75087194818137%","89.38576201490619%","10.614237985093807%","43.16953949060972%","56.83046050939028%","98.5097636176773%","1.4902363823227132%"
"KHAIRGARH CHHUIKHADAN GANDAI","96.89793195463642%","3.1020680453635756%","72.83333333333333%","27.166666666666668%","34.87829276425475%","65.12170723574525%","74.81580709979906%","25.184192900200937%","73.24649298597194%","26.753507014028056%","88.56285428476158%","11.437145715238414%"
"SARANGARH BILAIGARH","98.6635482793184%","1.3364517206815905%","37.94137241838774%","62.05862758161226%","98.96735509660226%","1.0326449033977347%","92.57161892071952%","7.42838107928048%","36.25458180606464%","63.74541819393536%","99.10059960026649%","0.899400399733511%"
"SUKMA","98.76666666666667%","1.2333333333333334%","19.67376830892144%","80.32623169107856%","0.2663115845539281%","99.73368841544607%","98.26839826839827%","1.7316017316017316%","24.001331557922768%","75.99866844207723%","97.10386151797603%","2.896138482023968%"
"NARAYANPUR","55.288220551378444%","44.711779448621556%","37.7%","62.3%","0.6%","99.4%","30.6%","69.4%","17.56756756756757%","82.43243243243244%","86.6%","13.4%"
"JANJGIR-CHAMPA","98.53333333333333%","1.4666666666666666%","99.08333333333333%","0.9166666666666666%","82.6695550741543%","17.330444925845693%","94.8675220796534%","5.132477920346609%","41.516666666666666%","58.483333333333334%","99.7333777703716%","0.26662222962839527%"
"MANENDRAGARH CHIRIMIRI BHARATPUR","95.18025078369907%","4.8197492163009406%","98.2765374069722%","1.7234625930278105%","49.373040752351095%","50.626959247648905%","99.84332158245202%","0.15667841754798276%","95.84802193497846%","4.151978065021543%","99.84332158245202%","0.15667841754798276%"
"SURAJPUR","99.98336660013307%","0.0166333998669328%","99.98336660013307%","0.0166333998669328%","99.9500998003992%","0.0499001996007984%","99.98336660013307%","0.0166333998669328%","95.9740475794377%","4.0259524205623025%","99.98336660013307%","0.0166333998669328%"
"Gaurella Pendra Marwahi","97.03153988868274%","2.968460111317254%","97.42502272038776%","2.5749772796122388%","26.159442255228857%","73.84055774477115%","92.98082869511441%","7.019171304885591%","57.875457875457876%","42.124542124542124%","94.99536607970343%","5.004633920296571%"
"DURG","99.85%","0.15%","89.225%","10.775%","83.025%","16.975%","96.675%","3.325%","91.1%","8.9%","98.89972493123281%","1.1002750687671918%"
"BEMETARA","99.97506234413964%","0.02493765586034913%","9.301745635910224%","90.69825436408978%","67.4064837905237%","32.593516209476306%","45.53615960099751%","54.46384039900249%","22.26932668329177%","77.73067331670823%","99.87531172069825%","0.12468827930174564%"
"BIJAPUR","87.42190753852562%","12.578092461474386%","79.69596001665973%","20.304039983340274%","51.957517700957936%","48.042482299042064%","76.05164514785506%","23.948354852144938%","65.80591420241566%","34.19408579758434%","92.04498125780924%","7.955018742190754%"
"DANTEWADA","86.47838040489877%","13.521619595101225%","80.85478630342415%","19.145213696575855%","50.08747813046738%","49.91252186953262%","73.05673581604599%","26.94326418395401%","48.862784303924016%","51.137215696075984%","92.97675581104724%","7.023244188952762%"
"DHAMTARI","99.81428571428572%","0.18571428571428572%","39.451506927581775%","60.548493072418225%","55.341331048271925%","44.658668951728075%","98.7289345901171%","1.2710654098828906%","40.95972579263068%","59.04027420736932%","98.62896315338475%","1.3710368466152527%"
"RAIGARH","99.81529769665363%","0.18470230334637114%","99.95655007603737%","0.043449923962633065%","62.29632848142516%","37.70367151857484%","98.55529002824245%","1.4447099717575493%","75.97219204866391%","24.027807951336086%","98.95720182489681%","1.0427981751031936%"
"MOHLA MANPUR AMBAGARH CHOUKI","89.9531145344943%","10.046885465505694%","79.07907907907908%","20.92092092092092%","51.818485151818486%","48.181514848181514%","64.2%","35.8%","75.9%","24.1%","91.06368789596532%","8.936312104034679%"
"JASHPUR","100%","0%","96.66564698684613%","3.3343530131538697%","15.279902110737229%","84.72009788926277%","99.90822881615173%","0.09177118384827164%","3.242581829305598%","96.75741817069441%","100%","0%"
"GARIYABAND","99.92533598805376%","0.0746640119462419%","98.38227974116477%","1.6177202588352415%","29.34295669487307%","70.65704330512693%","99.67645594823296%","0.32354405176704826%","43.55400696864111%","56.44599303135889%","99.95022399203584%","0.049776007964161276%"
"KANKER","99.70023315199289%","0.29976684800710557%","99.9222826690352%","0.07771733096480515%","99.88898756660745%","0.11101243339253997%","99.95559502664298%","0.04440497335701599%","2.020426287744227%","97.97957371225577%","99.98889875666075%","0.011101243339253997%"
"MAHASAMUND","99.98316498316498%","0.016835016835016835%","99.66352624495289%","0.3364737550471063%","94.63414634146342%","5.365853658536586%","96.95542472666106%","3.0445752733389404%","71.42136248948697%","28.578637510513037%","99.73086627417999%","0.2691337258200168%"
"BALODA BAZAR","99.14017196560688%","0.8598280343931214%","38.55084067253803%","61.44915932746197%","98.98020395920815%","1.0197960407918416%","66.36672665466907%","33.633273345330934%","22.355528894221155%","77.64447110577885%","89.52209558088383%","10.477904419116177%"
"BASTAR","95.50201756468076%","4.49798243531925%","19.893364928909953%","80.10663507109005%","0.2369106846718787%","99.76308931532812%","94.07723288320304%","5.922767116796967%","39.12322274881517%","60.87677725118483%","91.71899064091932%","8.281009359080677%"
"KONDAGAON","46.5055387713998%","53.4944612286002%","64.37699680511182%","35.62300319488818%","76.13817891373802%","23.86182108626198%","40.30357499500699%","59.69642500499301%","14.180147793089674%","85.81985220691033%","88.59824281150159%","11.401757188498403%"
"BALOD","99.20991201292871%","0.7900879870712875%","82.93779216109313%","17.06220783890687%","71.92100538599641%","28.07899461400359%","91.48401006108516%","8.51598993891484%","70.4296243034334%","29.5703756965666%","99.08438061041292%","0.9156193895870736%"
"MUNGELI","95.73459715639811%","4.265402843601896%","99.84210526315789%","0.15789473684210525%","77.42105263157895%","22.57894736842105%","80.86842105263158%","19.13157894736842%","84.75914714398526%","15.24085285601474%","99.42105263157895%","0.5789473684210527%"
"KABIRDHAM","99.12472647702407%","0.87527352297593%","93.84727626459144%","6.152723735408561%","40.90909090909091%","59.09090909090909%","89.1832766164317%","10.816723383568304%","50.51045211473019%","49.48954788526981%","98.00680602819641%","1.9931939718035974%"
"Balrampur","99.9334995843724%","0.06650041562759768%","93.70327296893171%","6.296727031068284%","99.75078916763582%","0.2492108323641801%","99.70094700116299%","0.29905299883701614%","38.04618707426483%","61.95381292573517%","99.86708755607243%","0.1329124439275627%"
"RAIPUR","99.94999166527755%","0.050008334722453744%","99.03317219536589%","0.9668278046341057%","99.56652217405802%","0.43347782594198064%","99.76658886295432%","0.2334111370456819%","97.01616936156026%","2.98383063843974%","99.98333055509252%","0.01666944490748458%"
"Bilaspur","99.53259532595325%","0.46740467404674046%","100%","0%","66.2428322114186%","33.7571677885814%","93.94833948339483%","6.051660516605166%","90.10826771653544%","9.891732283464567%","98.37638376383764%","1.6236162361623616%"
"SURGUJA","99.81428571428572%","0.18571428571428572%","95.97200399942865%","4.027996000571347%","99.85718366181091%","0.14281633818908884%","99.32876321051128%","0.6712367894887175%","72.56106270532781%","27.43893729467219%","99.70008568980292%","0.29991431019708653%"
"RAJNANDGAON","97.1971971971972%","2.8028028028028027%","46.48216072024008%","53.51783927975992%","34.9%","65.1%","68.93333333333334%","31.066666666666666%","46.43333333333333%","53.56666666666667%","98.06666666666666%","1.9333333333333333%"
"KORBA","99.867197875166%","0.13280212483399734%","99.92022337455126%","0.07977662544874352%","18.907060231352215%","81.09293976864778%","99.9003984063745%","0.099601593625498%","9.03054448871182%","90.96945551128817%","99.8339973439575%","0.16600265604249667%"
