"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"JUNAGADH","0%","8.2864038616251%","91.7135961383749%","78.15794175451134%","17.60764695372521%","4.234411291763445%","72.13597430406853%","18.977516059957175%","8.886509635974305%","13.003400751745122%","47.637372471809556%","39.35922677644532%","6.824500044839028%","93.17549995516097%","0.026971140879259194%","99.9280769576553%","0.04495190146543199%"
"DOHAD","0%","21.250171538355975%","78.74982846164403%","64.38863729930013%","28.914505283381363%","6.696857417318513%","40.29779058597502%","56.77233429394813%","2.9298751200768494%","12.103746397694524%","46.281048442431725%","41.615205159873746%","55.022643062988884%","44.977356937011116%","0.0823440609346051%","99.89020791875386%","0.02744802031153503%"
"SURENDRANAGAR","1.1204481792717087%","33.82764870654144%","65.05190311418686%","76.46234964574064%","23.372878563189982%","0.16477179106936893%","69.20415224913495%","30.680507497116494%","0.11534025374855825%","8.798813643104301%","45.36167408139727%","45.839512275498436%","0.9062448508815291%","99.09375514911846%","0%","99.5798319327731%","0.42016806722689076%"
"NARMADA","0.00929022668153103%","35.16350798959495%","64.82720178372352%","66.6140709114535%","8.26990904028216%","25.11602004826434%","52.2877030162413%","31.87935034802784%","15.832946635730858%","65.98772321428571%","23.660714285714285%","10.3515625%","0%","100%","0%","99.99065944330282%","0.009340556697179151%"
"PATAN","0%","0.22665853020660798%","99.7733414697934%","59.98605178275652%","38.13965652515038%","1.8742916920931043%","91.46543457414349%","8.534565425856508%","0%","15.560979862261355%","51.904803417313225%","32.53421672042542%","40.031383488797836%","59.968616511202164%","0%","99.97384709266846%","0.026152907331531687%"
"CHHOTAUDEPUR","0.015049663890839771%","38.687669308718775%","61.29728102739039%","19.90067221832046%","36.525534263068124%","43.57379351861142%","52.839369920738434%","33.174475770041134%","13.986154309220428%","76.15129928764924%","18.044547005116886%","5.804153707233872%","2.5985752984850006%","97.401424701515%","0.010033109260559848%","98.71074546001806%","1.2792214307213805%"
"PANCH MAHALS","0%","44.24969987995198%","55.75030012004802%","47.40296118447379%","47.747098839535816%","4.849939975990396%","41.08843537414966%","51.95678271308523%","6.954781912765106%","83.59343737494999%","13.02921168467387%","3.3773509403761506%","2.392957182873149%","97.60704281712685%","0.008003201280512205%","99.89595838335335%","0.09603841536614646%"
"GIR SOMNATH","0.32177332856632107%","51.62674293886307%","48.05148373257061%","4.738095238095238%","89.69047619047619%","5.571428571428571%","0.47568081817100727%","77.84516589368533%","21.679153288143656%","8.369149952244507%","63.61031518624642%","28.020534861509073%","70.0228557680741%","29.977144231925898%","0.02425712553062462%","98.72650090964221%","1.249241964827168%"
"AHMADABAD","0%","7.291666666666667%","92.70833333333333%","75.53030303030303%","13.93939393939394%","10.530303030303031%","87.54734848484848%","11.505681818181818%","0.946969696969697%","26.174242424242426%","32.452651515151516%","41.37310606060606%","3.475378787878788%","96.52462121212122%","0.0757647504498532%","98.69305805474004%","1.2311771948101147%"
"DANG","0.03071724773460298%","63.24681308554754%","36.72246966671786%","31.63876516664107%","21.22561818461066%","47.135616648748275%","17.44739671325449%","57.28766702503456%","25.26493626171095%","59.514667485793275%","23.068653048686837%","17.416679465519888%","1.8891107356780832%","98.11088926432191%","0%","99.9846413761327%","0.01535862386730149%"
"KACHCHH","0.41808458920758385%","11.823043266893535%","87.75887214389888%","53.398152649489546%","40.17501215362178%","6.426835196888673%","74.85658726300437%","23.276616431696645%","1.866796305298979%","13.089565301954682%","42.205582028590875%","44.70485266945444%","16.924423694193173%","83.07557630580683%","0.058365758754863814%","92.15953307392996%","7.782101167315175%"
"ANAND","0%","19.52861952861953%","80.47138047138047%","100%","0%","0%","83.41479309221245%","16.44400999239709%","0.14119691539046378%","44.93320299771913%","23.232323232323232%","31.83447376995764%","4.246768762897795%","95.7532312371022%","0%","95.64461822526339%","4.355381774736613%"
"BHARUCH","0%","12.96650014692918%","87.03349985307082%","18.726124008228034%","45.40111666176903%","35.872759330002935%","39.94269761974728%","46.07699089039083%","13.980311489861887%","51.95415809579782%","34.82221569203644%","13.223626212165737%","15.912430208639435%","84.08756979136056%","0%","99.3755509844255%","0.6244490155744931%"
"KHEDA","0%","1.8392012611665791%","98.16079873883342%","82.92170257488176%","17.078297425118233%","0%","60.65860921352251%","39.33263268523384%","0.008758101243650377%","26.05535119985987%","38.3867577509196%","35.55789104922053%","10.728674023471712%","89.27132597652829%","0%","95.3932387458399%","4.606761254160098%"
"BANAS KANTHA","0.003518029903254178%","1.7836411609498681%","98.21284080914688%","89.74142480211081%","7.6094986807387865%","2.649076517150396%","69.95602462620933%","24.344766930518908%","5.699208443271768%","14.346525945470537%","30.269129287598943%","55.38434476693052%","9.097625329815303%","90.9023746701847%","0.04925241864555849%","97.87862796833772%","2.0721196130167105%"
"ARVALLI","0%","3.363770645897677%","96.63622935410233%","79.90465959446757%","20.09534040553243%","0%","52.45065126896737%","45.82382167315698%","1.7255270578756545%","20.83389284275547%","25.627769571639586%","53.53833758560494%","16.89270847321069%","83.10729152678931%","0%","98.72431851752384%","1.2756814824761649%"
"JAMNAGAR","0.25094102885821834%","45.179841070681725%","54.56921790046006%","74.03805938937683%","25.07319113341698%","0.8887494772061899%","36.37599330823923%","57.2250104558762%","6.398996235884567%","16.54984831049273%","40.64232660320117%","42.807825086306096%","30.98252589724809%","69.0174741027519%","0%","96.89070351758794%","3.10929648241206%"
"DEVBHUMI DWARKA","0%","68.17047417930505%","31.82952582069495%","93.41777010170793%","6.563039723661485%","0.019190174630589137%","15.774323546344272%","82.07637689502974%","2.1492995586259833%","12.250384024577572%","54.64669738863287%","33.102918586789556%","69.45244956772335%","30.54755043227666%","0.21149778888675255%","96.94289559700057%","2.8456066141126706%"
"Mahisagar","0.016341204346760355%","8.30950241032764%","91.6741563853256%","37.968788299697685%","61.43475774164556%","0.596453958656753%","79.8431244382711%","20.042487131301577%","0.1143884304273225%","0.24529844644317253%","73.13982011447261%","26.61488143908422%","7.585417688409351%","92.41458231159065%","0.008170602173380177%","99.99182939782662%","0%"
"MORBI","0%","50.50922102945224%","49.49077897054776%","93.18744838976053%","6.812551610239471%","0%","45.89870630333058%","54.10129369666942%","0%","20.60280759702725%","38.274153592072665%","41.123038810900084%","1.0046793283787503%","98.99532067162124%","0%","96.42169006330856%","3.5783099366914395%"
"SABAR KANTHA","0%","0%","100%","89.02378898064835%","10.926907432515716%","0.04930358683594231%","48.90915814125478%","49.89522987797362%","1.195611980771601%","2.902748674966104%","41.889559965487486%","55.20769135954641%","4.942684580303217%","95.05731541969678%","0.006162948354492789%","99.06939479847159%","0.9244422531739184%"
"RAJKOT","0.06330449461911795%","13.828515157909544%","86.10818034747133%","97.17912552891396%","2.764456981664316%","0.056417489421720736%","79.5526482380249%","20.060490961524934%","0.3868608004501653%","5.240205387915875%","47.59091228810579%","47.16888232397834%","12.041921643103327%","87.95807835689668%","0.05627066188366041%","98.86051909685588%","1.0832102412604627%"
"MAHESANA","0.02998725541644801%","1.6792863033210885%","98.29072644126246%","43.409056942161115%","41.197130473770734%","15.39381258406815%","17.898193760262725%","63.8752052545156%","18.226600985221676%","16.789418307530436%","31.715015782353824%","51.49556591011574%","4.1314199395770395%","95.86858006042296%","0.2976190476190476%","91.8040293040293%","7.898351648351649%"
"VADODARA","0%","18.612343080508158%","81.38765691949185%","47.49304668119973%","50.48485304066752%","2.022100278132752%","50.913327820792304%","31.812373148913778%","17.274299030293918%","54.26595504773359%","25.257460723145154%","20.47658422912125%","5.735548372547545%","94.26445162745246%","0%","99.48132000300684%","0.5186799969931595%"
"TAPI","0%","17.956182013176036%","82.04381798682397%","84.7249885092692%","15.259690516316837%","0.015320974413972729%","71.19656810173127%","28.45104948674736%","0.3523824115213728%","48.96583422705684%","20.0551555078903%","30.979010265052857%","0.015320974413972729%","99.98467902558603%","0%","99.72418020226785%","0.2758197977321483%"
"BOTAD","0%","11.757634046645828%","88.24236595335417%","15.244049050252464%","61.45708102909353%","23.298869920654003%","96.34527530656408%","3.534503486415004%","0.12022120702091849%","63.81341668670353%","26.953594614089926%","9.23298869920654%","30.44000961769656%","69.55999038230344%","0%","100%","0%"
"SURAT","0%","1.26617120836774%","98.73382879163226%","82.41811175337187%","15.35232590145885%","2.2295623451692816%","48.07321772639692%","51.69969721992843%","0.22708505367464904%","21.208367740159648%","30.195430773465457%","48.596201486374895%","1.4106798788879713%","98.58932012111202%","0.061932287365813375%","98.91274428846683%","1.0253234241673548%"
"GANDHINAGAR","0%","1.0452961672473868%","98.95470383275261%","98.81216344630978%","1.1719987329743426%","0.015837820715869498%","89.59290353239348%","10.296214161254554%","0.11088230635197212%","21.191004117833387%","48.30535318340196%","30.50364269876465%","5.163129553373456%","94.83687044662655%","0.04751346214760849%","99.00221729490022%","0.9502692429521697%"
"PORBANDAR","0.030102347983142687%","12.944009632751355%","87.02588801926551%","40.728476821192054%","34.738109572546655%","24.533413606261288%","94.52137266706804%","3.6122817579771223%","1.8663455749548465%","53.91330523780855%","32.540638169777246%","13.546056592414208%","56.26128838049368%","43.73871161950632%","0%","99.96989765201685%","0.030102347983142687%"
"AMRELI","0%","11.020315514697538%","88.97968448530246%","73.30609465440926%","26.637158097832256%","0.056747247758483714%","57.51901032799909%","23.096129837702872%","19.384859834298037%","25.876744977868572%","19.71399387129724%","54.40926115083418%","3.8701622971285894%","96.12983770287141%","0.011349449551696743%","98.37702871410737%","1.6116218363409374%"
