"District","Copper - Sufficient","Copper - Deficient","Boron - Sufficient","Boron - Deficient","S - Sufficient","S - Deficient","Fe - Sufficient","Fe - Deficient","Zn - Sufficient","Zn - Deficient","Mn - Sufficient","Mn - Deficient"
"VADODARA","100%","0%","98.1559220389805%","1.8440779610194902%","0.07496251874062969%","99.92503748125937%","80.53973013493254%","19.460269865067467%","94.94752623688156%","5.05247376311844%","99.98500749625187%","0.014992503748125937%"
"DANG","100%","0%","87.06451612903226%","12.935483870967742%","94.12903225806451%","5.870967741935484%","94.45161290322581%","5.548387096774194%","97.51612903225806%","2.4838709677419355%","99.96774193548387%","0.03225806451612903%"
"ARVALLI","99.72932330827068%","0.2706766917293233%","92.9172932330827%","7.082706766917293%","95.50375939849624%","4.496240601503759%","95.45864661654136%","4.541353383458647%","85.57894736842105%","14.421052631578947%","99.33834586466165%","0.6616541353383458%"
"BHAVNAGAR","97.95070220693609%","2.049297793063915%","64.7834815027244%","35.216518497275594%","97.99426934097421%","2.005730659025788%","60.85959885386819%","39.14040114613181%","72.85366203239215%","27.146337967607856%","77.93696275071633%","22.063037249283667%"
"VALSAD","96.07424791977812%","3.92575208022189%","64.11953041622199%","35.880469583778016%","88.18763326226012%","11.812366737739872%","98.37953091684435%","1.6204690831556503%","58.45690952073931%","41.54309047926069%","99.91471215351812%","0.08528784648187633%"
"BOTAD","83.47368421052632%","16.526315789473685%","3.6315789473684212%","96.36842105263158%","99.21052631578948%","0.7894736842105263%","62.89473684210526%","37.10526315789474%","99.05263157894737%","0.9473684210526315%","100%","0%"
"GIR SOMNATH","79.2463768115942%","20.753623188405797%","20.52173913043478%","79.47826086956522%","92.57971014492753%","7.420289855072464%","65.5072463768116%","34.492753623188406%","65.07246376811594%","34.927536231884055%","21.217391304347824%","78.78260869565217%"
"AHMADABAD","98.10416666666667%","1.8958333333333333%","75.95833333333333%","24.041666666666668%","98.97916666666667%","1.0208333333333333%","49.25%","50.75%","67.16666666666667%","32.833333333333336%","69.52083333333333%","30.479166666666668%"
"ANAND","99.97222222222223%","0.027777777777777776%","86.63888888888889%","13.36111111111111%","26.5%","73.5%","79.77777777777777%","20.22222222222222%","97.02777777777777%","2.9722222222222223%","99.91666666666667%","0.08333333333333333%"
"JUNAGADH","70.67961165048544%","29.320388349514563%","7.067961165048544%","92.93203883495146%","88.93203883495146%","11.067961165048544%","50.15533980582524%","49.84466019417476%","28.601941747572816%","71.39805825242719%","95.10679611650485%","4.893203883495145%"
"SURENDRANAGAR","82.71626297577855%","17.283737024221452%","3.2006920415224913%","96.79930795847751%","99.60207612456747%","0.39792387543252594%","67.88927335640139%","32.11072664359862%","98.54671280276817%","1.453287197231834%","99.93079584775087%","0.06920415224913495%"
"DOHAD","95.82548195390636%","4.174518046093636%","4.971014492753623%","95.02898550724638%","45.55072463768116%","54.44927536231884%","48.26086956521739%","51.73913043478261%","41.98550724637681%","58.01449275362319%","97.1159420289855%","2.8840579710144927%"
"GANDHINAGAR","98.95833333333333%","1.0416666666666667%","35.763888888888886%","64.23611111111111%","90.34722222222223%","9.652777777777779%","19.20138888888889%","80.79861111111111%","58.19444444444444%","41.80555555555556%","98.75%","1.25%"
"NAVSARI","100%","0%","98.98936170212765%","1.0106382978723405%","98.56382978723404%","1.4361702127659575%","90.05319148936171%","9.946808510638299%","98.03191489361703%","1.9680851063829787%","99.92021276595744%","0.0797872340425532%"
