"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"AMBALA","0%","0%","0%","61.15824298208261%","35.353270660683286%","3.4884863572341054%","13.718553459119496%","44.96200209643606%","41.31944444444444%","0.022929018310458908%","21.170035048642273%","78.80703593304726%","0.0032755740443512725%","99.99672442595565%","0.009826722133053818%","95.73520259425464%","4.254970683612303%"
"KARNAL","0%","0%","0%","94.9171434940923%","0.16348368878650515%","4.919372817121201%","88.66017685962696%","10.960838225458868%","0.3789849149141711%","0.2972430705209185%","47.67778851155533%","52.02496841792376%","0.014862153526045923%","99.98513784647396%","0%","96.55941145872036%","3.4405885412796313%"
"NUH","0%","0%","0%","76.07459169578289%","19.042008612984482%","4.883399691232632%","21.23138800300636%","57.38893741493835%","21.379674582055294%","0.40423327713339696%","2.3786792337849643%","97.21708748908163%","42.87310325214813%","57.12689674785187%","0.004062646001340673%","93.98525259501514%","6.010684758983526%"
"KAITHAL","0%","0%","0%","75.13441345217046%","23.97069967163425%","0.8948868761952874%","39.07552412225309%","26.323386136470248%","34.60108974127666%","62.800851585898315%","31.515895067296935%","5.683253346804749%","34.998015371847146%","65.00198462815285%","0%","91.43001479450078%","8.569985205499224%"
"PANCHKULA","0%","0%","0%","58.46549507072439%","37.61965995142163%","3.914844977853979%","36.79097013859123%","56.95099299899986%","6.2580368624089155%","0%","3.7291041577368196%","96.27089584226319%","0%","100%","0.014287755393627661%","99.0141448778397%","0.971567366766681%"
"REWARI","0%","0%","0%","39.83416475664015%","48.867466630713224%","11.298368612646623%","1.6044222731562627%","23.14502718978922%","75.25055053705451%","0.3999820232798526%","2.5661768010426496%","97.0338411756775%","4.988539840906027%","95.01146015909397%","0.002247090018426138%","98.33715338636466%","1.660599523616916%"
"PALWAL","0%","0%","0%","69.967098498869%","30.03290150113099%","0%","72.1673863870039%","27.812050174789224%","0.02056343820686819%","0%","0.431832202344232%","99.56816779765578%","2.2416452442159382%","97.75835475578405%","0%","100%","0%"
"CHARKI DADRI","0%","0%","0%","13.401741293532337%","86.25621890547264%","0.3420398009950249%","0.8706467661691543%","88.58830845771145%","10.541044776119403%","0%","0.9017412935323383%","99.09825870646766%","0.03109452736318408%","99.96890547263682%","0.03109452736318408%","99.96890547263682%","0%"
"KURUKSHETRA","0%","0%","0%","69.56941690813889%","25.07244166539576%","5.358141426465355%","55.11158558283768%","36.85120227746429%","8.037212139698033%","0.06608713334350058%","7.691525596055106%","92.2423872706014%","2.8417467337705253%","97.15825326622948%","0.07117075898530832%","97.92588073814244%","2.0029485028722487%"
"SIRSA","0%","0%","0%","30.268598514135878%","43.883416815141025%","25.847984670723097%","50.98329243285037%","37.38528254950079%","11.631425017648839%","0.05717360597296025%","13.12302414744064%","86.8198022465864%","1.3753909271278206%","98.62460907287218%","0.03699095403033258%","96.57665534519286%","3.38635370077681%"
"JIND","0%","0%","0%","0%","99.94166666666666%","0.058333333333333334%","98.31666666666666%","1.6458333333333333%","0.0375%","0%","0.08333333333333333%","99.91666666666667%","0.8%","99.2%","0%","99.94166666666666%","0.058333333333333334%"
"FATEHABAD","0%","0%","0%","76.98867512621095%","23.011324873789057%","0%","58.213944603629415%","40.57170145995361%","1.2143539364169738%","7.272479192249966%","87.58357211079274%","5.143948696957293%","0%","100%","0%","99.99317778687406%","0.006822213125938054%"
