"District","Copper - Sufficient","Copper - Deficient","Boron - Sufficient","Boron - Deficient","S - Sufficient","S - Deficient","Fe - Sufficient","Fe - Deficient","Zn - Sufficient","Zn - Deficient","Mn - Sufficient","Mn - Deficient"
"PANCHKULA","96.99032223758375%","3.00967776241625%","89.68886216744326%","10.31113783255674%","85.13169073916737%","14.868309260832625%","82.98120819619918%","17.018791803800827%","90.230434320909%","9.769565679091006%","68.41099670947882%","31.589003290521177%"
"JHAJJAR","97.6558384547849%","2.344161545215101%","100%","0%","99.02635104957571%","0.9736489504242966%","67.16981132075472%","32.83018867924528%","87.6689485694225%","12.331051430577498%","96.27906976744185%","3.7209302325581395%"
"KAITHAL","98.72723282861531%","1.2727671713846829%","3.502612671456564%","96.49738732854344%","96.58376005852232%","3.4162399414776883%","71.07746324336186%","28.922536756638138%","57.7260755048288%","42.2739244951712%","63.54989757096869%","36.45010242903131%"
"JIND","99.95667557224348%","0.043324427756516716%","99.27884615384616%","0.7211538461538461%","99.99277926204059%","0.007220737959419452%","96.75788865622067%","3.2421113437793343%","91.14015452379233%","8.859845476207669%","99.61730088815077%","0.382699111849231%"
"SIRSA","55.20199501246883%","44.79800498753117%","26.29353233830846%","73.70646766169155%","75.32209123016465%","24.677908769835348%","18.590190030842702%","81.4098099691573%","34.75099601593625%","65.24900398406375%","14.684375466348307%","85.3156245336517%"
"REWARI","99.94910941475827%","0.05089058524173028%","0%","0%","98.46612387321896%","1.533876126781041%","99.68013957545799%","0.319860424542018%","99.29485315498691%","0.7051468450130852%","99.93458351504579%","0.06541648495420846%"
"MAHENDRAGARH","97.34880649117841%","2.6511935088215868%","21.733798698236015%","78.26620130176399%","80.16027340757763%","19.839726592422366%","40.834364504154145%","59.165635495845855%","62.41970652366079%","37.58029347633921%","86.73619704201285%","13.263802957987155%"
"PALWAL","99.1860351083652%","0.8139648916347946%","0%","0%","100%","0%","95.36274509803921%","4.637254901960785%","98.73529411764706%","1.2647058823529411%","95.66666666666667%","4.333333333333333%"
"FARIDABAD","0%","0%","0%","0%","100%","0%","99.96%","0.04%","99.56%","0.44%","100%","0%"
"NUH","98.11031175059952%","1.8896882494004796%","8.93574297188755%","91.06425702811245%","90.95%","9.05%","72.68333333333334%","27.316666666666666%","84.2611111111111%","15.738888888888889%","86.81666666666666%","13.183333333333334%"
"BHIWANI","94.7782697308314%","5.221730269168599%","61.29032258064516%","38.70967741935484%","94.30820040756096%","5.691799592439041%","32.8109627547435%","67.1890372452565%","76.8430669758943%","23.1569330241057%","89.7133220910624%","10.286677908937605%"
"YAMUNANAGAR","97.27767695099818%","2.722323049001815%","66.66666666666667%","33.333333333333336%","79.9741914670538%","20.025808532946204%","89.30112513610517%","10.698874863894826%","88.47037948138887%","11.529620518611122%","32.81445336129371%","67.1855466387063%"
"CHARKI DADRI","98.57745629897529%","1.4225437010247137%","0%","0%","84.96684749849307%","15.033152501506931%","86.66666666666667%","13.333333333333334%","78.55334538878843%","21.446654611211574%","99.71066907775769%","0.28933092224231466%"
"KARNAL","99.81455465018263%","0.18544534981736444%","0.437636761487965%","99.56236323851203%","98.24157303370787%","1.7584269662921348%","97.1009607281308%","2.899039271869206%","99.37078651685393%","0.6292134831460674%","98.79213483146067%","1.2078651685393258%"
"AMBALA","86.01631857135526%","13.983681428644738%","100%","0%","84.21430770809812%","15.785692291901878%","82.77153558052434%","17.228464419475657%","80.80616174582798%","19.193838254172015%","57.15165195977837%","42.84834804022163%"
"FATEHABAD","94.75225398782462%","5.247746012175387%","59.14887079428484%","40.85112920571516%","89.04099054064447%","10.959009459355533%","57.28677997385219%","42.71322002614781%","82.58729426242117%","17.412705737578833%","64.08797293140572%","35.91202706859428%"
"PANIPAT","99.66513704576461%","0.33486295423539625%","89.41368078175896%","10.586319218241043%","97.27121067683508%","2.728789323164919%","91.63787969029184%","8.36212030970816%","93.62639980938766%","6.3736001906123425%","88.64800476474092%","11.351995235259082%"
"KURUKSHETRA","98.22005447520111%","1.7799455247988851%","33.73440285204991%","66.26559714795009%","96.73425557450571%","3.2657444254942836%","88.54508714321798%","11.454912856782016%","95.38276907529055%","4.61723092470945%","94.65142712806264%","5.348572871937358%"
"GURUGRAM","50%","50%","100%","0%","79.03689506468615%","20.963104935313847%","78.05755395683454%","21.942446043165468%","99.42161706229666%","0.5783829377033377%","81.40600506451224%","18.59399493548776%"
"HISAR","88.46769887880406%","11.532301121195943%","9.44%","90.56%","94.29011312671531%","5.709886873284691%","51.17705901967322%","48.82294098032678%","57.430629669156886%","42.569370330843114%","82.45965052687741%","17.540349473122582%"
"SONIPAT","94.45825413072086%","5.541745869279135%","21.643401928335013%","78.35659807166499%","94.70039364338825%","5.299606356611751%","45.130485493512175%","54.869514506487825%","67.25483047757929%","32.74516952242071%","55.741888443310245%","44.258111556689755%"
"ROHTAK","95.84569732937686%","4.154302670623146%","48.84701912260967%","51.15298087739033%","97.2287093258602%","2.7712906741398102%","79.02849135917795%","20.971508640822044%","73.94486840056067%","26.05513159943934%","80.22730811147439%","19.77269188852561%"
