"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"BILASPUR","0.018060321473722232%","90.89759797724399%","9.084341701282282%","0.2707092582566324%","84.87637610539613%","14.85291463634723%","0.1444043321299639%","94.13357400722022%","5.722021660649819%","2.8846153846153846%","85.88534107402032%","11.230043541364296%","0%","100%","0.20209443321697593%","99.7060444607753%","0.09186110600771634%"
"MANDI","0.1854943424225561%","3.8490076052680395%","95.9654980523094%","23.745478156015214%","45.31119562192747%","30.943326222057323%","44.782487709859936%","42.72330952601799%","12.494202764122067%","86.21425919049388%","6.962495358336428%","6.823245451169699%","0.19504040122596825%","99.80495959877403%","1.480171290262521%","98.40811766896294%","0.11171104077452988%"
"SIRMAUR","2.6899250081512878%","68.45451581349853%","28.85555917835018%","21.965506020175724%","73.86918320859095%","4.165310771233322%","64.46898343618058%","28.97044494965898%","6.560571614160442%","89.82883475971033%","8.492429229756418%","1.6787360105332456%","0.6564551422319475%","99.34354485776805%","0.11670556852284095%","99.84994998332778%","0.03334444814938313%"
"SHIMLA","0.091324200913242%","0.05218525766470972%","99.85649054142205%","42.79578289730574%","42.340231680333204%","14.863985422361058%","69.78501628664495%","26.449511400651467%","3.765472312703583%","98.11370186009955%","1.1134398742467906%","0.7728582656536547%","0.14527205493924986%","99.85472794506074%","0.8960813160358433%","99.03704694396149%","0.06687174000267487%"
"KANGRA","0.09593092973059397%","53.64937245183468%","46.25469661843473%","27.998081228014073%","69.26766869203709%","2.7342500799488327%","67.37548964745383%","29.418818450715484%","3.205691901830682%","81.77166613367444%","17.676686920370962%","0.5516469459545891%","0.11194626579241963%","99.88805373420757%","1.5430124720179086%","98.43300287815798%","0.023984649824112567%"
"KULLU","0%","0.40998217468805703%","99.59001782531195%","78.55614973262033%","19.233511586452764%","2.2103386809269163%","48.03921568627451%","39.09090909090909%","12.869875222816399%","94.8663101604278%","1.9429590017825311%","3.1907308377896615%","0.6951871657754011%","99.3048128342246%","2.6381461675579323%","97.3083778966132%","0.053475935828877004%"
"CHAMBA","0%","87.16697173073013%","12.83302826926988%","0.0406421459053038%","80.89819142450722%","19.061166429587484%","0%","67.83685064935065%","32.16314935064935%","98.88029315960912%","0.9568403908794788%","0.16286644951140064%","0.14326647564469913%","99.8567335243553%","0.22652388797364087%","99.71169686985174%","0.06177924217462932%"
"SOLAN","0%","0%","100%","46.297499188048064%","34.572913283533616%","19.129587528418316%","25.962006819288845%","59.0842669264491%","14.953726254262056%","79.00211279050869%","9.735088574679018%","11.262798634812286%","3.9954523306805263%","96.00454766931948%","1.3995117982099268%","98.42148087876322%","0.1790073230268511%"
"UNA","3.104176824313343%","72.59873232569478%","24.297090849991875%","0.0649456080532554%","84.03961682091249%","15.89543757103426%","0.01623640201331385%","69.10212696866374%","30.88163662932294%","11.443518064410659%","43.926761484387775%","44.62972045120157%","0.03299785513941594%","99.96700214486059%","0.11725293132328309%","99.88274706867672%","0%"
"KINNAUR","0%","1.2329656067488644%","98.76703439325114%","74.17261518494485%","23.945489941596367%","1.881894873458793%","97.59896171317327%","2.336145360155743%","0.06489292667099286%","97.98570500324887%","0.9096816114359974%","1.1046133853151396%","0.26007802340702213%","99.73992197659298%","0.06565988181221274%","99.73736047275115%","0.1969796454366382%"
"HAMIRPUR","8.149857954545455%","82.67045454545455%","9.1796875%","16.918160837919405%","79.63784839339606%","3.4439907686845377%","12.533285993254038%","84.48428901118409%","2.9824249955618676%","48.907831646244006%","44.02415201562778%","7.068016338128219%","0.15997156061144685%","99.84002843938855%","0.0889521437466643%","99.75093399750934%","0.16011385874399572%"
"LAHUL AND SPITI","0%","0.2029769959404601%","99.79702300405954%","82.13802435723952%","17.320703653585927%","0.5412719891745602%","62.5169147496617%","34.70906630581867%","2.774018944519621%","97.22598105548037%","1.6238159675236807%","1.1502029769959405%","0.8119079837618404%","99.18809201623816%","0.2706359945872801%","99.72936400541272%","0%"
