"District","Copper - Sufficient","Copper - Deficient","Boron - Sufficient","Boron - Deficient","S - Sufficient","S - Deficient","Fe - Sufficient","Fe - Deficient","Zn - Sufficient","Zn - Deficient","Mn - Sufficient","Mn - Deficient"
"SIRMAUR","100%","0%","0%","0%","0%","0%","50%","50%","100%","0%","0%","100%"
"CHAMBA","0%","0%","0%","0%","0%","0%","100%","0%","0%","0%","0%","0%"
"KULLU","97.48653500897666%","2.5134649910233393%","99.46140035906643%","0.5385996409335727%","72.62118491921005%","27.378815080789945%","89.22800718132855%","10.771992818671455%","92.1903052064632%","7.809694793536805%","73.42908438061042%","26.570915619389588%"
"SOLAN","100%","0%","0%","0%","0%","0%","97.94921875%","2.05078125%","95.30791788856305%","4.69208211143695%","81.640625%","18.359375%"
"MANDI","98.09465273509527%","1.9053472649047327%","100%","0%","50%","50%","96.38036809815951%","3.6196319018404908%","95.2760736196319%","4.723926380368098%","84.5398773006135%","15.460122699386503%"
"UNA","100%","0%","0%","0%","0%","0%","100%","0%","83.33333333333333%","16.666666666666668%","100%","0%"
"SHIMLA","99.00542495479205%","0.9945750452079566%","0%","0%","0%","0%","93.5862691960253%","6.4137308039747065%","89.5117540687161%","10.488245931283906%","66.66666666666667%","33.333333333333336%"
"KANGRA","99.95157384987894%","0.048426150121065374%","99.12832929782083%","0.8716707021791767%","99.8547215496368%","0.14527845036319612%","99.17675544794189%","0.8232445520581114%","99.90314769975787%","0.09685230024213075%","99.27360774818402%","0.7263922518159807%"
"BILASPUR","100%","0%","100%","0%","100%","0%","89.7410358565737%","10.258964143426295%","88.13559322033899%","11.864406779661017%","99.800796812749%","0.199203187250996%"
"HAMIRPUR","100%","0%","0%","0%","99.1991991991992%","0.8008008008008008%","97.09709709709709%","2.9029029029029028%","98.29829829829829%","1.7017017017017018%","96.7967967967968%","3.2032032032032034%"
"LAHUL AND SPITI","100%","0%","100%","0%","100%","0%","98.07692307692308%","1.9230769230769231%","99.03846153846153%","0.9615384615384616%","36.53846153846154%","63.46153846153846%"
"KINNAUR","100%","0%","0%","0%","0%","0%","100%","0%","100%","0%","100%","0%"
