"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"Budgam","3.293103448275862%","65.62068965517241%","31.086206896551722%","68.83295983451129%","30.460265471470436%","0.7067746940182728%","15.879310344827585%","82.3103448275862%","1.8103448275862069%","62.541111303444694%","20.89319716115631%","16.565691535398997%","0.27860003482500434%","99.721399965175%","0.30168589174800353%","99.34338952972493%","0.354924578527063%"
"ANANTNAG","24.575766597201547%","69.1426019648705%","6.281631437927954%","27.88390345031838%","67.34784540204353%","4.768251147638087%","28.282380741397134%","61.792940481465074%","9.924678777137794%","51.19653006281783%","40.81663176787317%","7.986838169309004%","2.1154145279203607%","97.88458547207964%","0.730260155180283%","98.8589685075308%","0.4107713372889092%"
"GANDERBAL","31.385696040868456%","65.99616858237547%","2.6181353767560664%","57.69476372924649%","40.29374201787995%","2.0114942528735633%","62.53593101245608%","33.98275311402108%","3.4813158735228362%","95.07829977628636%","4.410354745925216%","0.5113454777884308%","5.859750240153699%","94.1402497598463%","2.0218228498074455%","97.30423620025674%","0.6739409499358151%"
"UDHAMPUR","34.48275862068966%","57.04433497536946%","8.472906403940886%","15.877712031558186%","68.44181459566074%","15.680473372781066%","7.487684729064039%","67.0935960591133%","25.41871921182266%","49.85221674876847%","36.45320197044335%","13.694581280788178%","0.09881422924901186%","99.90118577075098%","0%","100%","0%"
"SHOPIAN","0.55396370582617%","57.688634192932184%","41.757402101241645%","7.473241590214068%","90.4434250764526%","2.0833333333333335%","21.90366972477064%","53.36391437308868%","24.732415902140673%","70.63886763580719%","25.631216526396326%","3.7299158377964803%","0.7267163893669918%","99.273283610633%","12.808730614589317%","87.05724679303083%","0.1340225923798583%"
"JAMMU","1.7713903743315509%","56.216577540106954%","42.0120320855615%","2.5692359025692357%","96.06272939606274%","1.3680347013680347%","12.545879212545879%","85.48548548548548%","1.9686353019686353%","4.7283702213279675%","33.266264252179745%","62.005365526492284%","0.3033367037411527%","99.69666329625885%","0.20415107179312691%","99.04729499829874%","0.748553929908132%"
"KATHUA","18.803680981595093%","75.39877300613497%","5.7975460122699385%","76.33353770692827%","22.041692213366034%","1.624770079705702%","0.42905301869445295%","96.99662886913883%","2.5743181121667176%","37.88018433179724%","46.82027649769585%","15.299539170506913%","0.15408320493066255%","99.84591679506934%","2.4141132776230267%","96.62643144537294%","0.9594552770040236%"
"KULGAM","1.1888111888111887%","36.13636363636363%","62.67482517482517%","86.04651162790698%","13.691204756076237%","0.2622836160167861%","7.066643344411404%","76.99842574776982%","15.934930907818787%","59.863469280588134%","36.79327848765973%","3.3432522317521443%","37.48249299719888%","62.51750700280112%","8.62765770514848%","90.75733614479002%","0.6150061500615006%"
"BARAMULLA","2.1661200518648465%","68.99549996186408%","28.83837998627107%","68.47784786077969%","27.5932821642982%","3.9288699749221063%","31.445060369048523%","63.619105474979115%","4.935834155972359%","41.358071629533875%","27.488403923655994%","31.153524446810128%","0.2055733211512106%","99.7944266788488%","1.3937815898299892%","98.47603001991116%","0.13018839025884515%"
"DODA","3.6307053941908713%","84.40525587828492%","11.964038727524205%","4.835924006908463%","85.5958549222798%","9.568221070811745%","11.421670117322291%","82.6432022084196%","5.935127674258109%","10.413051023950016%","54.77264838597709%","34.81430059007289%","0.24347826086956523%","99.75652173913043%","0.03502626970227671%","99.75481611208406%","0.21015761821366025%"
"KUPWARA","4.228817468860526%","89.11271720744271%","6.658465323696755%","95.34061202521913%","4.567122866369368%","0.09226510841150239%","2.291250192218976%","96.26326310933415%","1.4454866984468706%","91.23346662565365%","6.76714856967087%","1.9993848046754845%","12.209749346455482%","87.79025065354452%","3.137013685991081%","96.80147624173459%","0.06151007227433492%"
"SRINAGAR","15.561622464898596%","76.28705148205928%","8.151326053042121%","85.2689010132502%","13.951675759937647%","0.779423226812159%","58.573655494933746%","39.438815276695244%","1.9875292283710055%","55.16028146989836%","18.92103205629398%","25.91868647380766%","0.47095761381475665%","99.52904238618524%","1.0256410256410255%","92.74161735700197%","6.232741617357002%"
"KISHTWAR","2.097902097902098%","94.8051948051948%","3.096903096903097%","4.895104895104895%","95.1048951048951%","0%","4.2957042957042955%","95.2047952047952%","0.4995004995004995%","17.68231768231768%","69.43056943056943%","12.887112887112886%","2.2977022977022976%","97.7022977022977%","0%","100%","0%"
"PULWAMA","10.757987763426241%","75.10197144799456%","14.140040788579197%","45.42056074766355%","53.59388275276126%","0.9855564995751912%","32.11554800339847%","63.95921835174172%","3.925233644859813%","78.57142857142857%","12.908163265306122%","8.520408163265307%","8.285130996937735%","91.71486900306226%","1.651063829787234%","97.9404255319149%","0.4085106382978723%"
"REASI","88.37567359507314%","10.238645111624326%","1.3856812933025404%","25.327174749807543%","52.11701308698999%","22.555812163202464%","16.53846153846154%","42.92307692307692%","40.53846153846154%","90.90208172706245%","6.4764841942945255%","2.6214340786430226%","0.15420200462606015%","99.84579799537394%","0.39123630672926446%","99.37402190923318%","0.2347417840375587%"
"POONCH","76.52652652652652%","22.972972972972972%","0.5005005005005005%","65.38269134567284%","33.66683341670836%","0.9504752376188094%","85.19259629814907%","14.4072036018009%","0.400200100050025%","84.67701552328492%","14.321482223335002%","1.0015022533800702%","0.250501002004008%","99.74949899799599%","0.10035122930255895%","99.59859508278977%","0.3010536879076769%"
"RAJOURI","70.67282087697497%","29.238416474347595%","0.08876264867743654%","5.908445706174592%","88.30731014904187%","5.784244144783535%","4.589757221336169%","95.32163742690058%","0.0886053517632465%","79.86839765249867%","20.06046594344656%","0.07113640405477503%","0.07146685724495265%","99.92853314275504%","0.018021265092809515%","99.94593620472158%","0.03604253018561903%"
"BANDIPORA","11.391927574500189%","16.804979253112034%","71.80309317238778%","62.142857142857146%","37.349624060150376%","0.5075187969924813%","35.448742020277884%","62.71122793841532%","1.840030041306797%","64.78632478632478%","30.1994301994302%","5.014245014245014%","0.5547054322876818%","99.44529456771232%","0.17411491584445735%","91.58444573418456%","8.241439349970982%"
"SAMBA","0.1006036217303823%","36.61971830985915%","63.27967806841046%","6.920762286860581%","85.75727181544634%","7.3219658976930795%","0.6018054162487463%","98.89669007021064%","0.5015045135406219%","0.3067484662576687%","11.247443762781186%","88.44580777096114%","0.20964360587002095%","99.79035639412997%","0.6600660066006601%","98.67986798679868%","0.6600660066006601%"
"RAMBAN","43.2%","51%","5.8%","7.147628590514362%","78.22311289245157%","14.629258517034069%","21.466666666666665%","67.93333333333334%","10.6%","58.010680907877166%","35.046728971962615%","6.942590120160213%","0.06680026720106881%","99.93319973279893%","0%","95.05678022712091%","4.943219772879091%"
