"District","Copper - Sufficient","Copper - Deficient","Boron - Sufficient","Boron - Deficient","S - Sufficient","S - Deficient","Fe - Sufficient","Fe - Deficient","Zn - Sufficient","Zn - Deficient","Mn - Sufficient","Mn - Deficient"
"REASI","59.08596300326442%","40.91403699673558%","0.37926675094816686%","99.62073324905184%","14.192495921696574%","85.80750407830342%","20.77215878194671%","79.22784121805329%","42.14246873300707%","57.85753126699293%","41.07725788900979%","58.92274211099021%"
"SAMBA","95.42857142857143%","4.571428571428571%","98.85714285714286%","1.1428571428571428%","71.85714285714286%","28.142857142857142%","75.71428571428571%","24.285714285714285%","64%","36%","66.71428571428571%","33.285714285714285%"
"DODA","91.51305683563749%","8.486943164362518%","0%","0%","91.7624521072797%","8.237547892720306%","87.79181017986988%","12.20818982013012%","46.61308840413318%","53.38691159586682%","92.4990432453119%","7.500956754688098%"
"RAMBAN","68.24457593688363%","31.755424063116372%","93.20866141732283%","6.791338582677166%","94.88188976377953%","5.118110236220472%","73.79310344827586%","26.20689655172414%","87.79527559055119%","12.204724409448819%","75.56650246305419%","24.43349753694581%"
"KATHUA","99.39799331103679%","0.6020066889632107%","89.1891891891892%","10.81081081081081%","97.56666666666666%","2.433333333333333%","78.86666666666666%","21.133333333333333%","89.80955562980287%","10.190444370197127%","98.03333333333333%","1.9666666666666666%"
"SHOPIAN","19.116582186821145%","80.88341781317885%","79.26300578034682%","20.73699421965318%","88.13131313131314%","11.868686868686869%","2.1691973969631237%","97.83080260303687%","86.31756756756756%","13.682432432432432%","87.1294287780188%","12.8705712219812%"
"PULWAMA","94.994994994995%","5.005005005005005%","63.5%","36.5%","84.52685421994885%","15.473145780051151%","85.57114228456913%","14.428857715430862%","62.26226226226226%","37.73773773773774%","80.96192384769539%","19.03807615230461%"
"GANDERBAL","98.56230031948881%","1.4376996805111821%","34.577603143418465%","65.42239685658153%","96.90005344735435%","3.099946552645644%","46.35444385311336%","53.64555614688664%","79.17997870074548%","20.820021299254527%","87.91910590739755%","12.080894092602447%"
"BANDIPORA","94.63647199046484%","5.363528009535161%","51.54486036838978%","48.45513963161022%","98.40796019900498%","1.592039800995025%","8.882947118241235%","91.11705288175877%","14.591381872213967%","85.40861812778603%","43.59737939249553%","56.40262060750447%"
"UDHAMPUR","52.838427947598255%","47.161572052401745%","61.51898734177215%","38.48101265822785%","35.86666666666667%","64.13333333333334%","50.3%","49.7%","58.46410684474124%","41.53589315525876%","25.966666666666665%","74.03333333333333%"
"JAMMU","99.95133819951339%","0.04866180048661801%","94.67441297506657%","5.32558702493343%","99.61259079903148%","0.387409200968523%","98.49915274751876%","1.5008472524812395%","95.71984435797665%","4.280155642023346%","99.24957637375938%","0.7504236262406198%"
"KISHTWAR","58.0074487895717%","41.9925512104283%","54.54545454545455%","45.45454545454545%","76.25698324022346%","23.743016759776538%","44.506517690875235%","55.493482309124765%","46.089385474860336%","53.910614525139664%","57.968313140726934%","42.031686859273066%"
"KUPWARA","98.2788296041308%","1.721170395869191%","97.3799961751769%","2.620003824823102%","86.76611206731688%","13.233887932683114%","36.83304647160069%","63.16695352839931%","90.61005928475808%","9.38994071524192%","28.877414419583094%","71.12258558041691%"
"RAJOURI","99.57692307692308%","0.4230769230769231%","0%","100%","99.73056197074673%","0.26943802925327176%","99.76923076923077%","0.23076923076923078%","86%","14%","99.92307692307692%","0.07692307692307693%"
"SRINAGAR","98.4920634920635%","1.507936507936508%","99.92063492063492%","0.07936507936507936%","98.25396825396825%","1.746031746031746%","71.5079365079365%","28.49206349206349%","94.36507936507937%","5.634920634920635%","98.73015873015873%","1.2698412698412698%"
"Budgam","99.19501428200468%","0.8049857179953259%","51.894563426688634%","48.105436573311366%","60.35918792295679%","39.64081207704321%","28.901584004154763%","71.09841599584523%","31.6066263476203%","68.3933736523797%","90.13020833333333%","9.869791666666666%"
"KULGAM","95.55627635420045%","4.443723645799546%","50.04862236628849%","49.95137763371151%","46.06158833063209%","53.93841166936791%","37.14748784440843%","62.85251215559157%","84.72762645914396%","15.272373540856032%","56.499189627228525%","43.500810372771475%"
"ANANTNAG","98.46153846153847%","1.5384615384615385%","95.89589589589589%","4.104104104104104%","90.20979020979021%","9.79020979020979%","77.29389846297158%","22.706101537028413%","82.21445221445221%","17.785547785547784%","70.53758436118223%","29.46241563881778%"
"POONCH","88.16666666666667%","11.833333333333334%","100%","0%","89.11111111111111%","10.88888888888889%","78.61111111111111%","21.38888888888889%","99.88888888888889%","0.1111111111111111%","54.22222222222222%","45.77777777777778%"
"BARAMULLA","99.98444790046656%","0.015552099533437015%","9.517426273458446%","90.48257372654156%","78.0059107170633%","21.99408928293669%","94.24840665319446%","5.751593346805534%","82.52412075941487%","17.475879240585122%","95.30545624125602%","4.6945437587439764%"
