"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"LOHARDAGA","0%","61.8844513377278%","38.1155486622722%","29.042264443582784%","62.175261729352464%","8.782473827064754%","0.09695559433779329%","68.58638743455498%","31.316656971107232%","6.767500484777972%","78.06864456079116%","15.163854954430871%","0.019394879751745538%","99.98060512024826%","42.79619934070196%","57.10684506496025%","0.09695559433779329%"
"CHATRA","0.07724719101123595%","59.950842696629216%","39.97191011235955%","30.207090207090207%","66.76026676026676%","3.0326430326430325%","29.482770720752335%","64.62909677872132%","5.8881325005263525%","1.3633169360505972%","19.7610681658468%","78.8756148981026%","0.028135330941830204%","99.97186466905816%","38.19591261451727%","61.79704016913319%","0.007047216349541931%"
"SIMDEGA","0.019111323459149548%","49.76588628762542%","50.21500238891543%","14.495798319327731%","84.18640183346066%","1.317799847211612%","15.052018707645319%","79.09706977188127%","5.850911520473418%","5.531629821035506%","46.6838931955211%","47.78447698344339%","0.04800307219662058%","99.95199692780338%","56.94872783346184%","43.01272166538165%","0.03855050115651504%"
"PAKUR","0.10427528675703858%","81.23044838373306%","18.665276329509908%","12.49740502387378%","78.4097986298526%","9.092796346273614%","4.3055268060442975%","78.70006209894431%","16.994411095011383%","25.435466946484784%","64.302203567681%","10.262329485834208%","9.316112640271013%","90.68388735972898%","22.778848212374225%","76.85720402483408%","0.36394776279169344%"
"KODERMA","1.04754230459307%","82.07091055600323%","16.881547139403708%","15.068493150684931%","68.77518130539887%","16.156325543916196%","3.9887187751813054%","86.42224012892828%","9.58904109589041%","18.79032258064516%","66.08870967741936%","15.120967741935484%","0.44319097502014504%","99.55680902497986%","6.164383561643835%","93.59387590652699%","0.24174053182917002%"
"SARAIKELA KHARSAWAN","0.18847408481333816%","28.93077201884741%","70.88075389633926%","29.57175925925926%","26.54079861111111%","43.887442129629626%","9.804204898489994%","80.31211617657684%","9.88367892493317%","9.291131855309219%","45.46382730455076%","45.24504084014002%","0.16137313870754785%","99.83862686129245%","69.53942001038345%","30.460579989616555%","0%"
"DEOGHAR","0.3409090909090909%","83.42171717171718%","16.237373737373737%","14.42635365391897%","81.86293070806512%","3.710715638015903%","12.329631499242806%","86.59767794043412%","1.0726905603230692%","23.13527180783818%","68.44500632111252%","8.419721871049305%","0.11378002528445007%","99.88621997471554%","20.717181956411554%","78.97871262037506%","0.30410542321338063%"
"JAMTARA","0.191131498470948%","54.64449541284404%","45.16437308868502%","21.825472598816116%","54.878747374451024%","23.295780026732864%","6.550802139037433%","63.0061115355233%","30.443086325439268%","21.23589056820356%","53.28104074995217%","25.48306868184427%","0.5353728489483748%","99.46462715105163%","73.2822966507177%","26.583732057416267%","0.1339712918660287%"
"GARHWA","0.08184794470716625%","22.126227719170608%","77.79192433612222%","16.491260181202527%","79.01528324334218%","4.493456575455294%","1.09840232389252%","80.5918663761801%","18.30973129992738%","13.740666545255873%","44.97359315243125%","41.285740302312874%","0.9123255177447314%","99.08767448225527%","4.97475906379073%","94.94263423588802%","0.08260670032124828%"
"GUMLA","0.20385210178546323%","65.858287642345%","33.93786025586954%","10.445662870799945%","75.98762828623647%","13.566708842963587%","6.0580504603275%","87.2865275142315%","6.655422025441001%","8.697487861515727%","69.69952853423405%","21.60298360425023%","0.07042253521126761%","99.92957746478874%","46.56241194702733%","53.3178360101437%","0.11975204282896591%"
