"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"HAVERI","2.771966527196653%","59.94595536959554%","37.28207810320781%","3.478033472803347%","90.76011157601116%","5.761854951185495%","6.729428172942817%","87.90097629009763%","5.369595536959554%","26.716092455298735%","46.63759267335369%","26.64631487134758%","0.32252440725244075%","99.67747559274756%","6.171548117154812%","90.55962343096235%","3.268828451882845%"
"TUMAKURU","0.13125386040765905%","19.186226065472514%","80.68252007411982%","63.16399011735639%","30.92186534898085%","5.914144533662755%","39.1059295861643%","50.826127239036445%","10.06794317479926%","3.5592958616429895%","20.60685608400247%","75.83384805435453%","1.5364422483014206%","98.46355775169857%","1.5750463248919087%","98.31686226065473%","0.10809141445336627%"
"KOPPAL","46.71378666016736%","28.881306361199123%","24.40490697863352%","92.42830449264765%","6.434316353887399%","1.1373791534649444%","61.52408806564303%","28.8406856771468%","9.63522625721017%","71.41928670078804%","12.74677065561784%","15.833942643594119%","9.992688276870583%","90.00731172312942%","0.38995856690226666%","97.42464863108295%","2.185392802014786%"
"BAGALKOTE","0.7843137254901961%","40.924369747899156%","58.29131652661064%","39.74089635854342%","53.80252100840336%","6.456582633053221%","37.355557111842565%","53.232019048953006%","9.412423839204425%","4.530812324929972%","35.5812324929972%","59.88795518207283%","1.995798319327731%","98.00420168067227%","0.18207282913165265%","93.06022408963585%","6.757703081232493%"
"GADAG","0.03852080123266564%","98.10285053929121%","1.858628659476117%","9.322033898305085%","90.62018489984591%","0.05778120184899846%","42.170647149460706%","57.81972265023113%","0.00963020030816641%","1.810477657935285%","76.09784283513098%","22.091679506933744%","88.83859784283513%","11.161402157164868%","0.13482280431432975%","99.7399845916795%","0.12519260400616333%"
"BENGALURU RURAL","0.11828098304639242%","7.070574319884347%","92.81114469706927%","58.41766329346826%","34.11749244315941%","7.464844263372322%","30.227362334078066%","42.1868839532133%","27.585753712708634%","5.887764489420423%","18.320410040741226%","75.79182546983834%","2.6160115682923624%","97.38398843170764%","21.369430937048232%","78.53857274280458%","0.09199632014719411%"
"CHAMARAJANAGARA","26.807931570762054%","51.10808709175739%","22.08398133748056%","63.55858045697618%","34.02041808458921%","2.4210014584346133%","17.690513219284604%","55.63763608087092%","26.67185069984448%","20.15940902021773%","25.71928460342146%","54.121306376360806%","1.8565318818040435%","98.14346811819595%","0.26244167962674964%","99.22239502332815%","0.5151632970451011%"
"RAICHUR","0.010118385105737124%","0.27319639785490235%","99.71668521703936%","3.592026712536679%","91.94576545583325%","4.462207831630072%","0.1720125467975311%","91.84458160477588%","7.9834058484265915%","0.02023677021147425%","11.322472933319842%","88.65729029646869%","99.57502782555905%","0.42497217444095925%","0.32382108884841126%","96.84274438372799%","2.8334345274235986%"
"MYSURU","0%","0.6565338609587194%","99.34346613904128%","81.37422430074648%","15.594927601403004%","3.030848097850526%","46.51497436819858%","41.163773720658334%","12.321251911143088%","19.408220163683783%","34.11277992625236%","46.478999910063855%","5.298191958262121%","94.70180804173788%","10.324669484665888%","89.65734328626675%","0.017987229067362172%"
"DAKSHINA KANNADA","0.023747328425552126%","4.654476371408217%","95.32177630016623%","35.95345523628592%","46.04606981714557%","18.00047494656851%","11.446212301116125%","40.79791023509855%","47.755877463785325%","89.59867014960817%","9.783899311327476%","0.6174305390643553%","0.6888361045130641%","99.31116389548694%","27.618142958917122%","72.38185704108288%","0%"
"BELAGAVI","0.023313646254274168%","8.83587193036991%","91.14081442337582%","38.37426173453528%","26.593099160708736%","35.03263910475599%","29.344109418713085%","32.82561392601803%","37.83027665526888%","1.1268262356232515%","8.462853590301522%","90.41032017407522%","0.6916381722101337%","99.30836182778987%","1.8184644078333851%","80.39322350015543%","17.78831209201119%"
"MANDYA","0%","19.621260343730107%","80.37873965626989%","72.99490770210058%","18.141311266709103%","8.863781031190324%","37.88987905792489%","43.419796308084024%","18.69032463399109%","39.0148802419034%","26.450226784435426%","34.53489297366118%","3.3195351058748606%","96.68046489412514%","9.794716740929344%","88.67759388924252%","1.5276893698281349%"
"BIDAR","0.011432491139819367%","53.721275866011204%","46.267291642848974%","3.7265660722450846%","85.91678097850938%","10.356652949245541%","98.65112025605853%","1.2574302697759487%","0.09144947416552354%","12.391403749428441%","58.413351623228166%","29.195244627343392%","0.7658893461362597%","99.23411065386374%","0.25148605395518975%","99.58847736625515%","0.1600365797896662%"
"BENGALURU URBAN","0%","6.453488372093023%","93.54651162790698%","54.883720930232556%","32.906976744186046%","12.209302325581396%","23.75%","53.75%","22.5%","5.755813953488372%","15.69767441860465%","78.54651162790698%","5.087209302325581%","94.91279069767442%","8.953488372093023%","90.87209302325581%","0.1744186046511628%"
"KOLAR","0.009373828271466067%","7.302212223472066%","92.68841394825647%","73.75328083989501%","20.322459692538434%","5.9242594675665545%","18.297712785901762%","50.5811773528309%","31.121109861267342%","0.14998125234345708%","5.727409073865767%","94.12260967379078%","3.402699662542182%","96.59730033745782%","10.236220472440944%","89.74503187101612%","0.018747656542932135%"
"SHIVAMOGGA","3.0416355023684867%","20.36898529045126%","76.58937920718026%","46.902654867256636%","27.820017449831735%","25.27732768291163%","49.68216377913499%","41.991773650754084%","8.326062570110931%","47.55079147451078%","30.300386389131248%","22.14882213635797%","0.4862236628849271%","99.51377633711508%","17.96086252025427%","81.96435248660102%","0.07478499314470896%"
"UTTARA KANNADA","0%","19.760900140646974%","80.23909985935302%","43.009845288326304%","31.068917018284107%","25.921237693389592%","26.59634317862166%","24.669479606188467%","48.734177215189874%","79.46730552423901%","15.12119503945885%","5.411499436302142%","7.805907172995781%","92.19409282700423%","17.974683544303797%","81.9831223628692%","0.04219409282700422%"
"RAMANAGARA","0.04440497335701599%","77.05373001776199%","22.901865008880996%","73.72335701598578%","19.960035523978686%","6.316607460035524%","14.409413854351687%","59.4360568383659%","26.154529307282417%","13.943161634103019%","47.46891651865009%","38.58792184724689%","3.3525754884547068%","96.6474245115453%","14.253996447602132%","85.63499111900533%","0.11101243339253997%"
"CHIKKAMAGALURU","0.009826078412105728%","14.011987815662769%","85.97818610592512%","83.81644885526187%","11.82077232976319%","4.362778814974943%","41.878746192394615%","40.25744325439717%","17.863810553208214%","29.979365235334576%","24.417804854082735%","45.602829910582685%","0.10808686253316302%","99.89191313746684%","16.458681340277096%","81.28132062493859%","2.2599980347843176%"
"VIJAYANAGAR","4.495114006514658%","63.876221498371336%","31.628664495114005%","9.087947882736156%","47.26384364820847%","43.648208469055376%","4.527687296416938%","42.57328990228013%","52.899022801302934%","25.895765472312704%","49.641693811074916%","24.462540716612377%","0.2280130293159609%","99.77198697068404%","2.0846905537459284%","85.47231270358306%","12.44299674267101%"
"BALLARI","14.365802382620883%","60.140154169586545%","25.49404344779257%","28.61948142957253%","48.39523475823406%","22.985283812193412%","16.49614576033637%","57.53328661527681%","25.970567624386824%","39.41135248773651%","39.66362999299229%","20.925017519271197%","2.592852137351086%","97.40714786264891%","3.377715487035739%","76.06166783461808%","20.560616678346182%"
"KODAGU","13.168014852141626%","75.12266277682005%","11.709322371038324%","55.20487998939133%","36.17557353136189%","8.619546479246784%","42.89881978517438%","48.3092428059939%","8.79193740883172%","44.88794589576979%","43.42925341466649%","11.682800689563718%","0%","100%","0.4243469035936878%","99.57565309640631%","0%"
"YADGIR","0.2512111968419164%","18.67037502242957%","81.07841378072851%","65.42257312040194%","33.034272384712004%","1.5431544948860578%","89.38632693342903%","9.456307195406424%","1.1573658711645434%","17.513009151265027%","58.26305401040732%","24.223936838327653%","0.69083079131527%","99.30916920868474%","0.19738022609007716%","96.02547999282254%","3.7771397810873855%"
"DHARWAD","3.7381085618354786%","89.8153329602686%","6.446558477895915%","6.30106323447118%","91.71796306659205%","1.9809736989367654%","39.63066592053721%","58.2988248461108%","2.0705092333519866%","19.32848349188584%","77.11247901510912%","3.5590374930050364%","0.4700615556799105%","99.5299384443201%","0%","81.6899832120873%","18.3100167879127%"
"KALABURAGI","0.00969555943377933%","22.10587550901687%","77.88442893154935%","99.33107125545322%","0.6689287445467765%","0%","99.90305380513814%","0.058167716917111006%","0.038778477944740666%","2.6854095976732912%","15.753756665050897%","81.56083373727581%","0.13572467280659234%","99.86427532719341%","0.009694619486185167%","99.98061076102763%","0.009694619486185167%"
"DAVANGERE","5.667001003009027%","85.53995319291207%","8.793045804078904%","84.06184705390723%","15.670706226493941%","0.26744671959882993%","71.02381947346427%","28.081905557877143%","0.8942749686585876%","38.67948182198078%","38.98035938152946%","22.34015879648976%","0.03343083994985374%","99.96656916005014%","0.26744671959882993%","99.70748015043878%","0.025073129962390306%"
"UDUPI","2.314814814814815%","41.14057239057239%","56.544612794612796%","60.22727272727273%","20.30723905723906%","19.465488215488215%","25.189393939393938%","42.06649831649832%","32.744107744107744%","71.63299663299664%","13.552188552188552%","14.814814814814815%","0.6523569023569024%","99.3476430976431%","84.0909090909091%","15.888047138047138%","0.021043771043771045%"
"CHITRADURGA","0.00879430129276229%","7.932459766071585%","92.05874593263565%","85.12883651393896%","14.792014774426171%","0.0791487116348606%","32.48900615655233%","66.81618293755497%","0.6948109058927001%","0.28141764136839326%","26.54120130155659%","73.17738105707501%","0.07035441034209831%","99.9296455896579%","0.09673731422038519%","99.84170257673028%","0.06156010904933603%"
"VIJAYAPURA","0.9275481809749562%","0.9172420900752345%","98.15520972894981%","83.91219210553437%","16.07750180356591%","0.010306090899721735%","46.573224775842526%","50.376172317839846%","3.050602906317634%","0.4740801813871998%","0.4637740904874781%","99.06214572812532%","4.957229722766154%","95.04277027723384%","0.34010099969081725%","88.97248273729774%","10.687416263011439%"
"CHIKKABALLAPURA","0.018341892883345562%","0.9812912692589876%","99.00036683785767%","82.01577402787967%","17.589875275128392%","0.3943506969919296%","30.759354365370505%","69.01137197358767%","0.2292736610418195%","3.475788701393984%","88.508804108584%","8.01540719002201%","0.009170946441672781%","99.99082905355833%","2.7696258253851798%","97.23037417461482%","0%"
"HASSAN","14.961712153936777%","82.80973885725506%","2.228548988808168%","91.4883172982525%","8.472413116041626%","0.0392695857058708%","31.523659925387786%","66.65030433928922%","1.8260357353229923%","35.78440997447477%","57.539760455527194%","6.675829569998037%","0.0589043785588062%","99.94109562144119%","1.7082269782053798%","98.26232083251521%","0.0294521892794031%"
