"District","Copper - Sufficient","Copper - Deficient","Boron - Sufficient","Boron - Deficient","S - Sufficient","S - Deficient","Fe - Sufficient","Fe - Deficient","Zn - Sufficient","Zn - Deficient","Mn - Sufficient","Mn - Deficient"
"BIDAR","99.1343254547223%","0.8656745452776967%","38.24530687676296%","61.75469312323704%","10.50481470674059%","89.49518529325941%","31.61171092306196%","68.38828907693804%","50.26748370781053%","49.73251629218947%","91.03200077813442%","8.967999221865577%"
"CHIKKABALLAPURA","99.50824873096447%","0.491751269035533%","69.67005076142132%","30.32994923857868%","78.02982233502539%","21.97017766497462%","91.64022842639594%","8.35977157360406%","48.00126903553299%","51.99873096446701%","99.93654822335026%","0.06345177664974619%"
"TUMAKURU","94.73034678514131%","5.269653214858694%","34.139718588002964%","65.86028141199704%","51.141552511415526%","48.858447488584474%","46.55066024929039%","53.44933975070961%","23.907677116761292%","76.09232288323871%","97.84030605948413%","2.1596939405158584%"
"BENGALURU URBAN","92.92%","7.08%","1.0404161664665867%","98.95958383353342%","27.68%","72.32%","44.28%","55.72%","34.08%","65.92%","93.8%","6.2%"
"DAVANGERE","96.74039580908033%","3.2596041909196742%","68.76587637595259%","31.234123624047417%","99.78835978835978%","0.21164021164021163%","41.0307969097259%","58.9692030902741%","59.01587301587302%","40.98412698412698%","83.98941798941799%","16.01058201058201%"
"CHAMARAJANAGARA","96.45679662802951%","3.5432033719704954%","24.252797893350888%","75.74720210664911%","87.87040695377321%","12.129593046226788%","30.243581303489137%","69.75641869651086%","49.82876712328767%","50.17123287671233%","89.61158657011191%","10.388413429888084%"
"CHITRADURGA","95.38315839318128%","4.61684160681872%","17.733406992344722%","82.26659300765527%","95.69094783363586%","4.309052166364139%","62.16557493489069%","37.83442506510931%","94.99644858337938%","5.003551416620629%","80.03314655512588%","19.966853444874122%"
"UDUPI","82.38390092879257%","17.61609907120743%","30.24767801857585%","69.75232198142415%","49.411764705882355%","50.588235294117645%","89.87616099071208%","10.123839009287925%","60.743034055727556%","39.256965944272444%","68.51393188854489%","31.486068111455108%"
"SHIVAMOGGA","96.32993512511585%","3.670064874884152%","71.2624584717608%","28.737541528239202%","62.560029553010715%","37.439970446989285%","87.63381321520856%","12.366186784791436%","45.71797711332595%","54.28202288667405%","88.097434951098%","11.902565048902012%"
"GADAG","100%","0%","99.98305946129086%","0.01694053870913095%","99.9491783838726%","0.05082161612739285%","99.98305946129086%","0.01694053870913095%","99.9491783838726%","0.05082161612739285%","99.98305946129086%","0.01694053870913095%"
