"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"MALAPPURAM","1.7094017094017093%","45.2991452991453%","52.99145299145299%","58.75802189505474%","23.763684409211024%","17.47829369573424%","28.02415550103793%","48.782789205510475%","23.193055293451593%","44.07421431276032%","26.88375615297236%","29.04202953426732%","0.2480442663613814%","99.75195573363862%","29.48595451939614%","70.49493598318364%","0.01910949742021785%"
"PALAKKAD","0%","0%","100%","71.04493028059908%","18.91891891891892%","10.03615080048201%","45.60467916738345%","41.08033717529675%","13.3149836573198%","80.27926219617308%","12.877090156869505%","6.843647646957421%","0.44858523119392685%","99.55141476880607%","13.974025974025974%","85.991341991342%","0.03463203463203463%"
"WAYANAD","0%","0%","100%","48.646517739816034%","23.54796320630749%","27.805519053876477%","28.55264887603523%","41.73787301169975%","29.709478112265018%","72.06520310240568%","13.500723018272643%","14.434073879321677%","0.03942181340341656%","99.96057818659658%","16.068847720404676%","83.93115227959532%","0%"
"THRISSUR","0%","0%","100%","91.90309908336971%","6.176342208642514%","1.9205587079877782%","25.736095965103598%","38.778625954198475%","35.48527808069793%","21.933085501858734%","26.787666739558276%","51.27924775858299%","0.35033939128530767%","99.6496606087147%","10.191619288271214%","89.7662665824384%","0.042114129290376924%"
"PATHANAMTHITTA","0%","0%","100%","79.44331690345028%","15.80168164685416%","4.755001449695564%","50.593686649290476%","39.67564436721691%","9.730668983492615%","74.60732984293193%","16.31762652705061%","9.075043630017452%","0.23398654577361802%","99.76601345422638%","36.75785797438883%","63.21303841676368%","0.02910360884749709%"
"IDUKKI","0%","0%","100%","59.30745991168952%","23.657913083894957%","17.034627004415523%","41.14365411436541%","40.58577405857741%","18.270571827057182%","89.2150011646867%","7.71022594921966%","3.074772886093641%","1.3554568824491704%","98.64454311755082%","87.50581665891112%","12.49418334108888%","0%"
"KASARAGOD","0%","0%","100%","36.57642413987592%","41.20135363790186%","22.22222222222222%","18.523715969688464%","34.661801852371596%","46.81448217793994%","92.5343811394892%","4.574796519786696%","2.890822340724109%","0.8983717012914093%","99.10162829870859%","69.69952260600955%","30.30047739399045%","0%"
"KANNUR","0%","0%","100%","64.60500963391137%","19.78805394990366%","15.606936416184972%","15.6111645813282%","49.45139557266602%","34.93743984600577%","74.72527472527473%","14.67129361866204%","10.603431656063234%","0.11569610489780177%","99.88430389510219%","50.14459224985541%","49.85540775014459%","0%"
"ALAPPUZHA","0%","0%","100%","93.74568866406071%","4.713727293630719%","1.5405840423085766%","6.507243044378018%","24.69533226028972%","68.79742469533225%","44.4393276536956%","24.338015196868525%","31.222657149435875%","0.6906077348066298%","99.30939226519337%","6.309002993322588%","93.02325581395348%","0.6677411927239235%"
"ERNAKULAM","0%","0%","100%","86.00132479576065%","8.743652020313535%","5.255023183925811%","30.872631115028646%","48.32525341560159%","20.802115469369767%","69.78959025470654%","19.955703211517164%","10.254706533776302%","1.843625055530875%","98.15637494446912%","31.347265451311696%","68.6527345486883%","0%"
"KOLLAM","0%","0%","100%","89.60769520935496%","7.789513391173142%","2.602791399471897%","22.100697718272677%","48.0105600603432%","29.88874222138412%","39.542792367277535%","26.52559984885698%","33.93160778386548%","0.6605019815059445%","99.33949801849406%","35.75070821529745%","63.758262511803586%","0.4910292728989613%"
"THIRUVANANTHAPURAM","0%","0%","100%","88.00065659881813%","10.341431385423506%","1.6579120157583715%","40.8039376538146%","44.511894995898274%","14.68416735028712%","63.652773219560224%","21.332458155562847%","15.014768624876929%","2.1503611293499674%","97.84963887065004%","15.952732644017726%","83.98161825045133%","0.06564910553093714%"
"KOTTAYAM","0%","0%","100%","76.85001104484206%","15.26397172520433%","7.8860172299536115%","26.055248618784532%","42.16574585635359%","31.77900552486188%","66.8433841396068%","22.686105588690083%","10.470510271703114%","0.24325519681556834%","99.75674480318443%","43.210968597965504%","56.766917293233085%","0.022114108801415303%"
"KOZHIKODE","0%","0%","100%","69.76082004555809%","18.536446469248293%","11.702733485193622%","18.99488926746167%","55.50823395797842%","25.496876774559908%","38.151116199198626%","28.048082427017746%","33.80080137378363%","0.20005715918833952%","99.79994284081167%","17.335243553008596%","82.6647564469914%","0%"
