"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"UJJAIN","0.03450953325856268%","5.650936071089639%","94.3145543956518%","41.67529330572809%","52.71739130434783%","5.607315389924086%","87.90858128503666%","11.548081069426477%","0.5433376455368694%","14.143942008974802%","57.72350707628581%","28.132550914739387%","0.07767995857068877%","99.92232004142932%","0.06913238852402351%","99.7321119944694%","0.19875561700656758%"
"VIDISHA","0.15776081424936386%","13.246819338422393%","86.59541984732824%","7.774444500940662%","90.89845934814664%","1.3270961509126964%","28.35138020436175%","71.19109348787555%","0.45752630776269637%","8.757710149360248%","47.19885813325177%","44.04343171738798%","0.4493005207801491%","99.55069947921984%","0.08701883701883702%","99.6570434070434%","0.2559377559377559%"
"RAISEN","0.252134548163429%","9.53527018508968%","90.21259526674689%","2.852904256533151%","93.47826086956522%","3.668834873901632%","39.261075317863046%","59.416158275842406%","1.3227664062945437%","11.17866360768569%","49.31459707484944%","39.50673931746487%","4.549642939414881%","95.45035706058512%","0.01745302228169178%","99.45895630926755%","0.5235906684507534%"
"DEWAS","0.4968002694509936%","31.146850791512293%","68.3563489390367%","8.09994968975348%","86.09760187824921%","5.802448431997317%","11.512056262558607%","79.65505693235097%","8.832886805090421%","18.127673852864692%","49.68542907474205%","32.18689707239326%","6.852874309840858%","93.14712569015914%","1.1513963743263107%","97.05209864445533%","1.796504981218357%"
"NEEMUCH","0.1321178491214163%","53.5077288941736%","46.36015325670498%","3.5789751716851557%","51.096143687268885%","45.32488114104596%","69.76498547663059%","29.535252178505413%","0.6997623448640085%","54.613960867265995%","34.095716552088845%","11.290322580645162%","0.052903055151434994%","99.94709694484857%","0.013241525423728813%","99.51006355932203%","0.4766949152542373%"
"HARDA","0.248403122782115%","30.52992666193518%","69.2216702152827%","90.89188549798912%","9.060799621480955%","0.04731488052992666%","24.22521883132245%","75.62100780695529%","0.15377336172226166%","71.64320359635633%","28.262155447770024%","0.09464095587365433%","0.35498757543485976%","99.64501242456514%","0.011828720132481665%","99.9290276792051%","0.05914360066240833%"
"SEONI","0.06945516283377064%","58.41950918351598%","41.511035653650254%","30.731857792858797%","63.021516156397006%","6.246626050744196%","89.03275529865125%","10.589595375722544%","0.37764932562620424%","66.33709253823575%","16.406612080951646%","17.256295380812606%","0.9902522048584249%","99.00974779514158%","0.8599318252246668%","98.79144716454911%","0.3486210102262163%"
"GUNA","0.12912046179553396%","4.610360018228771%","95.2605195199757%","7.646791078743742%","85.10089516006676%","7.252313761189501%","0.21961378265808407%","69.54941310109807%","30.230973116243845%","21.005331302361004%","75.77303884234577%","3.2216298552932217%","0.12227741688956821%","99.87772258311043%","0.05379649554257608%","99.86935136796804%","0.0768521364893944%"
"RAJGARH","0.14187948589550994%","13.052912702386914%","86.80520781171758%","66.05252188411838%","32.27177990829512%","1.6756982075864943%","48.51691384769205%","48.32527912014664%","3.1578070321613065%","23.335574983187627%","41.3920645595158%","35.27236045729657%","7.631779338353499%","92.3682206616465%","0.14562275141339728%","95.55422305979098%","4.300154188795614%"
"RATLAM","0.03123048094940662%","10.399750156152404%","89.56901936289819%","5.590256089943785%","85.22173641474079%","9.188007495315428%","77.83398913247143%","21.291612016738494%","0.8743988507900818%","12.263266454153385%","48.3155197199825%","39.421213825864115%","0.13129102844638948%","99.86870897155362%","0.03757044458359424%","99.5178459611772%","0.4445835942391985%"
"SEHORE","0.08208832703989492%","46.035133803973075%","53.88277786898703%","1.8217626784835057%","83.14459215493189%","15.033645166584606%","72.55481645725548%","24.644822205797816%","2.8003613369467026%","59.83851149727927%","20.335264174126735%","19.826224328593998%","0.4306061609804571%","99.56939383901954%","0.642630612585545%","99.29894842263396%","0.05842096478050409%"
"SINGRAULI","0.24383983572895276%","85.03593429158111%","14.720225872689939%","43.895870736086174%","55.975891254167735%","0.12823800974608873%","3.218361328375433%","96.17899730734709%","0.6026413642774715%","11.99280945043657%","86.40215716486902%","1.6050333846944016%","0.16698779704560052%","99.8330122029544%","0.02575991756826378%","99.94848016486347%","0.02575991756826378%"
"AGAR MALWA","0.00924129008409574%","15.931984104981055%","84.05877460493485%","5.985590245704785%","81.0271568446333%","12.987252909661924%","69.97876073506326%","18.74595992243051%","11.275279342506233%","3.149022876725016%","17.819764749467446%","79.03121237380753%","0.06489292667099286%","99.93510707332901%","0.34412202380952384%","99.34895833333333%","0.30691964285714285%"
"SHAJAPUR","0.018380663541953866%","11.726863339766565%","88.25475599669149%","58.725787202790784%","38.14376204902231%","3.130450748186909%","0.8350922272185005%","83.7202899880701%","15.444617784711388%","15.291731956862384%","37.201585399576%","47.50668264356162%","3.6982384948814904%","96.3017615051185%","0.3614122880177926%","99.11036975257159%","0.52821795941062%"
"ANUPPUR","0%","19.546446531929025%","80.45355346807098%","59.23711927127811%","40.75339216244426%","0.00948856627763545%","0.1518170604421672%","98.16870670841635%","1.6794762311414746%","28.370813170129992%","52.12069456305152%","19.508492266818482%","0.23721415694088624%","99.76278584305912%","0.00948946669197191%","99.98102106661605%","0.00948946669197191%"
"KATNI","0.24481801860616942%","13.48131222457973%","86.27386975681411%","11.992168379833577%","66.91140479686736%","21.09642682329907%","82.46615560267493%","16.897732833143042%","0.6361115641820257%","2.4661113833088355%","45.859872611464965%","51.67401600522619%","0.049019607843137254%","99.95098039215686%","0.049099836333878884%","99.90180032733224%","0.049099836333878884%"
"DINDORI","2.458154766717878%","71.15711166814911%","26.384733565133015%","11.358124494745352%","76.1519805982215%","12.489894907033145%","57.77777777777778%","39.4989898989899%","2.7232323232323234%","79.7702822939416%","12.213863948879721%","8.015853757178679%","0.6557111632801749%","99.34428883671983%","1.4212620807276861%","98.48940144562657%","0.08933647364574028%"
