"District","Copper - Sufficient","Copper - Deficient","Boron - Sufficient","Boron - Deficient","S - Sufficient","S - Deficient","Fe - Sufficient","Fe - Deficient","Zn - Sufficient","Zn - Deficient","Mn - Sufficient","Mn - Deficient"
"MANDSAUR","95.54716117216117%","4.452838827838828%","81.93384223918575%","18.06615776081425%","66.39680729760548%","33.60319270239453%","26.98485021073015%","73.01514978926984%","49.24812030075188%","50.75187969924812%","85.79726651480638%","14.202733485193622%"
"SHEOPUR","95.970374089882%","4.029625910118002%","65.75977933801404%","34.24022066198596%","84.57680250783699%","15.423197492163009%","92.25078369905957%","7.7492163009404385%","44.45698520190619%","55.54301479809381%","99.17251755265798%","0.827482447342026%"
"REWA","99.32516687449571%","0.6748331255042911%","97.86516029638324%","2.134839703616756%","98.65766889165994%","1.3423311083400573%","52.29956722658256%","47.70043277341744%","9.939118315851243%","90.06088168414875%","97.09528350326414%","2.9047164967358614%"
"BHIND","95.91836734693878%","4.081632653061225%","92%","8%","90%","10%","98%","2%","80%","20%","100%","0%"
"DAMOH","99.7883064516129%","0.21169354838709678%","97.85511512984965%","2.144884870150352%","96.53260760004032%","3.4673923999596816%","41.33655881463562%","58.66344118536438%","96.26045761515977%","3.739542384840238%","98.84084265699022%","1.1591573430097772%"
"UJJAIN","99.45562293274531%","0.5443770672546858%","82.11062891782049%","17.889371082179515%","94.38968915845338%","5.610310841546626%","51.16743577381362%","48.83256422618638%","47.04504752720761%","52.95495247279239%","98.07175814337856%","1.9282418566214448%"
"BETUL","96.03054325017487%","3.969456749825134%","68.15885734192649%","31.841142658073505%","69.79257451629772%","30.207425483702284%","92.65730206640353%","7.342697933596471%","38.823734324198796%","61.176265675801204%","99.25130586186883%","0.7486941381311666%"
"RAJGARH","80.41323574260446%","19.586764257395547%","43.961573650503205%","56.038426349496795%","80.66483684050016%","19.335163159499846%","73.72674595913388%","26.273254040866117%","49.38243366880146%","50.61756633119854%","100%","0%"
"SEHORE","99.54445260837619%","0.45554739162380603%","90.05216369113218%","9.947836308867828%","69.67158915582985%","30.328410844170158%","83.41169556273876%","16.58830443726124%","72.75933000293858%","27.240669997061417%","95.8859829562151%","4.114017043784895%"
"KHARGON(WEST NIMAR)","77.82902499195538%","22.17097500804462%","57.81459439172162%","42.18540560827838%","68.50879073756433%","31.491209262435678%","33.872869546575195%","66.1271304534248%","38.523799313893655%","61.476200686106345%","84.47767593932572%","15.522324060674277%"
