"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"NANDED","0.05429618569295507%","0.27148092846477534%","99.67422288584227%","9.541881268636487%","47.30279208457576%","43.15532664678775%","98.75625253481141%","0.2838988779234825%","0.9598485872651075%","0.7612833061446438%","54.48613376835237%","44.75258292550299%","0.09541984732824428%","99.90458015267176%","0.0683900971139379%","99.68540555327588%","0.24620434961017645%"
"DHULE","0.03475238922675934%","1.5377932232841007%","98.42745438748914%","9.486578055772739%","87.56841282251759%","2.945009121709669%","97.74129093910173%","2.093649552601859%","0.16505950829641214%","0.26062027625749284%","16.870819216401703%","82.8685605073408%","0.182434193380245%","99.81756580661975%","0.008688097306689836%","99.93918331885317%","0.052128583840139006%"
"AMRAVATI","0.011821728336682822%","0.5910864168341412%","99.39709185482917%","8.80614657210402%","26.06382978723404%","65.13002364066193%","68.97163120567376%","6.430260047281324%","24.59810874704492%","30.740127689761174%","12.213289193662805%","57.04658311657602%","23.950325251330575%","76.04967474866943%","24.382168617713138%","74.66004493319144%","0.9577864490954239%"
"JALGAON","0.6401593285439932%","5.249306494060744%","94.11053417739527%","18.886439593258906%","79.74116475858636%","1.3723956481547324%","91.3887506222001%","8.184597880964233%","0.42665149683566805%","2.875035582123541%","14.517506404782237%","82.60745801309422%","1.3376974526825103%","98.6623025473175%","0.03558465589637748%","98.64066614475838%","1.3237491993452424%"
"Chhatrapati Sambhajinagar","0.020538098172109262%","2.197576504415691%","97.7818853974122%","67.62168823166975%","27.675087286917233%","4.703224481413021%","71.95234671870186%","26.024442846872752%","2.023210434425388%","0.1953125%","17.61924342105263%","82.18544407894737%","0.5755395683453237%","99.42446043165468%","0%","89.53213367609254%","10.467866323907455%"
"NASHIK","0.12010873000821796%","31.019659902648712%","68.86023136734306%","11.555724129211708%","81.61072128453127%","6.833554586257033%","46.39018839297003%","52.52876469844481%","1.0810469085851562%","11.10408498798533%","33.79916529657266%","55.096749715442016%","0.8348618050724179%","99.16513819492758%","0.15187950892292115%","95.19048221744083%","4.657638273636248%"
"SATARA","3.1051377118644066%","26.999470338983052%","69.89539194915254%","55.25915138677434%","31.746872310849277%","12.993976302376382%","70.56136634449888%","24.91063153713756%","4.528002118363564%","8.656775731885018%","4.729103192475825%","86.61412107563916%","0.8677795442501325%","99.13222045574987%","1.7036791514749752%","94.05369572422937%","4.242625124295658%"
"PUNE","0.06010217369528198%","11.87017930481819%","88.06971852148652%","26.167100781406532%","65.47786014826688%","8.355039070326589%","71.89221676850646%","27.576880697185214%","0.5309025343083241%","6.161089961931476%","17.53155680224404%","76.30735323582448%","0.5710850616170724%","99.42891493838293%","0.25042572373034155%","98.76790543924672%","0.981668837022939%"
"SINDHUDURG","0.12119113573407202%","25.761772853185594%","74.11703601108033%","31.3267600761114%","45.926310326933056%","22.746929596955543%","85.30224525043178%","13.79965457685665%","0.8981001727115717%","95.95556327026559%","3.280680437424058%","0.7637562923103628%","0.15682174594877157%","99.84317825405122%","56.86755430974071%","43.06236860546601%","0.0700770847932726%"
"NANDURBAR","0%","24.207643145950176%","75.79235685404983%","1.069379238393323%","98.85237350026082%","0.0782472613458529%","5.816379760041732%","93.5054773082942%","0.6781429316640585%","1.9955654101995566%","50.671709925655406%","47.33272466414504%","0.7696321419253848%","99.23036785807462%","0%","99.89561586638831%","0.10438413361169102%"
"NAGPUR","0.03315283456735551%","4.320919438612001%","95.64592772682064%","18.948182521268368%","61.49596729643133%","19.555850182300297%","88.56479946967185%","11.12584244834825%","0.30935808197989173%","4.123369445058589%","24.165376962193235%","71.71125359274818%","0.09948049077042113%","99.90051950922958%","0.05529138560212319%","96.19595267057393%","3.7487559438239524%"
"WASHIM","0.597832855897372%","12.517125420351228%","86.8850417237514%","4.035371777307261%","46.132768713413874%","49.831859509278864%","76.94607049445759%","21.98281230539295%","1.0711172001494582%","45.435297048200276%","25.183709054676797%","29.38099389712293%","0.12454851164528584%","99.87545148835471%","0.27404085700049824%","99.04085700049825%","0.6851021425012457%"
"RAIGAD","49.33554817275748%","35.61936402467964%","15.045087802562886%","37.380790190735695%","36.97207084468665%","25.647138964577657%","65.49742370194214%","27.824019024970273%","6.678557273087594%","83.6227442969016%","9.244126659856997%","7.133129043241403%","6.628436498566368%","93.37156350143363%","1.6866250632484399%","98.31337493675156%","0%"
"AKOLA","0.07587253414264036%","0.4046535154274153%","99.51947395042994%","76.3277693474962%","20.814365199797674%","2.8578654527061205%","96.40870005058169%","3.161355589276682%","0.42994436014162873%","1.3917004048582995%","10.678137651821862%","87.93016194331983%","0.4806476094105743%","99.51935239058943%","0%","95.44649633189982%","4.553503668100177%"
"LATUR","0.01439055979277594%","0.20146783709886315%","99.78414160310837%","0.705137429846021%","75.52165779248813%","23.77320477766585%","99.76975104331558%","0.1870772773060872%","0.04317167937832782%","1.7844294143042165%","43.58900561231832%","54.62656497337746%","0.12951503813498344%","99.87048496186502%","0.01439055979277594%","99.76975104331558%","0.21585839689163908%"
"AHMEDNAGAR","0.03604036520903412%","3.273666506487266%","96.6902931283037%","74.80173035328046%","20.259552992069214%","4.9387166546503245%","38.37376891664665%","42.67955801104972%","18.94667307230363%","50.37856026919842%","24.654488643191925%","24.96695108760966%","0.9977760413536094%","99.0022239586464%","0.10220031261272093%","96.90393170614404%","2.9938679812432367%"
"CHANDRAPUR","0.05078351712130006%","12.434706906558329%","87.51450957632038%","12.375770765324628%","81.66122597025753%","5.9630032644178455%","20.847236326708256%","78.60147976207747%","0.5512839112142753%","9.840348330914368%","43.57764876632801%","46.58200290275762%","0.04356665698518734%","99.95643334301481%","0.18904966189195085%","99.12746309896022%","0.6834872391478223%"
"WARDHA","0.13781007266349285%","26.647456777749937%","73.21473314958656%","33.82187147688839%","27.14518351496931%","39.0329450081423%","91.48403256105198%","8.278021289918597%","0.23794614902943018%","1.2158435698169967%","15.053898220105289%","83.73025821007771%","0.012556504269211451%","99.98744349573079%","0.012553351744915892%","99.74893296510169%","0.23851368315340196%"
"GADCHIROLI","0.04969684921975947%","0.6858165192326806%","99.26448663154756%","2.2799365582870736%","63.045202220459956%","34.674861221252975%","2.738236457097667%","91.58758402530644%","5.674179517595888%","11.671167116711672%","53.665366536653664%","34.663466346634664%","0.45262522631261315%","99.54737477368738%","3.0917384693360366%","96.50278763304613%","0.40547389761784086%"
"SANGLI","0.014909795735798419%","1.5357089607872372%","98.44938124347696%","21.589384225436113%","70.70225137915611%","7.7083643954077825%","54.58476218875801%","41.65796928582078%","3.757268525421202%","31.250931862233486%","35.93260772327419%","32.81646041449232%","1.8189950797674073%","98.1810049202326%","0.014909795735798419%","73.04308930967646%","26.942000894587743%"
"HINGOLI","0%","57.172413793103445%","42.827586206896555%","0.38620689655172413%","82.15172413793104%","17.46206896551724%","71.73793103448276%","28.193103448275863%","0.06896551724137931%","0.2896551724137931%","27.144827586206898%","72.56551724137931%","0.013793103448275862%","99.98620689655172%","0.013793103448275862%","99.98620689655172%","0%"
"PARBHANI","0.1199400299850075%","4.332833583208396%","95.5472263868066%","0%","75.52761562640323%","24.472384373596768%","99.80559294152833%","0.07477194556602362%","0.1196351129056378%","0.060177523694899954%","0.030088761847449977%","99.90973371445764%","0.01509206157561123%","99.98490793842439%","0.4998485307482581%","98.63677673432294%","0.8633747349288095%"
"DHARASHIV","0.0730816077953715%","1.6321559074299634%","98.29476248477467%","8.669534864842925%","11.575614903807127%","79.75485023134995%","79.50320642909327%","19.66880428606218%","0.827989284844549%","1.5915550142103125%","14.413317092976046%","83.99512789281364%","0.02436449281247462%","99.97563550718752%","0.06496142915144133%","99.36662606577345%","0.5684125050751117%"
"SOLAPUR","0.1460067163089502%","1.314060446780552%","98.5399328369105%","5.0357612027441245%","35.55685301415852%","59.40738578309736%","73.98919865713034%","22.230331338490732%","3.7804700043789228%","12.133158125273763%","32.968316542560956%","54.89852533216528%","0.7157464212678937%","99.2842535787321%","0.07305669199298656%","98.40736411455289%","1.5195791934541203%"
"RATNAGIRI","5.532286212914485%","41.361256544502616%","53.1064572425829%","41.76265270506108%","34.76439790575916%","23.472949389179757%","72.93193717277487%","23.07155322862129%","3.9965095986038395%","95.6195462478185%","2.5479930191972078%","1.8324607329842932%","0.017452006980802792%","99.9825479930192%","4.9214659685863875%","95.0087260034904%","0.06980802792321117%"
"BULDHANA","0.04597701149425287%","3.632183908045977%","96.32183908045977%","7.133831131533602%","57.679494543365884%","35.18667432510052%","92.6495922820719%","7.0288273802687495%","0.32158033765935456%","23.594989081714747%","28.45649925295943%","47.948511665325825%","0%","100%","0.046014034280455536%","98.94167721154952%","1.0123087541700218%"
