"District","Copper - Sufficient","Copper - Deficient","Boron - Sufficient","Boron - Deficient","S - Sufficient","S - Deficient","Fe - Sufficient","Fe - Deficient","Zn - Sufficient","Zn - Deficient","Mn - Sufficient","Mn - Deficient"
"BULDHANA","98.73607540702656%","1.2639245929734362%","94.15341939613785%","5.846580603862157%","95.80710551584338%","4.1928944841566205%","10.31059878322126%","89.68940121677873%","24.281593846811237%","75.71840615318877%","98.04737516005122%","1.9526248399487836%"
"RATNAGIRI","99.82032854209446%","0.17967145790554415%","76.02669404517454%","23.973305954825463%","98.22895277207392%","1.771047227926078%","81.95585215605749%","18.044147843942504%","74.17864476386038%","25.82135523613963%","99.20431211498973%","0.795687885010267%"
"CHANDRAPUR","92.62693967496098%","7.373060325039023%","65.75807635829662%","34.24192364170338%","54.569645806570016%","45.430354193429984%","61.31607929515418%","38.68392070484582%","57.385476911778206%","42.614523088221794%","95.57717012295834%","4.422829877041659%"
"DHARASHIV","98.2994967898664%","1.700503210133611%","59.493231516834435%","40.506768483165565%","0.06942034015966678%","99.93057965984033%","6.9581815026895715%","93.04181849731043%","23.31597222222222%","76.68402777777777%","98.62918618774944%","1.370813812250564%"
"SINDHUDURG","98.64935064935065%","1.3506493506493507%","7.267064624967558%","92.73293537503244%","73.18972229431611%","26.810277705683884%","93.1240269849507%","6.8759730150493%","79.11688311688312%","20.883116883116884%","98.18370524130773%","1.8162947586922678%"
"BHANDARA","98.60398520462952%","1.396014795370481%","32.5214899713467%","67.47851002865329%","81.04372691528656%","18.95627308471345%","85.34143725420093%","14.65856274579907%","77.98165137614679%","22.01834862385321%","96.80686286190874%","3.1931371380912665%"
"BEED","98.34779706275033%","1.6522029372496663%","95.71784232365145%","4.282157676348548%","94.3217665615142%","5.678233438485805%","3.1867219917012446%","96.81327800829875%","39.757636122177956%","60.242363877822044%","78.24066390041494%","21.759336099585063%"
"WARDHA","98.81021474172954%","1.1897852582704584%","63.4737449509521%","36.5262550490479%","42.70051933064051%","57.29948066935949%","19.209691375829248%","80.79030862417075%","40.07512279687951%","59.92487720312049%","87.36659936544564%","12.63340063455437%"
"NASHIK","99.86403806934058%","0.13596193065941536%","54.58819530984479%","45.41180469015521%","57.121014779998866%","42.878985220001134%","50.54926387315968%","49.45073612684032%","49.99716762023452%","50.00283237976548%","98.43148357870895%","1.5685164212910532%"
"HINGOLI","98.94444444444444%","1.0555555555555556%","59.333333333333336%","40.666666666666664%","38.19444444444444%","61.80555555555556%","71.08333333333333%","28.916666666666668%","56.888888888888886%","43.111111111111114%","98.36111111111111%","1.6388888888888888%"
"PALGHAR","99.9702380952381%","0.02976190476190476%","1.2507444907683145%","98.74925550923169%","66.80559690384042%","33.19440309615957%","97.94642857142857%","2.0535714285714284%","88.92857142857143%","11.071428571428571%","100%","0%"
"SOLAPUR","92.47502213228785%","7.5249778677121535%","16.23089554124037%","83.76910445875963%","42.86435968678959%","57.13564031321041%","5.229253505115574%","94.77074649488442%","30.064450903576393%","69.9355490964236%","35.1730234907805%","64.8269765092195%"
"PARBHANI","99.93851829080849%","0.06148170919151552%","67.22469666717862%","32.77530333282138%","13.669175241898326%","86.33082475810167%","49.10096818810512%","50.89903181189488%","27.895545314900154%","72.10445468509985%","98.97065601474881%","1.0293439852511908%"
"AKOLA","99.47925707342475%","0.5207429265752473%","0.5903802743531863%","99.40961972564682%","4.270091997917028%","95.72990800208296%","0%","100%","16.4987843001042%","83.5012156998958%","65.45738587050859%","34.542614129491405%"
