"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"RI BHOI","0.23166023166023167%","21.583011583011583%","78.18532818532819%","23.070987654320987%","30.246913580246915%","46.6820987654321%","40.67796610169491%","38.13559322033898%","21.1864406779661%","88.28759180517974%","5.991495941244685%","5.7209122535755705%","0.03868471953578337%","99.96131528046422%","51.83894696089818%","48.122338366240804%","0.03871467286101433%"
"NORTH GARO HILLS","0%","27.362736273627362%","72.63726372637264%","1.7985611510791366%","39.02877697841727%","59.172661870503596%","1.3477088948787062%","86.88230008984726%","11.769991015274034%","36.10859728506787%","52.30769230769231%","11.583710407239819%","0.09090909090909091%","99.9090909090909%","35.25114155251141%","64.65753424657534%","0.091324200913242%"
"WEST JAINTIA HILLS","0.20080321285140562%","81.92771084337349%","17.8714859437751%","16%","39.2%","44.8%","0.8%","79%","20.2%","90.1010101010101%","7.878787878787879%","2.0202020202020203%","0%","100%","95.74036511156187%","4.259634888438134%","0%"
"SOUTH WEST GARO HILLS","2.9239766081871346%","57.72765246449457%","39.34837092731829%","0.0835421888053467%","35.83959899749373%","64.07685881370092%","2.8404344193817876%","70.50960735171262%","26.649958228905597%","56.97577276524645%","36.507936507936506%","6.516290726817043%","0%","100%","58.11036789297659%","41.80602006688963%","0.08361204013377926%"
"WEST GARO HILLS","1.6866158868335146%","69.0968443960827%","29.216539717083787%","0.2720348204570185%","40.315560391730145%","59.41240478781284%","1.0887316276537833%","79.96733805117039%","18.94393032117583%","63.63636363636363%","31.246597713663583%","5.117038649972781%","0%","100%","46.568627450980394%","53.431372549019606%","0%"
"SOUTH GARO HILLS","5.422993492407809%","80.15184381778742%","14.425162689804772%","0.21691973969631237%","35.79175704989154%","63.99132321041215%","0%","88.93709327548807%","11.062906724511931%","83.7867247007617%","15.342763873775842%","0.8705114254624592%","0%","100%","64.30903155603917%","35.69096844396083%","0%"
"EAST KHASI HILLS","0%","17.557251908396946%","82.44274809160305%","27.862595419847327%","40.267175572519086%","31.870229007633586%","21.18320610687023%","25.38167938931298%","53.43511450381679%","98.65642994241843%","0.7677543186180422%","0.5758157389635317%","0%","100%","56.53846153846154%","43.46153846153846%","0%"
"WEST KHASI HILLS","0.3184713375796178%","15.92356687898089%","83.75796178343948%","17.8343949044586%","35.35031847133758%","46.81528662420382%","20.70063694267516%","41.40127388535032%","37.89808917197452%","96.17834394904459%","3.5031847133757963%","0.3184713375796178%","0%","100%","34.294871794871796%","65.7051282051282%","0%"
"EAST GARO HILLS","0%","66.26016260162602%","33.739837398373986%","0%","27.03252032520325%","72.96747967479675%","0%","91.26016260162602%","8.739837398373984%","72.96747967479675%","26.21951219512195%","0.8130081300813008%","0%","100%","11.382113821138212%","88.6178861788618%","0%"
"EASTERN WEST KHASI HILLS","0%","37.77777777777778%","62.22222222222222%","50%","42.22222222222222%","7.777777777777778%","18.88888888888889%","42.22222222222222%","38.888888888888886%","74.44444444444444%","14.444444444444445%","11.11111111111111%","0%","100%","47.77777777777778%","52.22222222222222%","0%"
