"District","Copper - Sufficient","Copper - Deficient","Boron - Sufficient","Boron - Deficient","S - Sufficient","S - Deficient","Fe - Sufficient","Fe - Deficient","Zn - Sufficient","Zn - Deficient","Mn - Sufficient","Mn - Deficient"
"EAST JAINTIA HILLS","99.91694352159469%","0.08305647840531562%","100%","0%","0%","0%","68.52159468438538%","31.47840531561462%","92.10963455149502%","7.8903654485049834%","90.69767441860465%","9.30232558139535%"
"RI BHOI","1.3157894736842106%","98.6842105263158%","16.80161943319838%","83.19838056680162%","98.582995951417%","1.417004048582996%","13.96761133603239%","86.03238866396761%","26.518218623481783%","73.48178137651821%","31.275303643724698%","68.7246963562753%"
"EAST KHASI HILLS","1.7638412542871142%","98.23615874571288%","12.873225648556046%","87.12677435144396%","97.01419481155163%","2.98580518844836%","6.167400881057269%","93.83259911894272%","14.145863925599608%","85.85413607440039%","8.516886930983848%","91.48311306901616%"
"SOUTH GARO HILLS","74.54387489139879%","25.456125108601217%","26.126126126126128%","73.87387387387388%","12.612612612612613%","87.38738738738739%","93.57638888888889%","6.423611111111111%","48.611111111111114%","51.388888888888886%","84.89583333333333%","15.104166666666666%"
"WEST KHASI HILLS","0.1251564455569462%","99.87484355444306%","1.1264080100125156%","98.87359198998749%","99.87484355444306%","0.1251564455569462%","2.127659574468085%","97.87234042553192%","29.78723404255319%","70.2127659574468%","0.8760951188986232%","99.12390488110138%"
"EASTERN WEST KHASI HILLS","1.8624641833810889%","98.13753581661891%","9.885386819484241%","90.11461318051576%","97.13467048710602%","2.865329512893983%","9.312320916905444%","90.68767908309455%","15.902578796561604%","84.0974212034384%","3.438395415472779%","96.56160458452722%"
"EAST GARO HILLS","84.36254980079681%","15.637450199203187%","12.335958005249344%","87.66404199475066%","8.136482939632545%","91.86351706036746%","95.11952191235059%","4.8804780876494025%","57.669322709163346%","42.330677290836654%","89.7410358565737%","10.258964143426295%"
"WEST GARO HILLS","58.55161787365177%","41.44838212634823%","12.395709177592371%","87.60429082240763%","7.270560190703218%","92.72943980929678%","72.65023112480739%","27.349768875192606%","31.06646058732612%","68.93353941267388%","76.5793528505393%","23.42064714946071%"
"SOUTH WEST GARO HILLS","57.1656050955414%","42.8343949044586%","19.704433497536947%","80.29556650246306%","14.285714285714286%","85.71428571428571%","82.82988871224165%","17.170111287758345%","14.968152866242038%","85.03184713375796%","82.3529411764706%","17.647058823529413%"
"SOUTH WEST KHASI HILLS","0.423728813559322%","99.57627118644068%","10.59322033898305%","89.40677966101696%","98.72881355932203%","1.271186440677966%","10.59322033898305%","89.40677966101696%","8.26271186440678%","91.73728813559322%","5.084745762711864%","94.91525423728814%"
"NORTH GARO HILLS","67.39367502726282%","32.606324972737184%","34.98349834983498%","65.01650165016501%","1.9736842105263157%","98.02631578947368%","95.41984732824427%","4.580152671755725%","37.73173391494002%","62.26826608505998%","87.67720828789531%","12.322791712104689%"
"WEST JAINTIA HILLS","99.94419642857143%","0.05580357142857143%","0%","0%","0%","0%","70.47353760445682%","29.526462395543174%","89.68209704406023%","10.317902955939767%","92.59052924791087%","7.4094707520891365%"
