"District","Copper - Sufficient","Copper - Deficient","Boron - Sufficient","Boron - Deficient","S - Sufficient","S - Deficient","Fe - Sufficient","Fe - Deficient","Zn - Sufficient","Zn - Deficient","Mn - Sufficient","Mn - Deficient"
"LUNGLEI","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%"
"SERCHHIP","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%"
"SAITUAL","100%","0%","0%","100%","100%","0%","100%","0%","100%","0%","100%","0%"
"AIZAWL","100%","0%","100%","0%","0%","100%","100%","0%","50%","50%","0%","0%"
"KOLASIB","100%","0%","100%","0%","0%","100%","0.2%","99.8%","100%","0%","0%","100%"
"CHAMPHAI","100%","0%","0%","100%","100%","0%","100%","0%","100%","0%","100%","0%"
"LAWNGTLAI","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%"
"SAIHA","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%"
"MAMIT","0%","0%","0%","0%","0%","0%","0%","100%","0%","0%","0%","0%"
"KHAWZAWL","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%"
"Hnahthial","0%","0%","100%","0%","50%","50%","0%","0%","100%","0%","0%","0%"
