"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"MOKOKCHUNG","0.08888888888888889%","66.53333333333333%","33.37777777777778%","11.281481481481482%","41.77037037037037%","46.94814814814815%","14.266666666666667%","50.54814814814815%","35.18518518518518%","72.05925925925926%","18.392592592592592%","9.548148148148147%","0.014814814814814815%","99.98518518518519%","99.05925925925926%","0.9333333333333333%","0.007407407407407408%"
"KIPHIRE","1.893838356895172%","68.35156041611096%","29.754601226993866%","67.07121899173113%","32.58202187249933%","0.34675913576953854%","19.47185916244332%","66.01760469458522%","14.510536142971459%","30.59482528674313%","34.39583889037077%","35.0093358228861%","0.0533546752034147%","99.94664532479659%","66.88450253400907%","33.08882368631635%","0.026673779674579887%"
"ZUNHEBOTO","6.2%","79.58333333333333%","14.216666666666667%","56.141666666666666%","34.858333333333334%","9%","49.55%","48.86666666666667%","1.5833333333333333%","75.7%","16.091666666666665%","8.208333333333334%","1.2166666666666666%","98.78333333333333%","91.21666666666667%","8.783333333333333%","0%"
"DIMAPUR","1.4441591784338896%","47.079589216944804%","51.47625160462131%","3.562259306803594%","79.5571245186136%","16.880616174582798%","21.79075738125802%","58.66495507060334%","19.54428754813864%","23.395378690629013%","53.81899871630295%","22.785622593068037%","0%","100%","70.4428754813864%","29.30038510911425%","0.25673940949935814%"
"Niuland","0.8863819500402901%","49.87912973408542%","49.234488315874295%","4.109589041095891%","56.88960515713134%","39.00080580177276%","45.36663980660757%","50.765511684125705%","3.8678485092667203%","4.43190975020145%","34.971796937953265%","60.59629331184529%","0%","100%","69.78243352135375%","30.217566478646255%","0%"
"TUENSANG","0.5662365025019752%","39.14932841717145%","60.284435080326574%","25.809849881485384%","49.46010007900974%","24.73005003950487%","24.269159863049776%","71.89886752699499%","3.8319726099552276%","70.66104819594416%","13.932051619699763%","15.40690018435607%","0.013171759747102213%","99.9868282402529%","50.737424282328156%","49.262575717671844%","0%"
"Chumoukedima","0.9636443276390714%","42.882172579938675%","56.15418309242225%","16.973280770915462%","65.41830924222515%","17.608409986859396%","29.43495400788436%","62.70258431887867%","7.862461673236969%","24.091108190976787%","51.423565484012265%","24.485326325010952%","1.0950503723171265%","98.90494962768287%","61.892247043363994%","38.107752956636006%","0%"
"SHAMATOR","0%","96.42857142857143%","3.5714285714285716%","0.07142857142857142%","99.92857142857143%","0%","0.8571428571428571%","98.42857142857143%","0.7142857142857143%","4.714285714285714%","30.857142857142858%","64.42857142857143%","0%","100%","19.5%","80.5%","0%"
"PHEK","2.1711257372424995%","53.73108812719036%","44.09778613556714%","10.692307692307692%","50.675213675213676%","38.63247863247863%","26.295093178321082%","61.258334758078306%","12.446572063600616%","77.27156167193777%","9.95811607829729%","12.770322249764938%","0.07692307692307693%","99.92307692307692%","77.23737071544576%","22.617317719463202%","0.14531156509103343%"
"PEREN","71.02102102102103%","28.745412078745414%","0.2335669002335669%","0.0667334000667334%","0.08341675008341674%","99.84984984984985%","0.05005005005005005%","38.90557223890557%","61.044377711044376%","90.8559986651093%","7.492074086434173%","1.6519272484565326%","5.17270148506591%","94.82729851493409%","50.583917250583916%","49.13246579913247%","0.28361695028361694%"
"MON","5.156585156585156%","81.06392106392106%","13.77949377949378%","42.47962247962248%","56.57657657657658%","0.9438009438009438%","5.225225225225225%","84.91634491634491%","9.858429858429858%","49.935649935649934%","34.06263406263406%","16.001716001716%","9.815529815529816%","90.18447018447019%","82.37666237666238%","17.623337623337623%","0%"
"LONGLENG","24.887488748874887%","62.62376237623762%","12.488748874887488%","43.42934293429343%","42.12421242124213%","14.446444644464446%","30.175517551755174%","67.25922592259226%","2.5652565256525652%","11.003600360036003%","52.7002700270027%","36.296129612961295%","2.047704770477048%","97.95229522952295%","91.94419441944194%","8.055805580558056%","0%"
"Noklak","0.1788508830762352%","44.824502570981444%","54.99664654594232%","2.7274759669125865%","78.64967583277442%","18.62284820031299%","10.127431254191817%","85.69192935390119%","4.180639391906998%","86.88744685611994%","4.2962631461177%","8.816289997762363%","1.5649452269170578%","98.43505477308294%","35.92667113793874%","63.96154706013861%","0.11178180192264699%"
"WOKHA","72.41412582014667%","27.585874179853338%","0%","0%","0%","100%","17.67657275183327%","8.71285218062524%","73.61057506754149%","83.28830567348514%","10.208413739868776%","6.503280586646083%","0.0771902740254728%","99.92280972597453%","70.88961790814358%","29.110382091856426%","0%"
"KOHIMA","0.23734177215189872%","52.89556962025316%","46.86708860759494%","24.37094476974205%","56.29055230257952%","19.33850292767843%","11.283430922614338%","33.18563063775914%","55.530938439626524%","71.49192271143491%","15.568577763699714%","12.93949952486538%","5.913126188966392%","94.08687381103361%","80.7906016828068%","19.161771709795204%","0.04762660739799968%"
"Tseminyu","3.9%","17.866666666666667%","78.23333333333333%","97.7%","2.3%","0%","5.366666666666666%","22.966666666666665%","71.66666666666667%","99.33333333333333%","0.3%","0.36666666666666664%","0%","100%","74.66666666666667%","25.333333333333332%","0%"
