"District","Copper - Sufficient","Copper - Deficient","Boron - Sufficient","Boron - Deficient","S - Sufficient","S - Deficient","Fe - Sufficient","Fe - Deficient","Zn - Sufficient","Zn - Deficient","Mn - Sufficient","Mn - Deficient"
"WOKHA","86.35714285714286%","13.642857142857142%","82.64285714285714%","17.357142857142858%","70.42857142857143%","29.571428571428573%","49.857142857142854%","50.142857142857146%","79.85714285714286%","20.142857142857142%","65%","35%"
"KIPHIRE","96.54088050314465%","3.459119496855346%","96.75052410901468%","3.249475890985325%","99.05660377358491%","0.9433962264150944%","79.66457023060796%","20.335429769392032%","87.73584905660377%","12.264150943396226%","89.62264150943396%","10.377358490566039%"
"MON","99.375%","0.625%","100%","0%","99.6875%","0.3125%","99.75%","0.25%","100%","0%","96.8125%","3.1875%"
"Chumoukedima","99.47643979057591%","0.5235602094240838%","34.55497382198953%","65.44502617801047%","0%","100%","99.73821989528795%","0.2617801047120419%","93.19371727748691%","6.806282722513089%","10.99476439790576%","89.00523560209425%"
"PEREN","88.48560700876095%","11.514392991239049%","99.87484355444306%","0.1251564455569462%","91.73967459324155%","8.260325406758447%","99.24906132665832%","0.7509386733416771%","69.72361809045226%","30.276381909547737%","99.7496871088861%","0.2503128911138924%"
"TUENSANG","91.0414333706607%","8.958566629339305%","88.62745098039215%","11.372549019607844%","1.1758118701007838%","98.82418812989921%","60.97424412094065%","39.02575587905935%","90.36954087346025%","9.630459126539753%","63.60582306830907%","36.39417693169093%"
"ZUNHEBOTO","99.875%","0.125%","61.0625%","38.9375%","23.9375%","76.0625%","81.5%","18.5%","78.8125%","21.1875%","99.9375%","0.0625%"
"KOHIMA","99.20159680638723%","0.7984031936127745%","86.61338661338661%","13.386613386613387%","42.115768463073856%","57.884231536926144%","96.10778443113773%","3.8922155688622753%","70.8%","29.2%","69.96007984031937%","30.039920159680637%"
"LONGLENG","100%","0%","99.5%","0.5%","98.83333333333333%","1.1666666666666667%","93%","7%","100%","0%","98.83333333333333%","1.1666666666666667%"
"PHEK","97.53086419753086%","2.4691358024691357%","92.44694132334581%","7.5530586766541825%","50.15595757953837%","49.84404242046163%","72.23955084217093%","27.760449157829072%","94.125%","5.875%","72.8633811603244%","27.13661883967561%"
"Noklak","71.42857142857143%","28.571428571428573%","92.85714285714286%","7.142857142857143%","0%","100%","0%","100%","92.85714285714286%","7.142857142857143%","0%","100%"
"MOKOKCHUNG","72.53363228699551%","27.466367713004484%","98.54260089686099%","1.4573991031390134%","48.65470852017937%","51.34529147982063%","99.9439461883408%","0.05605381165919283%","74.04708520179372%","25.95291479820628%","77.18609865470852%","22.81390134529148%"
"Tseminyu","99.75308641975309%","0.24691358024691357%","51.851851851851855%","48.148148148148145%","64.19753086419753%","35.80246913580247%","99.25925925925925%","0.7407407407407407%","51.3715710723192%","48.6284289276808%","100%","0%"
"DIMAPUR","92.70959902794654%","7.290400972053463%","52.61239368165249%","47.38760631834751%","0.24301336573511542%","99.75698663426489%","99.87834549878346%","0.12165450121654502%","78.85783718104496%","21.142162818955043%","39.00364520048603%","60.99635479951397%"
