"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"BHADRAK","0.3415423332734136%","41.560309185691175%","58.098148481035416%","44.256696027323386%","52.39978428905267%","3.343519683623944%","12.367427646953082%","80.44220744202768%","7.190364911019234%","15.659834591873427%","38.241639697950376%","46.0985257101762%","0.2518891687657431%","99.74811083123426%","21.98454071544131%","77.33237461801187%","0.6830846665468272%"
"DEOGARH","0.6949040370615487%","3.4745201853077434%","95.83057577763071%","2.2170747849106553%","3.970880211780278%","93.81204500330907%","40.43679682329583%","50.430178689609534%","9.133024487094639%","36.79682329583058%","24.950363997352746%","38.25281270681668%","1.4233697451175107%","98.57663025488249%","27.961614824619456%","71.608206485771%","0.4301786896095301%"
"KENDRAPARA","0.06380263717566993%","14.323692045937898%","85.61250531688643%","8.868566567418119%","61.6758826031476%","29.455550829434284%","11.17609527860485%","75.57422373458103%","13.249680986814122%","0.829434283283709%","5.157379838366652%","94.01318587834965%","0.09570395576350489%","99.90429604423649%","64.73840918757975%","35.2190557209698%","0.04253509145044662%"
"KALAHANDI","1.3974687358746423%","55.92888353171614%","42.67364773240922%","21.74928431520265%","77.7459695645623%","0.504746120235046%","10.547331148529024%","88.7068218631107%","0.7458469883602667%","10.618335280153737%","40.992501601416784%","48.38916311842948%","0.2486906062775538%","99.75130939372245%","9.124128837822566%","90.76285552834808%","0.11301563382934639%"
"BARGARH","0.07013964165019448%","15.379710514569917%","84.55014984377989%","58.77629063097514%","24.27023581899299%","16.953473550031866%","51.57116451016636%","36.54152590987316%","11.887309579960482%","22.604704532415376%","36.361318289029136%","41.03397717855549%","1.486064162255246%","98.51393583774475%","40.378609216648606%","59.54490407291733%","0.07648671043406208%"
"ANUGUL","0.03462603878116344%","11.068790397045245%","88.8965835641736%","30.967220683287167%","61.7382271468144%","7.29455216989843%","51.39658356417359%","45.475530932594644%","3.1278855032317634%","33.287165281625114%","49.79224376731302%","16.920590951061865%","0.6117266851338874%","99.38827331486611%","33.40258541089566%","66.58587257617728%","0.011542012927054479%"
"BALANGIR","0.046168051708217916%","12.399419601635667%","87.55441234665611%","5.916496273332894%","79.73748433480641%","14.346019391860695%","14.10763751483973%","69.97757551774173%","15.914786967418546%","16.24455876533439%","62.89407729850943%","20.86136393615618%","0.06608948516291058%","99.9339105148371%","4.049597678406543%","95.9306160137185%","0.019786307874950535%"
"NABARANGPUR","0.06808510638297872%","0.22127659574468084%","99.71063829787234%","18.621276595744682%","51.693617021276594%","29.685106382978724%","27.74468085106383%","66.04255319148936%","6.212765957446808%","2.6893617021276595%","6.485106382978723%","90.82553191489362%","0.6298944501191692%","99.37010554988083%","46.87659574468085%","52.98723404255319%","0.13617021276595745%"
"DHENKANAL","0.03210616438356165%","0.898972602739726%","99.06892123287672%","35.05993150684932%","44.76669520547945%","20.173373287671232%","45.761986301369866%","48.769263698630134%","5.46875%","3.90625%","6.44263698630137%","89.65111301369863%","0.021404109589041095%","99.97859589041096%","38.6986301369863%","61.290667808219176%","0.010702054794520547%"
"SUNDARGARH","4.865718799368088%","42.20115850447604%","52.93312269615587%","22.82780410742496%","68.13586097946288%","9.036334913112164%","26.761453396524487%","45.144813059505005%","28.09373354397051%","7.298578199052133%","39.07846234860453%","53.62295945234334%","0.07898894154818326%","99.92101105845181%","0.995260663507109%","98.98894154818325%","0.01579778830963665%"
