"District","Copper - Sufficient","Copper - Deficient","Boron - Sufficient","Boron - Deficient","S - Sufficient","S - Deficient","Fe - Sufficient","Fe - Deficient","Zn - Sufficient","Zn - Deficient","Mn - Sufficient","Mn - Deficient"
"MALKANGIRI","100%","0%","0%","100%","100%","0%","100%","0%","0%","100%","0%","100%"
"KANDHAMAL","0%","0%","50%","50%","0%","100%","0%","0%","0%","0%","0%","0%"
"NABARANGPUR","85.24590163934427%","14.754098360655737%","49.18032786885246%","50.81967213114754%","83.30849478390462%","16.69150521609538%","99.2548435171386%","0.7451564828614009%","33.8301043219076%","66.1698956780924%","99.85096870342772%","0.14903129657228018%"
"MAYURBHANJ","0%","0%","100%","0%","0%","100%","0%","0%","100%","0%","0%","0%"
"DHENKANAL","100%","0%","4.3478260869565215%","95.65217391304348%","5.797101449275362%","94.20289855072464%","100%","0%","50.72463768115942%","49.27536231884058%","100%","0%"
"ANUGUL","100%","0%","0%","100%","80%","20%","100%","0%","60%","40%","100%","0%"
"SUNDARGARH","100%","0%","0%","0%","0%","0%","100%","0%","100%","0%","100%","0%"
"NAYAGARH","97.02343255224825%","2.9765674477517416%","25.015832805573147%","74.98416719442685%","89.17036098796707%","10.829639012032933%","94.23685877137429%","5.763141228625712%","64.53451551614945%","35.46548448385054%","100%","0%"
"KALAHANDI","39.62264150943396%","60.37735849056604%","20.12578616352201%","79.87421383647799%","69.81132075471699%","30.18867924528302%","25.157232704402517%","74.84276729559748%","64.15094339622641%","35.84905660377358%","2.5157232704402515%","97.48427672955975%"
"GANJAM","98.96103896103897%","1.0389610389610389%","93.24675324675324%","6.753246753246753%","6.4935064935064934%","93.50649350649351%","95.97402597402598%","4.025974025974026%","75.32467532467533%","24.675324675324674%","98.24675324675324%","1.7532467532467533%"
"DEOGARH","99.03846153846153%","0.9615384615384616%","99.03846153846153%","0.9615384615384616%","99.75961538461539%","0.2403846153846154%","99.51923076923077%","0.4807692307692308%","43.75%","56.25%","99.51923076923077%","0.4807692307692308%"
"SAMBALPUR","99.0683887359729%","0.9316112640271014%","21.935756551141168%","78.06424344885883%","86.81597295584196%","13.18402704415804%","98.09483488569009%","1.9051651143099069%","62.71150592216582%","37.28849407783418%","99.32217750476595%","0.6778224952340606%"
"KENDUJHAR","100%","0%","100%","0%","100%","0%","100%","0%","100%","0%","100%","0%"
"SONEPUR","100%","0%","0%","100%","100%","0%","100%","0%","0%","100%","100%","0%"
"JAJAPUR","100%","0%","33.333333333333336%","66.66666666666667%","0%","100%","100%","0%","33.333333333333336%","66.66666666666667%","100%","0%"
"KENDRAPARA","100%","0%","50%","50%","100%","0%","50%","50%","0%","100%","100%","0%"
"BARGARH","85%","15%","60%","40%","60%","40%","75%","25%","50%","50%","80%","20%"
"PURI","75%","25%","20.159313725490197%","79.8406862745098%","92.21813725490196%","7.7818627450980395%","50%","50%","13.602941176470589%","86.3970588235294%","75%","25%"
"BALESHWAR","0%","100%","0%","100%","0%","100%","50%","50%","100%","0%","50%","50%"
"BOUDH","100%","0%","0%","100%","100%","0%","100%","0%","100%","0%","100%","0%"
"KORAPUT","100%","0%","53.790395650860766%","46.209604349139234%","95.01661129568106%","4.983388704318937%","96.64179104477611%","3.3582089552238807%","81.18393234672304%","18.816067653276956%","100%","0%"
"KHORDHA","0%","100%","100%","0%","0%","100%","100%","0%","0%","100%","100%","0%"
