"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"KAPURTHALA","0%","0%","100%","68.05708013172338%","12.294182217343579%","19.64873765093304%","2.8446389496717726%","8.096280087527353%","89.05908096280088%","21.263289555972484%","35.45966228893058%","43.277048155096935%","0.1875%","99.8125%","0.5003126954346466%","97.68605378361475%","1.813633520950594%"
"BATHINDA","0%","0%","0%","0%","0%","100%","0%","0%","100%","0%","0%","100%","0%","100%","0%","50%","50%"
"AMRITSAR","0%","0%","100%","11.210762331838565%","18.83408071748879%","69.95515695067265%","12.10762331838565%","30.044843049327355%","57.847533632286996%","0.4659949622166247%","61.39798488664987%","38.1360201511335%","0.05036514731805591%","99.94963485268194%","0%","98.6926461345066%","1.3073538654934003%"
"RUPNAGAR","0%","0%","100%","0%","0%","100%","0%","0%","100%","1.4512785072563925%","33.24118866620594%","65.30753282653767%","0.2518891687657431%","99.74811083123426%","0%","99.9056010069226%","0.09439899307740718%"
"MOGA","0%","0%","0%","28.435176204332365%","17.749757516973812%","53.81506627869383%","41.22211445198836%","37.52020691884901%","21.257678629162626%","36.72809569996767%","35.337859683155514%","27.934044616876818%","28.580666020045264%","71.41933397995474%","0%","60.81474296799224%","39.18525703200776%"
"SANGRUR","0%","0%","0%","46.138888888888886%","42.69444444444444%","11.166666666666666%","0%","4.472222222222222%","95.52777777777777%","9.36111111111111%","69.02777777777777%","21.61111111111111%","0%","100%","0%","100%","0%"
"FATEHGARH SAHIB","0%","0%","0%","100%","0%","0%","0%","66.66666666666667%","33.333333333333336%","0%","0%","100%","0%","100%","0%","100%","0%"
"FARIDKOT","0%","0%","0%","58.183990442054956%","29.98805256869773%","11.827956989247312%","16.009557945041816%","33.09438470728794%","50.89605734767025%","58.48267622461171%","30.46594982078853%","11.051373954599761%","47.55077658303465%","52.44922341696535%","44.1457586618877%","54.59976105137395%","1.2544802867383513%"
"Tarn Taran","0%","0%","100%","21.645220588235293%","37.13235294117647%","41.22242647058823%","1.0071942446043165%","22.73381294964029%","76.2589928057554%","10.298850574712644%","68.13793103448276%","21.563218390804597%","32.38270469181233%","67.61729530818768%","32.397606994937874%","54.76300046019328%","12.839392544868845%"
"S.A.S Nagar","0%","0%","0%","0.36101083032490977%","24.187725631768952%","75.45126353790614%","0.3597122302158273%","0%","99.64028776978417%","0%","0%","0%","0%","0%","0%","0%","0%"
"GURDASPUR","0%","0%","0%","0%","0%","100%","0%","0%","100%","0%","100%","0%","0%","100%","0%","95.2%","4.8%"
"PATIALA","0%","0%","0%","0%","88.57142857142857%","11.428571428571429%","0%","0%","0%","2.857142857142857%","20%","77.14285714285714%","5.714285714285714%","94.28571428571429%","0%","100%","0%"
