"District","Copper - Sufficient","Copper - Deficient","Boron - Sufficient","Boron - Deficient","S - Sufficient","S - Deficient","Fe - Sufficient","Fe - Deficient","Zn - Sufficient","Zn - Deficient","Mn - Sufficient","Mn - Deficient"
"LUDHIANA","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%"
"FARIDKOT","98.26712876566249%","1.73287123433751%","98.33333333333333%","1.6666666666666667%","93.20362473347548%","6.79637526652452%","68.78997867803838%","31.21002132196162%","94.41065739936288%","5.589342600637127%","11.194029850746269%","88.80597014925372%"
"FEROZEPUR","99.00600150037509%","0.9939984996249063%","0%","100%","98.04951237809452%","1.9504876219054763%","78.59688613768523%","21.40311386231476%","81.42937535171637%","18.570624648283623%","40.51012753188297%","59.48987246811703%"
"PATIALA","99.8797836104989%","0.12021638950110199%","100%","0%","18.147029204431018%","81.85297079556898%","99.24181963288109%","0.7581803671189146%","80.2126274679974%","19.787372532002603%","91.16121308858739%","8.83878691141261%"
"BATHINDA","99.42266505261198%","0.5773349473880249%","100%","0%","94.53343266902588%","5.466567330974111%","99.05027932960894%","0.9497206703910615%","96.28491620111731%","3.7150837988826817%","42.17877094972067%","57.82122905027933%"
"SANGRUR","99.5%","0.5%","100%","0%","86.80578198021954%","13.19421801978046%","84.4381656161704%","15.561834383829602%","86.96597456245244%","13.034025437547559%","55.422734188219955%","44.577265811780045%"
"GURDASPUR","95.8914159941306%","4.108584005869406%","0%","0%","83.25991189427313%","16.740088105726873%","34.434654919236415%","65.56534508076358%","31.718061674008812%","68.28193832599119%","1.1747430249632893%","98.82525697503671%"
"S.A.S Nagar","99.29742388758783%","0.702576112412178%","0%","0%","84.28246013667426%","15.71753986332574%","78.52193995381063%","21.478060046189377%","98.39080459770115%","1.6091954022988506%","13.043478260869565%","86.95652173913044%"
"SRI MUKTSAR SAHIB","95.985727029438%","4.014272970561998%","100%","0%","95.99644128113879%","4.00355871886121%","73.52614015572858%","26.473859844271413%","77.75050212006249%","22.249497879937515%","13.18950177935943%","86.81049822064057%"
"AMRITSAR","100%","0%","0%","0%","54.54545454545455%","45.45454545454545%","29.41176470588235%","70.58823529411765%","54.54545454545455%","45.45454545454545%","0%","100%"
"MALERKOTLA","96.82772083943387%","3.17227916056613%","100%","0%","78.44953681131156%","21.550463188688443%","72.4390243902439%","27.5609756097561%","98.29184968277208%","1.708150317227916%","79.32715748415407%","20.67284251584593%"
"FATEHGARH SAHIB","99.68602825745683%","0.3139717425431711%","100%","0%","96.56786271450858%","3.43213728549142%","86.3896103896104%","13.61038961038961%","99.79231568016614%","0.20768431983385255%","69.77708657335407%","30.22291342664593%"
"KAPURTHALA","100%","0%","100%","0%","100%","0%","100%","0%","100%","0%","37.28813559322034%","62.71186440677966%"
"RUPNAGAR","100%","0%","0%","0%","34.07821229050279%","65.92178770949721%","92.69662921348315%","7.303370786516854%","89.94413407821229%","10.05586592178771%","83.79888268156425%","16.201117318435752%"
"FAZILKA","98.64563416188655%","1.354365838113448%","0%","0%","98.04668889947594%","1.953311100524059%","60.219151977131965%","39.780848022868035%","80.49865015086549%","19.50134984913451%","26.96522153406384%","73.03477846593616%"
"Tarn Taran","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%"
"Shahid Bhagat Singh Nagar","99.22452660054103%","0.7754733994589721%","0%","0%","84.76104598737601%","15.238954012623985%","94.31920649233544%","5.680793507664562%","83.78719567177637%","16.212804328223626%","64.07574391343553%","35.92425608656447%"
"MOGA","100%","0%","0%","100%","100%","0%","92.15686274509804%","7.8431372549019605%","100%","0%","88.23529411764706%","11.764705882352942%"
