"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"CHURU","0%","0%","0%","0.09604470444425041%","29.64288832620274%","70.26106696935301%","9.819324430479183%","89.37767303831718%","0.803002531203631%","0.06109801867853714%","2.0075063280090775%","97.93139565331238%","1.6321899275552065%","98.3678100724448%","0.026187150837988827%","98.99615921787709%","0.9776536312849162%"
"ALWAR","0%","5.555555555555555%","94.44444444444444%","77.80250673538714%","21.998360079653274%","0.19913318495958768%","13.29743649771743%","67.23633384057123%","19.466229661711342%","3.118771251025912%","10.974322898346816%","85.90690585062727%","32.19443466009158%","67.80556533990841%","0.05917860101787194%","95.01716179429518%","4.923659604686946%"
"SIKAR","0%","0%","100%","90.44544867656553%","8.94125242091672%","0.6132989025177534%","86.94533762057878%","12.620578778135048%","0.4340836012861736%","0.0653061224489796%","0.1306122448979592%","99.80408163265307%","0.033101621979477%","99.96689837802052%","0.033967391304347824%","95.56725543478261%","4.398777173913044%"
"AJMER","0%","0%","100%","63.33380540999858%","36.51040929046877%","0.1557852995326441%","43.257790368271955%","56.685552407932015%","0.056657223796033995%","0.0424868998725393%","0.141622999575131%","99.81589010055232%","12.648725212464589%","87.35127478753542%","0.0283245999150262%","82.11301515366095%","17.85866024642402%"
"UDAIPUR","0%","0%","0%","43.55779124271179%","53.68697839259175%","2.7552303646964673%","3.4526123242254485%","28.91277009260318%","67.63461758317138%","13.705989940557842%","53.30361225422954%","32.99039780521262%","0.022862368541380886%","99.97713763145862%","0%","96.69638774577047%","3.303612254229538%"
"JHUNJHUNU","0%","0%","0%","86.64334225149207%","13.274336283185841%","0.08232146532208273%","50.27783494546203%","47.25252109487549%","2.469643959662482%","0.15436863229391787%","0.586600802716888%","99.25903056498919%","1.4717990942774803%","98.52820090572251%","0.03087690407575134%","85.64223960477563%","14.326883491148621%"
"BARAN","0%","0%","100%","79.9073438572409%","19.166094715168153%","0.9265614275909403%","54.537656544861896%","43.866872533882315%","1.59547092125579%","11.018998272884284%","38.6873920552677%","50.29360967184802%","2.561898211829436%","97.43810178817057%","0.06885866758478223%","99.82785333103804%","0.10328800137717335%"
"KOTA","0%","0%","100%","76.85851318944844%","23.107228502911955%","0.0342583076396026%","79.83912373780592%","19.78435735067602%","0.3765189115180558%","1.9006849315068493%","41.54109589041096%","56.55821917808219%","7.6909900650907845%","92.30900993490921%","0.05150214592274678%","99.55364806866953%","0.3948497854077253%"
"BHILWARA","0%","0%","0%","50.56689342403628%","37.131519274376416%","12.301587301587302%","99.62214245229548%","0.3778575477045154%","0%","23.34593572778828%","21.73913043478261%","54.91493383742911%","29.124929124929125%","70.87507087507088%","0%","88.88678888678889%","11.113211113211113%"
"Jodhpur Gramin","0%","0%","100%","77.75823071123398%","21.713998492083437%","0.5277707966825835%","46.866758759261586%","52.882079618234336%","0.25116162250408136%","0.4023133014835303%","0.2388735227558461%","99.35881317576063%","7.849056603773585%","92.15094339622641%","0.01258019876714052%","60.56107686501447%","39.42634293621839%"
