"District","Copper - Sufficient","Copper - Deficient","Boron - Sufficient","Boron - Deficient","S - Sufficient","S - Deficient","Fe - Sufficient","Fe - Deficient","Zn - Sufficient","Zn - Deficient","Mn - Sufficient","Mn - Deficient"
"JHUNJHUNU","99.87455571816851%","0.1254442818314865%","29.41176470588235%","70.58823529411765%","99.72786267531924%","0.27213732468076196%","26.93915952331173%","73.06084047668827%","19.04610492845787%","80.95389507154214%","99.8222872674054%","0.1777127325946059%"
"CHURU","98.69486519958083%","1.3051348004191674%","75%","25%","0%","100%","5.212502382313703%","94.7874976176863%","6.763192989140789%","93.23680701085921%","91.67301829268293%","8.326981707317072%"
"DUNGARPUR","100%","0%","61.29032258064516%","38.70967741935484%","99.97274090227613%","0.02725909772386534%","80.82845074260798%","19.171549257392016%","74.68544857768053%","25.314551422319475%","99.8773674887587%","0.12263251124131352%"
"JALORE","91.77764910248986%","8.222350897510132%","100%","0%","0%","100%","1.789838337182448%","98.21016166281755%","1.740139211136891%","98.25986078886311%","79.02946273830156%","20.97053726169844%"
"UDAIPUR","92.10671446298083%","7.893285537019165%","76.02131438721136%","23.97868561278863%","82.769082258843%","17.230917741157%","26.778819635962492%","73.22118036403751%","67.62259822196731%","32.37740177803269%","49.393354474010756%","50.606645525989244%"
"KARAULI","92.02752601544142%","7.972473984558577%","0%","0%","94.83048002685464%","5.169519973145351%","59.9026518966096%","40.0973481033904%","42.111446794226254%","57.888553205773746%","94.96475327291037%","5.0352467270896275%"
"Gangapurcity","96.57273419649657%","3.427265803503427%","100%","0%","98.80650076180802%","1.1934992381919756%","44.684090332402945%","55.315909667597055%","26.19289340101523%","73.80710659898477%","90.23090586145648%","9.769094138543517%"
"BHARATPUR","98.94826606026152%","1.0517339397384877%","0%","0%","99.94313335228888%","0.05686664771111743%","54.960204661739624%","45.039795338260376%","4.789653212052302%","95.2103467879477%","99.4457077885162%","0.5542922114837976%"
"GANGANAGAR","97.72312505431476%","2.276874945685235%","100%","0%","74.70884755779593%","25.29115244220407%","64.71712870426697%","35.28287129573303%","58.90839561967669%","41.09160438032331%","97.94038411401756%","2.0596158859824456%"
"TONK","96.90011481056257%","3.0998851894374284%","100%","0%","99.97012249775919%","0.02987750224081267%","69.94589276930644%","30.054107230693557%","62.348310921613646%","37.651689078386354%","95.32633650377173%","4.673663496228271%"
"Dudu","99.26948051948052%","0.7305194805194806%","0%","0%","100%","0%","31.386861313868614%","68.61313868613139%","35.76642335766423%","64.23357664233576%","99.59448499594485%","0.40551500405515006%"
"PALI","99.55663039097138%","0.4433696090286175%","0%","0%","99.02834008097166%","0.97165991902834%","27.005239822652157%","72.99476017734784%","54.65538089480049%","45.34461910519951%","99.79846835953245%","0.2015316404675534%"
