"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"RANGA REDDY","0%","0%","100%","100%","0%","0%","0%","0%","100%","0%","0%","0%","0%","100%","0%","100%","0%"
"BHADRADRI KOTHAGUDEM","0.08403361344537816%","2.0168067226890756%","97.89915966386555%","66.21848739495799%","13.025210084033613%","20.756302521008404%","9.07563025210084%","47.3109243697479%","43.61344537815126%","20.60810810810811%","34.96621621621622%","44.42567567567568%","0.8403361344537815%","99.15966386554622%","0%","99.83193277310924%","0.16806722689075632%"
"KUMURAM BHEEM ASIFABAD","9.328358208955224%","42.723880597014926%","47.94776119402985%","66.04477611940298%","30.223880597014926%","3.7313432835820897%","30.41044776119403%","62.5%","7.08955223880597%","26.865671641791046%","32.649253731343286%","40.485074626865675%","0%","100%","0%","88.05970149253731%","11.940298507462687%"
"PEDDAPALLI","0%","0%","100%","100%","0%","0%","18.181818181818183%","78.18181818181819%","3.6363636363636362%","9.090909090909092%","9.090909090909092%","81.81818181818181%","0%","100%","54.54545454545455%","45.45454545454545%","0%"
"KHAMMAM","0%","56.38297872340426%","43.61702127659574%","37.234042553191486%","47.87234042553192%","14.893617021276595%","51.06382978723404%","37.234042553191486%","11.702127659574469%","22.340425531914892%","28.72340425531915%","48.93617021276596%","0%","100%","1.0638297872340425%","91.48936170212765%","7.446808510638298%"
"ADILABAD","30.101641907740422%","26.97419859265051%","42.92415949960907%","84.7928068803753%","13.291634089132135%","1.9155590304925723%","69.69104419241299%","27.72780602268283%","2.5811497849041847%","37.02111024237686%","22.126661454261143%","40.852228303362004%","0.039093041438623924%","99.96090695856138%","0%","97.22330856472429%","2.7766914352757137%"
"NALGONDA","0%","28.854314002828854%","71.14568599717114%","80.48090523338048%","18.67043847241867%","0.8486562942008486%","30.48090523338048%","43.42291371994342%","26.096181046676097%","3.041018387553041%","25.884016973125885%","71.07496463932108%","1.9801980198019802%","98.01980198019803%","0%","87.12871287128714%","12.871287128712872%"
"WARANGAL","3.24459234608985%","16.389351081530783%","80.36605657237936%","93.67720465890183%","5.990016638935108%","0.33277870216306155%","58.61781848459617%","33.72189841798501%","7.660283097418818%","15.333333333333334%","20.75%","63.916666666666664%","0.2506265664160401%","99.74937343358395%","0.5828476269775187%","99.41715237302247%","0%"
"YADADRI BHUVANAGIRI","0%","21.322099805573558%","78.67790019442644%","89.48734587929916%","9.669046073977936%","0.8436080467229072%","24.36811406351264%","48.73622812702528%","26.895657809462087%","8.165910563836682%","16.78548282566429%","75.04860661049902%","0.38885288399222295%","99.61114711600777%","0%","95.26895657809462%","4.731043421905379%"
"MEDAK","0%","0.25252525252525254%","99.74747474747475%","71.09974424552429%","12.020460358056265%","16.879795396419436%","73.98989898989899%","24.747474747474747%","1.2626262626262625%","42.53164556962025%","22.531645569620252%","34.936708860759495%","0%","100%","13.417721518987342%","86.07594936708861%","0.5063291139240507%"
"Nirmal","8%","33%","59%","65%","31%","4%","27%","69%","4%","8.4%","10.4%","81.2%","40%","60%","42%","51.2%","6.8%"
"NIZAMABAD","5.513307984790875%","18.06083650190114%","76.42585551330798%","97.9245283018868%","1.6981132075471699%","0.37735849056603776%","43.69114877589454%","38.983050847457626%","17.325800376647834%","9.885931558935361%","12.357414448669202%","77.75665399239544%","0%","100%","0%","100%","0%"
"SURYAPET","0.07815552950371239%","42.438452520515824%","57.48339194998046%","93.20046893317702%","6.05705353653771%","0.7424775302852676%","17.936694021101992%","38.21805392731536%","43.84525205158265%","6.447831184056272%","36.498632278233686%","57.053536537710045%","0.3907776475185619%","99.60922235248144%","0%","98.20242282141461%","1.797577178585385%"
"KAMAREDDY","25.031446540880502%","19.62264150943396%","55.34591194968554%","78.26633165829146%","16.331658291457288%","5.402010050251256%","25%","40.20100502512563%","34.79899497487437%","55.55555555555556%","22.97979797979798%","21.464646464646464%","0%","100%","0%","99.87293519695045%","0.12706480304955528%"
"SANGAREDDY","0.10548523206751055%","0.5977496483825597%","99.29676511954993%","56.40934844192635%","13.314447592067989%","30.276203966005667%","66.15114235500879%","30.896309314586993%","2.952548330404218%","23.45023025150549%","44.42082890541977%","32.128940843074744%","0.10615711252653928%","99.89384288747345%","2.2566995768688294%","97.21438645980254%","0.5289139633286318%"
"VIKARABAD","0%","0%","100%","69.23076923076923%","29.23076923076923%","1.5384615384615385%","61.53846153846154%","38.46153846153846%","0%","0%","23.076923076923077%","76.92307692307692%","0%","100%","0%","93.84615384615384%","6.153846153846154%"
"HANUMAKONDA","0.9205983889528193%","16.22554660529344%","82.85385500575374%","91.82027649769586%","7.488479262672811%","0.6912442396313364%","82.37327188940093%","16.129032258064516%","1.4976958525345623%","12.783751493428912%","16.367980884109915%","70.84826762246117%","0%","100%","0.3460207612456747%","99.53863898500576%","0.11534025374855825%"
"Mulugu","1.4705882352941178%","36.27450980392157%","62.254901960784316%","96.08801955990221%","3.9119804400977993%","0%","44.743276283618584%","44.25427872860636%","11.00244498777506%","21.323529411764707%","26.715686274509803%","51.96078431372549%","0%","100%","6.862745098039215%","93.13725490196079%","0%"
"MEDCHAL MALKAJGIRI","0%","0.5063291139240507%","99.49367088607595%","97.9746835443038%","1.2658227848101267%","0.759493670886076%","91.89873417721519%","5.3164556962025316%","2.7848101265822787%","3.037974683544304%","25.569620253164558%","71.39240506329114%","0%","100%","0.25316455696202533%","78.48101265822785%","21.265822784810126%"
"SIDDIPET","0.13654984069185253%","4.779244424214839%","95.0842057350933%","81.22727272727273%","7.545454545454546%","11.227272727272727%","73.45454545454545%","24.181818181818183%","2.3636363636363638%","23.290793072014583%","48.45031905195989%","28.258887876025526%","0.45475216007276037%","99.54524783992724%","3.413746017296313%","96.54073736913973%","0.04551661356395084%"
"JOGULAMBA GADWAL","0%","82.5%","17.5%","94.5%","5.5%","0%","26.5%","72%","1.5%","16%","83.5%","0.5%","0%","100%","0%","100%","0%"
"Narayanpet","0%","3.0555555555555554%","96.94444444444444%","78.05555555555556%","10.277777777777779%","11.666666666666666%","72.22222222222223%","26.666666666666668%","1.1111111111111112%","0.2777777777777778%","26.944444444444443%","72.77777777777777%","0.2777777777777778%","99.72222222222223%","0%","99.44444444444444%","0.5555555555555556%"
"Jagitial","0.5361930294906166%","29.89276139410188%","69.57104557640751%","80.42895442359249%","14.075067024128685%","5.49597855227882%","25.201072386058982%","62.734584450402146%","12.064343163538874%","22.92225201072386%","15.415549597855227%","61.66219839142091%","0.2680965147453083%","99.73190348525469%","0%","76.80965147453082%","23.19034852546917%"
"MAHABUBABAD","0%","0%","100%","62.5%","25.543478260869566%","11.956521739130435%","25%","62.5%","12.5%","31.52173913043478%","22.282608695652176%","46.19565217391305%","0.5434782608695652%","99.45652173913044%","0%","100%","0%"
"JANGOAN","0%","0%","100%","41.734417344173444%","50.40650406504065%","7.8590785907859075%","26.486486486486488%","23.783783783783782%","49.729729729729726%","16.486486486486488%","8.91891891891892%","74.5945945945946%","0%","100%","0.8108108108108109%","97.83783783783784%","1.3513513513513513%"
"MAHABUBNAGAR","0%","67.26190476190476%","32.73809523809524%","83.92857142857143%","16.071428571428573%","0%","24.107142857142858%","73.51190476190476%","2.380952380952381%","0.2976190476190476%","63.69047619047619%","36.01190476190476%","0%","100%","0%","100%","0%"
"NAGARKURNOOL","0%","14.893617021276595%","85.1063829787234%","89.36170212765957%","8.51063829787234%","2.127659574468085%","72.34042553191489%","25.53191489361702%","2.127659574468085%","13.043478260869565%","71.73913043478261%","15.217391304347826%","0%","100%","0%","93.47826086956522%","6.521739130434782%"
"JAYASHANKAR BHUPALAPALLY","0%","25%","75%","100%","0%","0%","12.5%","87.5%","0%","0%","0%","100%","0%","100%","0%","100%","0%"
"MANCHERIAL","0%","70.30481809242872%","29.69518190757129%","72.36971484759096%","27.630285152409048%","0%","52.704031465093415%","47.295968534906585%","0%","39.13470993117011%","28.121927236971484%","32.743362831858406%","0%","100%","0%","100%","0%"
