"District","Copper - Sufficient","Copper - Deficient","Boron - Sufficient","Boron - Deficient","S - Sufficient","S - Deficient","Fe - Sufficient","Fe - Deficient","Zn - Sufficient","Zn - Deficient","Mn - Sufficient","Mn - Deficient"
"ETAH","99.2288453522301%","0.7711546477699042%","38.5%","61.5%","95.47916666666667%","4.520833333333333%","1.9795790789747865%","98.02042092102522%","48.520833333333336%","51.479166666666664%","11.252344238382996%","88.747655761617%"
"SONBHADRA","99.98329993319973%","0.016700066800267203%","2.1677505419376355%","97.83224945806236%","99.58326387731289%","0.4167361226871145%","99.53325554259044%","0.46674445740956827%","98.63196529863197%","1.3680347013680347%","99.43323887314553%","0.5667611268544758%"
"KANPUR NAGAR","99.88333333333334%","0.11666666666666667%","86.23333333333333%","13.766666666666667%","98.85%","1.15%","99.86666666666666%","0.13333333333333333%","98.15%","1.85%","99.93333333333334%","0.06666666666666667%"
"BAHRAICH","96.28527205619717%","3.7147279438028336%","4.976190476190476%","95.02380952380952%","69.5952380952381%","30.404761904761905%","99.46428571428571%","0.5357142857142857%","96.6547619047619%","3.3452380952380953%","96.20238095238095%","3.7976190476190474%"
"BHADOHI","100%","0%","99.23333333333333%","0.7666666666666667%","31.333333333333332%","68.66666666666667%","97.46666666666667%","2.533333333333333%","87.86666666666666%","12.133333333333333%","100%","0%"
"KUSHI NAGAR","95.02262443438914%","4.97737556561086%","55.392857142857146%","44.607142857142854%","72%","28%","72.97619047619048%","27.023809523809526%","75.94047619047619%","24.05952380952381%","90.79761904761905%","9.202380952380953%"
"MAU","99.96295610298203%","0.03704389701796629%","68.51268753472866%","31.487312465271348%","15.12962962962963%","84.87037037037037%","85.51851851851852%","14.481481481481481%","79.22222222222223%","20.77777777777778%","99.57407407407408%","0.42592592592592593%"
"KHERI","99.85553950438937%","0.1444604956106234%","96.41071230136681%","3.5892876986331816%","86.9985553950439%","13.001444604956106%","98.85555555555555%","1.1444444444444444%","98.2214317474433%","1.778568252556692%","99.54444444444445%","0.45555555555555555%"
"SHAHJAHANPUR","97.59946654812181%","2.400533451878195%","86.398488720969%","13.601511279031003%","95.4%","4.6%","89.27777777777777%","10.722222222222221%","83.88888888888889%","16.11111111111111%","86.47627514168241%","13.52372485831759%"
"UNNAO","99.95833333333333%","0.041666666666666664%","99.67708333333333%","0.3229166666666667%","99.21875%","0.78125%","96.01041666666667%","3.9895833333333335%","99.70833333333333%","0.2916666666666667%","98.60416666666667%","1.3958333333333333%"
"SAMBHAL","98.77526025719534%","1.224739742804654%","86.46938775510205%","13.53061224489796%","99.40816326530613%","0.5918367346938775%","98.73469387755102%","1.2653061224489797%","53.10204081632653%","46.89795918367347%","99.83673469387755%","0.16326530612244897%"
