"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"UDAM SINGH NAGAR","0%","0%","100%","53.69981632117555%","38.270795066911575%","8.029388611912884%","12.096985583224116%","57.94233289646134%","29.960681520314548%","0.6976438067658286%","29.906542056074766%","69.3958141371594%","84.62757527733756%","15.37242472266244%","0.18562715460090162%","99.70830018562715%","0.10607265977194379%"
"RUDRA PRAYAG","0%","0%","0%","4.341534008683068%","95.65846599131693%","0%","57.01881331403763%","42.836468885672936%","0.1447178002894356%","84.37047756874095%","15.195369030390738%","0.4341534008683068%","0%","100%","3.907380607814761%","96.09261939218524%","0%"
"HARIDWAR","0%","1.9242706393544382%","98.07572936064557%","32.44347937156725%","51.67965257376421%","15.87686805466854%","28.1194182189334%","56.12401122735392%","15.756570553712681%","5.6136769584077575%","44.51390660882878%","49.87241643276346%","4.962367648934813%","95.03763235106518%","0.06378364587319811%","99.74486541650721%","0.19135093761959435%"
"DEHRADUN","0.052562417871222074%","11.971090670170828%","87.97634691195795%","59.18544194107452%","28.71998019311711%","12.094577865808368%","6.633663366336633%","63.14356435643565%","30.222772277227723%","67.02206793949914%","29.55616166625341%","3.4217703942474587%","0.037290242386575516%","99.96270975761342%","0.2372331127481583%","99.73779498064677%","0.024971906605069295%"
"PITHORAGARH","0%","1.5856601172009652%","98.41433988279904%","2.0341320461989314%","65.16117910705051%","32.80468884675056%","26.59427783522923%","49.569114098586695%","23.836608066184073%","88.28300258843831%","8.403796376186367%","3.3132010353753234%","0.06894174422612892%","99.93105825577388%","18.114443295415374%","81.85108583247157%","0.03447087211306446%"
"PAURI GARHWAL","0.32085561497326204%","0.12477718360071301%","99.55436720142602%","43.35352815395581%","17.60513186029936%","39.041339985744834%","22.808267997148967%","34.28367783321454%","42.90805416963649%","46.31841683009449%","31.324656801568906%","22.3569263683366%","5.106231030173183%","94.89376896982682%","5.337632097438653%","94.59072183413934%","0.07164606842199535%"
"UTTAR KASHI","0%","0%","100%","13.570634037819799%","65.3781979977753%","21.051167964404893%","9.042995839112344%","68.5991678224688%","22.357836338418863%","43.626220362622036%","47.19665271966527%","9.177126917712691%","0.11210762331838565%","99.88789237668162%","1.323943661971831%","98.67605633802818%","0%"
"TEHRI GARHWAL","0%","0%","0%","62.55020080321285%","30.565117613310385%","6.884681583476764%","47.70510613884108%","48.68043602983362%","3.6144578313253013%","64.54388984509467%","31.42570281124498%","4.030407343660356%","0.40160642570281124%","99.59839357429719%","0.11474469305794607%","99.81353987378084%","0.0717154331612163%"
"NAINITAL","0%","0%","100%","25.250752256770312%","62.71313941825476%","12.036108324974924%","33.609022556390975%","54.86215538847118%","11.528822055137844%","84.85001260398286%","9.251323418200151%","5.89866397781699%","0.9424350483953133%","99.05756495160469%","5.377456049638056%","94.49327817993795%","0.12926577042399173%"
"ALMORA","0%","0%","100%","41.95804195804196%","38.01652892561984%","20.025429116338206%","79.70737913486005%","18.06615776081425%","2.2264631043257%","91.97452229299363%","4.140127388535032%","3.8853503184713376%","1.0217113665389528%","98.97828863346105%","0.834403080872914%","98.71630295250321%","0.4492939666238768%"
"BAGESHWAR","0%","2.4%","97.6%","18.350848827809216%","60.26677445432498%","21.382376717865803%","47.332255456750204%","42.360549717057395%","10.3071948261924%","75.13141932875051%","21.027092600080874%","3.8414880711686212%","0.3642250101173614%","99.63577498988263%","0.6092607636068237%","99.39073923639317%","0%"
"CHAMPAWAT","0%","5.840915761667156%","94.15908423833284%","56.20780745523921%","36.54241267977693%","7.249779864983857%","45.0249486351629%","54.74024068095098%","0.2348106838861168%","96.0352422907489%","3.4067547723935387%","0.5580029368575624%","0.05875440658049354%","99.94124559341951%","9.725906277630415%","90.24462127910404%","0.029472443265546714%"
"CHAMOLI","0%","0%","100%","71.86018957345972%","25.740521327014218%","2.3992890995260665%","26.39218009478673%","73.07464454976304%","0.533175355450237%","60.00592943966795%","39.19359620515861%","0.8004743551734361%","3.36009515313708%","96.63990484686292%","0.17894422904861318%","99.58246346555323%","0.2385923053981509%"
