"District","Copper - Sufficient","Copper - Deficient","Boron - Sufficient","Boron - Deficient","S - Sufficient","S - Deficient","Fe - Sufficient","Fe - Deficient","Zn - Sufficient","Zn - Deficient","Mn - Sufficient","Mn - Deficient"
"CHAMPAWAT","99.92857142857143%","0.07142857142857142%","96.20615604867574%","3.7938439513242663%","82.35714285714286%","17.642857142857142%","99.42857142857143%","0.5714285714285714%","97.85714285714286%","2.142857142857143%","99.71428571428571%","0.2857142857142857%"
"ALMORA","84.93481409946885%","15.065185900531144%","88.50796716562047%","11.492032834379527%","60.98503138580396%","39.01496861419604%","98.2134234669242%","1.7865765330758088%","93.57798165137615%","6.422018348623853%","73.10478029937228%","26.895219700627717%"
"TEHRI GARHWAL","95.06101104009296%","4.9389889599070305%","66.12434631028472%","33.87565368971528%","76.11853573503777%","23.881464264962233%","69.4944799535154%","30.5055200464846%","64.84601975595584%","35.15398024404416%","74.89831493317838%","25.101685066821616%"
"HARIDWAR","91.82149013598928%","8.178509864010726%","62.622009569377994%","37.377990430622006%","79.51761102603369%","20.48238897396631%","81.03349282296651%","18.966507177033492%","77.27272727272727%","22.727272727272727%","79.25287356321839%","20.74712643678161%"
"UTTAR KASHI","96.51567944250871%","3.484320557491289%","91.9349255797854%","8.065074420214607%","48.546209761163034%","51.453790238836966%","94.20062695924764%","5.799373040752351%","89.89022662889518%","10.109773371104815%","79.67550593161201%","20.324494068388%"
"PITHORAGARH","99.7675094449288%","0.23249055507120023%","71.64873509741204%","28.35126490258796%","85.7350377687391%","14.264962231260895%","97.82103428239395%","2.178965717606043%","96.16502033701336%","3.8349796629866355%","82.91690877396863%","17.083091226031378%"
"CHAMOLI","98.1838819523269%","1.8161180476730987%","97.72985244040862%","2.2701475595913734%","96.42451759364359%","3.575482406356413%","80.47673098751419%","19.523269012485812%","95.17593643586834%","4.824063564131668%","98.80817253121452%","1.191827468785471%"
"BAGESHWAR","99.62703962703962%","0.372960372960373%","97.85597762759264%","2.144022372407364%","90.76923076923077%","9.23076923076923%","98.29876485667677%","1.7012351433232347%","97.20149253731343%","2.798507462686567%","99.25442684063374%","0.7455731593662628%"
"PAURI GARHWAL","91.13701341543874%","8.862986584561249%","77.03622392974754%","22.96377607025247%","75.3238199780461%","24.676180021953897%","74.76841640935156%","25.231583590648434%","88.72264403751674%","11.277355962483252%","75.82392776523702%","24.17607223476298%"
"NAINITAL","85.45163868904876%","14.54836131095124%","94.00479616306954%","5.995203836930456%","88.36465413834466%","11.635345861655338%","99.5603517186251%","0.4396482813749001%","79.656274980016%","20.343725019984014%","97.12230215827338%","2.8776978417266186%"
"DEHRADUN","99.96369796708616%","0.03630203291384317%","65.25475009076607%","34.745249909233934%","81.65315260801162%","18.346847391988383%","99.78218780251694%","0.21781219748305905%","99.41916747337851%","0.5808325266214908%","96.30929332042595%","3.690706679574056%"
"UDAM SINGH NAGAR","99.29242899019509%","0.7075710098049126%","70.23147680177904%","29.768523198220965%","87.72869705852624%","12.271302941473769%","97.51339330839988%","2.4866066916001213%","88.2341049226726%","11.765895077327404%","97.29101384817548%","2.708986151824522%"
"RUDRA PRAYAG","98.33174451858913%","1.6682554814108674%","80.12392755004767%","19.876072449952336%","77.78836987607245%","22.21163012392755%","66.5395614871306%","33.4604385128694%","99.18970448045758%","0.8102955195424214%","99.57102001906577%","0.42897998093422307%"
