"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"DARJEELING","2.0833333333333335%","82.39583333333333%","15.520833333333334%","25.520833333333332%","32.22222222222222%","42.25694444444444%","24.82638888888889%","72.53472222222223%","2.638888888888889%","86.2009037191519%","13.555787278415016%","0.24330900243309003%","0%","100%","59.45568736915562%","40.50942079553384%","0.034891835310537335%"
"MEDINIPUR EAST","24.50948858153747%","66.64522354454809%","8.845287873914442%","92.02315857188806%","7.880347378578321%","0.0964940495336121%","40.75265358636217%","54.64779671920232%","4.59954969443551%","68.15696365390801%","23.544548086201353%","8.29848825989064%","3.056628056628057%","96.94337194337194%","10.943031863533955%","88.73511425812681%","0.321853878339234%"
"MURSHIDABAD","0.9280585286546539%","41.125863704105136%","57.94607776724021%","86.47202276114348%","13.412816691505217%","0.11516054735130742%","7.7699498712911526%","86.60750575802737%","5.62254437068148%","2.9543298549939014%","46.82206261010977%","50.223607534896324%","0.006775067750677507%","99.99322493224932%","2.5830508474576273%","97.20677966101695%","0.21016949152542372%"
"PURULIA","0.1722282023681378%","50.72120559741658%","49.10656620021528%","94.73004947300495%","5.183910518391052%","0.08604000860400086%","51.57962604771115%","48.355899419729205%","0.06447453255963895%","8.675010789814415%","42.01553733275788%","49.309451877427705%","0.02164033758926639%","99.97835966241074%","0.1953125%","99.8046875%","0%"
"NADIA","0.01686056314280897%","2.6976901028494353%","97.28544933400775%","62.7484001347255%","36.729538565173456%","0.5220613001010441%","39.21802970804166%","56.08673382277617%","4.695236469182175%","10.386106895970325%","33.21530939133367%","56.398583712696%","1.9723533378287255%","98.02764666217128%","0.539902142736629%","99.0551712502109%","0.40492660705247174%"
"PURBA BARDHAMAN","0.0870263756861695%","32.77547195072968%","67.13750167358415%","88.13842961376264%","10.750384898587589%","1.1111854876497758%","34.11874958163197%","50.58571524198407%","15.29553517638396%","5.234971214352657%","73.97911366983531%","20.785915115812024%","0.06699718611818303%","99.93300281388181%","18.649065201367016%","81.31072840581652%","0.04020639281645782%"
"MEDINIPUR WEST","8.879426731747845%","36.597777546993456%","54.522795721258696%","32.50934773577067%","42.28292480265891%","25.20772746157042%","48.494913846792606%","47.155906165663275%","4.349179987544114%","52.04240723417524%","35.578422201434364%","12.379170564390396%","3.7541597337770383%","96.24584026622296%","66.42745709828394%","33.55174206968279%","0.02080083203328133%"
"HOOGHLY","2.7045931452553043%","61.38960130566566%","35.90580554907904%","97.98741160929364%","1.9970471676120911%","0.015541223094257518%","67.61986168311446%","29.784754060144532%","2.5953842567410055%","20.02176278563656%","44.085185760920254%","35.893051453443185%","1.4302370773416246%","98.56976292265837%","30.650178876963757%","69.28760304868564%","0.06221807435059885%"
"Jhargram","47.41663613045071%","40.74752656650788%","11.835837303041407%","95.78600219860755%","4.213997801392451%","0%","49.21216562843532%","47.37999267130817%","3.4078417002565042%","68.30520909757887%","19.882611885546588%","11.812179016874541%","0.1467351430667645%","99.85326485693324%","65.80976863753213%","34.19023136246787%","0%"
"24 PARAGANAS NORTH","0.011663167716351761%","50.80475857242827%","49.18357825985537%","89.7480755773268%","8.782365290412876%","1.4695591322603219%","43.74854210403546%","44.588290179612784%","11.663167716351762%","52.613768961493584%","41.34189031505251%","6.044340723453909%","15.547249153136315%","84.45275084686368%","4.057530402245089%","95.89569691300281%","0.04677268475210477%"
