"District","Copper - Sufficient","Copper - Deficient","Boron - Sufficient","Boron - Deficient","S - Sufficient","S - Deficient","Fe - Sufficient","Fe - Deficient","Zn - Sufficient","Zn - Deficient","Mn - Sufficient","Mn - Deficient"
"DINAJPUR DAKSHIN","100%","0%","44.776119402985074%","55.223880597014926%","95.14925373134328%","4.850746268656716%","99.92226368159204%","0.07773631840796019%","97.2481343283582%","2.751865671641791%","99.67350746268657%","0.32649253731343286%"
"Jhargram","88.89185937708862%","11.108140622911375%","30.793905372894947%","69.20609462710505%","95.0013365410318%","4.99866345896819%","100%","0%","39.38786420743117%","60.61213579256883%","99.89307671745523%","0.10692328254477412%"
"Alipurduar","100%","0%","27.902210510906162%","72.09778948909384%","54.8704588218266%","45.1295411781734%","99.7105225068751%","0.28947749312490956%","78.21681864235056%","21.783181357649443%","98.7552467795629%","1.244753220437111%"
"NADIA","99.94040524433849%","0.05959475566150179%","52.00931542461005%","47.99068457538995%","82.3685349491452%","17.631465050854793%","98.7286301666306%","1.2713698333694006%","56.1086462504058%","43.8913537495942%","89.5693572819736%","10.430642718026402%"
"BIRBHUM","100%","0%","0.9127906976744186%","99.08720930232558%","34.959585974297845%","65.04041402570216%","99.99418706039644%","0.005812939603557519%","99.98256118118933%","0.01743881881067256%","98.61660079051383%","1.383399209486166%"
"PURBA BARDHAMAN","99.7224574277919%","0.2775425722081099%","8.830974032061498%","91.1690259679385%","93.29802690162629%","6.701973098373717%","99.9296995828842%","0.07030041711580821%","82.77090363704536%","17.229096362954632%","99.25009373828271%","0.7499062617172854%"
"MALDAH","99.82457371412532%","0.17542628587467546%","2.3786135279259053%","97.6213864720741%","28.061188688513088%","71.93881131148692%","91.49772009821115%","8.502279901788846%","84.64398456681866%","15.35601543318134%","76.72607353353915%","23.273926466460846%"
"24 PARAGANAS NORTH","99.93035518853846%","0.06964481146154612%","41.26249813460677%","58.73750186539323%","52.06882832703402%","47.93117167296598%","97.26960759934352%","2.7303924006564877%","54.30717198846116%","45.69282801153884%","82.14232433238848%","17.857675667611517%"
"PURULIA","98.88418622547134%","1.115813774528665%","65.65320361006209%","34.346796389937914%","69.86056031725725%","30.13943968274274%","99.45631316361775%","0.5436868363822438%","95.66830891291829%","4.331691087081707%","13.55812911894555%","86.44187088105446%"
"HOOGHLY","99.9909366927992%","0.009063307200797571%","32.93781984511571%","67.06218015488429%","84.06394348338013%","15.936056516619871%","99.59242822208134%","0.4075717779186668%","78.06358119735532%","21.93641880264469%","96.02373080929306%","3.9762691907069425%"
"MEDINIPUR EAST","99.63949705442715%","0.36050294557284795%","73.31838565022422%","26.681614349775785%","82.8101644245142%","17.189835575485798%","99.98681144766343%","0.013188552336571856%","87.58517606717369%","12.414823932826307%","99.94724810972393%","0.052751890276068227%"
"JALPAIGURI","99.71129556116925%","0.28870443883074703%","95.06737247353225%","4.9326275264677575%","5.136533140863707%","94.8634668591363%","99.92782389029232%","0.07217610970768676%","89.77505112474438%","10.224948875255624%","62.22783591964393%","37.77216408035607%"
"COOCHBEHAR","100%","0%","39.916773367477596%","60.083226632522404%","58.04464357148572%","41.95535642851428%","99.7999839987199%","0.2000160012801024%","82.12657012561004%","17.873429874389952%","97.77582206576525%","2.224177934234739%"
"BANKURA","95.86909601967575%","4.130903980324248%","99.64369950318662%","0.3563004968133688%","61.29177958446251%","38.70822041553749%","99.83941386059115%","0.16058613940884228%","96.51209475057713%","3.4879052494228646%","99.90967029658253%","0.09032970341747378%"
"MEDINIPUR WEST","99.88928357245007%","0.11071642754993773%","27.97399483585393%","72.02600516414607%","23.45781466113416%","76.54218533886583%","99.62671090833679%","0.3732890916632103%","81.03384672138706%","18.96615327861293%","99.7833901742096%","0.21660982579039542%"
"HOWRAH","99.97956264050684%","0.020437359493153485%","36.98228882833787%","63.01771117166213%","72.62448062121109%","27.375519378788912%","99.88420407329201%","0.11579592670798992%","76.14603909815408%","23.853960901845923%","99.51638171786664%","0.48361828213336966%"
"KALIMPONG","12.878278412911904%","87.1217215870881%","1.4775016789791806%","98.52249832102082%","0.1677289500167729%","99.83227104998323%","99.83227104998323%","0.1677289500167729%","7.245890640724589%","92.75410935927542%","0.10073875083948959%","99.89926124916052%"
"DINAJPUR UTTAR","100%","0%","43.097502351342875%","56.902497648657125%","95.97659107534747%","4.023408924652524%","99.66558679067823%","0.3344132093217682%","98.84000418016511%","1.1599958198348834%","99.77009091859128%","0.22990908140871563%"
"MURSHIDABAD","99.97699562916954%","0.023004370830457786%","19.242273180458625%","80.75772681954138%","78.26336975273145%","21.736630247268547%","96.66091623538432%","3.3390837646156797%","62.62459745437816%","37.37540254562184%","98.72723787617404%","1.2727621238259537%"
"24 PARAGANAS SOUTH","96.46606018194542%","3.533939818054584%","43.823568021703935%","56.176431978296065%","60.35093860762263%","39.64906139237737%","96.8003151536374%","3.1996848463626018%","52.24318291241739%","47.75681708758261%","91.8497767661735%","8.150223233826491%"
"DARJEELING","58.021670744494934%","41.978329255505066%","50.66263659614043%","49.33736340385957%","4.486285448628545%","95.51371455137145%","99.69781496978149%","0.302185030218503%","38.297872340425535%","61.702127659574465%","19.02490109378636%","80.97509890621363%"
"PASCHIM BARDHAMAN","99.05011464133639%","0.9498853586636096%","3.508771929824561%","96.49122807017544%","86.63527119194544%","13.364728808054563%","98.83078921727834%","1.169210782721663%","94.9650803962969%","5.034919603703102%","98.08379343942839%","1.916206560571614%"
