State,Districts
Andhra Pradesh,"Srikakulam, Visakhapatnam, East Godavari, West Godavari, Krishna, Guntur, S.P.S. Nellore, Kurnool, Ananthapur, Kadapa YSR, Chittoor"
Assam,"Cachar, Darrang, Dibrugarh, Goalpara, Kamrup, Karbi Anglong, Lakhimpur, Nagaon"
Bihar,"Champaran, Muzaffarpur, Darbhanga, Saharsa, Saran, Patna, Mungair, Bhagalpur, Shahabad (now part of Bhojpur district), Gaya"
Chhattisgarh,"Durg, Bastar, Raipur, Bilaspur, Raigarh, Surguja"
Gujarat,"Ahmedabad, Amreli, Banaskantha, Bharuch, Vadodara / Baroda, Bhavnagar, Valsad, Dangs, Jamnagar, Junagadh, Kheda, Rajkot, Surat, Surendranagar"
Haryana,"Hissar, Gurgaon, Jind, Mahendragarh / Narnaul, Ambala, Karnal, Rohtak"
Himachal Pradesh,"Bilashpur, Chamba, Kangra, Kinnaur, Kullu, Lahul & Spiti, Solan, Mandi, Shimla, Sirmaur"
Jharkhand,"Santhal Paragana / Dumka, Hazaribagh, Dhanbad, Palamau, Ranchi, Singhbhum"
Karnataka,"Bangalore, Kolar, Tumkur, Mysore, Mandya, Hassan, Chitradurga, Bellary, Dharwad, Belgaum, Bijapur / Vijayapura, Bidar, Raichur, Gulbarga / Kalaburagi, Dakshina Kannada, Uttara Kannada, Kodagu / Coorg"
Kerala,"Alappuzha, Kannur, Kottayam, Kozhikode, Malappuram, Palakkad, Kollam, Thrissur, Thiruvananthapuram"
Madhya Pradesh,"Jabalpur, Balaghat, Chhindwara, Narsinghpur, Seoni / Shivani, Mandla, Sagar, Damoh, Tikamgarh, Chhatarpur, Panna, Rewa, Sidhi, Satna, Shahdol, Gwalior, Shivpuri, Guna, Datia, Morena, Bhind, Indore, Ratlam, Ujjain, Mandsaur, Dewas, Dhar, Jhabua, Sehore, Raisen, Vidisha, Betul, Rajgarh, Shajapur, Hoshangabad"
Maharashtra,"Thane, Ratnagiri, Dhule, Jalgaon, Ahmednagar, Pune, Satara, Sangli, Solapur, Kolhapur, Aurangabad, Parbhani, Beed, Nanded, Osmanabad, Buldhana, Akola, Amarawati, Wardha, Nagpur, Bhandara, Chandrapur"
Punjab,"Gurdaspur, Amritsar, Kapurthala, Jalandhar, Hoshiarpur, Roopnagar / Ropar, Ludhiana, Ferozpur, Bhatinda, Sangrur, Patiala"
Rajasthan,"Ajmer, Alwar, Banswara, Barmer, Bharatpur, Bhilwara, Bikaner, Bundi, Chittorgarh, Churu, Dungarpur, Ganganagar, Jaipur, Jaisalmer, Jalore, Jhalawar, Jodhpur, Kota, Nagaur, Pali, Swami Madhopur, Sikar, Sirohi, Tonk, Udaipur"
Tamil Nadu,"South Arcot / Cuddalore, North Arcot / Vellore, Salem, Coimbatore, Tiruchirapalli / Trichy, Thanjavur, Madurai, Ramananthapuram, Thirunelveli, The Nilgiris, Kanyakumari"
Telangana,"Hyderabad, Nizamabad, Medak, Mahabubnagar, Nalgonda, Warangal, Khammam, Karimnagar, Adilabad"
Uttar Pradesh,"Saharanpur, Muzaffarnagar, Meerut, Buland Shahar, Aligarh, Mathura, Agra, Mainpuri, Etah, Bareilly, Budaun, Moradabad, Shahjahanpur, Pilibhit, Rampur, Bijnor, Farrukhabad, Etawah, Kanpur, Fatehpur, Allahabad, Jhansi, Jalaun, Hamirpur, Banda, Varanasi, Jaunpur, Ghazipur, Ballia, Gorakhpur, Deoria, Basti, Azamgarh, Lucknow, Unnao, Rae-Bareily, Sitapur, Hardoi, Kheri, Faizabad, Gonda, Bahraich, Sultanpur, Pratapgarh, Barabanki"
Uttarakhand,"Nainital, Almorah, Pithorgarh, Chamoli, Uttar Kashi, Tehri Garhwal, Garhwal, Dehradun"
